Address,tenure,room,space,construction,material,vehicle,motorcycle,cookingfuel,heatingfuel,waterheatingfuel,facilities
20001383908,4,3,100.0,3,4,0,1,3,3,4,7
20001383911,4,3,70.0,3,7,0,0,3,3,4,5
20001383915,4,3,100.0,3,4,1,0,3,3,4,8
20001383916,4,4,100.0,3,4,1,0,3,3,4,7
20001383920,4,3,100.0,3,4,0,0,3,3,4,8
20001383923,4,3,70.0,3,4,0,1,3,3,4,7
20001384008,4,2,60.0,3,3,1,0,3,3,4,4
20001384011,4,3,65.0,3,7,0,0,3,3,4,4
20001384014,4,4,90.0,3,3,1,0,3,3,4,6
20001384015,0,3,30.0,3,7,0,0,3,3,4,5
20001384020,0,2,50.0,3,7,0,0,3,3,4,5
20001384023,4,3,70.0,3,7,0,0,3,3,4,3
20001384109,4,4,80.0,3,4,0,1,3,3,4,8
20001384111,4,3,60.0,3,7,0,1,3,3,4,6
20001384113,4,2,40.0,3,1,0,1,3,3,4,5
20001384117,0,2,40.0,3,1,0,0,3,3,4,7
20001384120,4,4,200.0,3,3,1,0,3,3,4,9
20001384123,0,4,85.0,3,3,1,0,3,3,4,6
20001384207,4,3,70.0,3,4,1,0,3,3,4,8
20001384208,4,4,150.0,3,4,1,0,3,3,4,8
20001384214,4,3,66.0,3,4,0,0,3,3,4,6
20001384215,4,4,100.0,3,4,1,0,3,3,4,6
20001384220,4,3,90.0,3,4,1,0,3,3,4,6
20001384223,4,3,70.0,3,4,0,1,3,3,4,6
20001384308,4,5,120.0,3,4,0,1,3,3,4,5
20001384311,4,3,70.0,3,4,0,0,3,3,4,5
20001384316,4,3,100.0,3,4,1,0,3,3,4,6
20001384317,4,3,100.0,3,4,0,0,3,3,4,8
20001384320,4,4,100.0,3,7,0,1,3,3,4,6
20001384323,4,4,100.0,3,7,1,1,3,3,4,7
20001384408,5,4,100.0,3,4,1,0,3,3,4,10
20001384410,4,4,90.0,3,4,1,1,3,3,4,7
20001384413,4,4,110.0,3,4,0,0,3,3,4,8
20001384414,4,4,140.0,3,4,1,0,3,3,4,5
20001384420,4,4,170.0,3,4,0,1,3,3,4,7
