Address,member,Total_income,Fasl,year
20001385412,1,24600000.0,1,98
20001385423,1,154000000.0,1,98
20001385420,1,130000000.0,1,98
20011395423,1,10000000.0,1,98
20011395416,1,92000000.0,1,98
20005389011,1,152260000.0,1,98
20005389018,1,34400000.0,1,98
20005389020,1,20000000.0,1,98
20005389023,1,69000000.0,1,98
20012396607,1,37000000.0,1,98
20010394220,1,231000000.0,1,98
20012396620,1,1800000.0,1,98
20012396609,1,12300000.0,1,98
20013397807,1,22000000.0,1,98
20013397817,1,31700000.0,1,98
20013397823,1,15000000.0,1,98
20010394211,1,121000000.0,1,98
20012396614,1,117100000.0,1,98
20005389014,1,161700000.0,1,98
20012396623,1,900000.0,1,98
20001385417,1,202000000.0,1,98
20010394208,1,2500000.0,1,98
20003386610,1,20000000.0,1,98
20003386613,1,22000000.0,1,98
20003386620,1,500000.0,1,98
20004387820,2,12000000.0,1,98
20004387811,1,600000.0,1,98
20006390211,1,60000000.0,1,98
20006390211,2,9600000.0,1,98
20010394214,1,38200000.0,1,98
20006390220,1,2000000.0,1,98
20007392608,1,490000000.0,1,98
20003387017,1,96000000.0,1,98
20003387023,1,168000000.0,1,98
20003387023,3,12000000.0,1,98
20003387008,1,177900000.0,1,98
20002385814,1,2800000.0,1,98
20002385814,2,800000.0,1,98
20002385808,1,60000000.0,1,98
20011394623,3,4000000.0,1,98
20011394620,1,42000000.0,1,98
20011394620,4,3600000.0,1,98
20012395817,1,2380000.0,1,98
20013397020,1,600000.0,1,98
20009393015,1,12000000.0,1,98
20009393011,1,60000000.0,1,98
20003387007,1,67600000.0,1,98
20011394613,1,309160000.0,1,98
20011394613,2,9160000.0,1,98
20007391407,1,7200000.0,1,98
20007391420,1,144000000.0,1,98
20005389008,1,44000000.0,1,98
20001385415,1,155000000.0,1,98
20001384208,1,369000000.0,1,98
20001384214,1,148000000.0,1,98
20007391811,1,36000000.0,1,98
20007391814,1,34000000.0,1,98
20007391808,1,30000000.0,1,98
20003387014,1,16900000.0,1,98
20003387014,2,27000000.0,1,98
20004388217,1,40000000.0,1,98
20011394611,1,14000000.0,1,98
20011394611,3,1070000.0,1,98
20004388214,1,50000000.0,1,98
20004388220,1,40000000.0,1,98
20010393414,1,64400000.0,1,98
20004388208,1,337000000.0,1,98
20013397023,1,17000000.0,1,98
20013397023,3,6400000.0,1,98
20001384623,1,39000000.0,1,98
20011394608,1,12000000.0,1,98
20013397013,1,1100000.0,1,98
20006390620,1,212000000.0,1,98
20010393411,1,13000000.0,1,98
20004388223,1,48500000.0,1,98
20010393423,1,152900000.0,1,98
20013397007,4,15000000.0,1,98
20010393420,1,286000000.0,1,98
20001385023,1,54000000.0,1,98
20002386223,1,160000000.0,1,98
20001385018,1,214000000.0,1,98
20001385014,1,394000000.0,1,98
20013397412,1,15000000.0,1,98
20002386212,1,168000000.0,1,98
20002386216,1,36000000.0,1,98
20001385007,1,141000000.0,1,98
20013397423,1,24000000.0,1,98
20001385009,1,184000000.0,1,98
20007392214,1,25200000.0,1,98
20007391017,1,334000000.0,1,98
20007391008,1,152000000.0,1,98
20006389812,1,112400000.0,1,98
20002386213,1,166000000.0,1,98
20006389820,1,120000000.0,1,98
20007391009,1,156000000.0,1,98
20001385020,1,311000000.0,1,98
20006389412,1,2950000.0,1,98
20006389420,1,1600000.0,1,98
20005388616,1,2000000.0,1,98
20005388623,1,1400000.0,1,98
20004387417,1,45800000.0,1,98
20012395814,1,10000000.0,1,98
20012395814,2,6000000.0,1,98
20007391414,1,250000000.0,1,98
20003387020,1,282000000.0,1,98
20012396213,2,2000000.0,1,98
20006389808,1,15000000.0,1,98
20009393023,1,20000000.0,1,98
20009393023,2,270000000.0,1,98
20006389414,3,19200000.0,1,98
20005388614,1,36000000.0,1,98
20012396214,1,600000000.0,1,98
20010393820,1,334000000.0,1,98
20010393820,3,12000000.0,1,98
20004387414,1,4300000.0,1,98
20004387411,1,16700000.0,1,98
20010393808,1,176000000.0,1,98
20004387423,1,24000000.0,1,98
20010393813,1,280000.0,1,98
20011395015,1,160000000.0,1,98
20002386220,1,202800000.0,1,98
20010393818,2,16600000.0,1,98
20013397408,1,19500000.0,1,98
20013397408,2,14700000.0,1,98
20013397417,1,30300000.0,1,98
20011395023,5,15000000.0,1,98
20011395011,1,166000000.0,1,98
20012396223,1,92000000.0,1,98
20006390218,1,110800000.0,1,98
