Address,member,ISCO_w,ISIC_w,hours_w,days_w,income_w_m,income_w_y,netincome_w_m,netincome_w_y,Fasl,year
20011394629,1,9314,41000,8.0,1.0,3200000,72000000,3200000,72000000,1,1399
20011394623,1,9211,1500,8.0,7.0,12000000,80000000,12000000,80000000,1,1399
20011394623,3,9211,1500,8.0,2.0,16000000,100000000,16000000,100000000,1,1399
20012395826,3,9211,1500,8.0,3.0,10000000,90000000,10000000,90000000,1,1399
20006389426,1,4419,27320,8.0,6.0,66000000,804000000,59320000,723840000,1,1399
20006389421,1,5153,21000,8.0,6.0,36000000,466000000,33720000,438640000,1,1399
20002385814,1,9314,41000,10.0,2.0,5000000,80000000,5000000,80000000,1,1399
20002385823,1,9211,1500,5.0,7.0,15000000,60000000,15000000,60000000,1,1399
20002385823,3,9211,1500,9.0,5.0,10000000,80000000,10000000,80000000,1,1399
20002385826,1,9211,1500,10.0,5.0,7000000,120000000,7000000,120000000,1,1399
20013397023,1,9321,13920,8.0,6.0,27000000,350000000,25740000,334880000,1,1399
20013397029,1,8322,84110,8.0,6.0,28000000,366000000,26693334,350320008,1,1399
20006390626,1,1115,84110,8.0,7.0,10000000,120000000,9953334,119440008,1,1399
20006390626,3,2310,85300,5.0,5.0,20000000,240000000,19906667,238880004,1,1399
20006389416,1,5153,28210,8.0,6.0,24000000,303000000,22880000,289560000,1,1399
20006389424,1,8322,32500,8.0,6.0,25000000,332000000,23833334,318000008,1,1399
20012395822,1,7111,41000,8.0,5.0,0,150000000,0,150000000,1,1399
20012395823,1,9314,41000,8.0,1.0,5000000,90000000,5000000,90000000,1,1399
20012395817,1,9211,1500,8.0,1.0,7000000,30000000,7000000,30000000,1,1399
20012395817,1,9314,41000,8.0,4.0,0,100000000,0,100000000,1,1399
20007391823,1,9211,1500,8.0,5.0,5000000,60000000,5000000,60000000,1,1399
20007391821,1,9211,1500,8.0,5.0,0,120000000,0,120000000,1,1399
20011394613,1,9211,1500,8.0,3.0,19500000,130000000,19500000,130000000,1,1399
20006389429,1,1214,27320,8.0,6.0,55000000,672000000,49933334,611200008,1,1399
20006389429,3,5224,47212,4.0,6.0,10000000,100000000,10000000,100000000,1,1399
20004388214,1,9211,1500,8.0,2.0,5000000,50000000,5000000,50000000,1,1399
20003387029,1,9314,41000,9.0,6.0,25000000,300000000,25000000,300000000,1,1399
20009393021,1,9211,1500,8.0,5.0,0,15000000,0,15000000,1,1399
20009393021,2,9211,1500,8.0,5.0,0,10000000,0,10000000,1,1399
20006389413,1,7412,27100,8.0,6.0,26000000,337000000,24786667,322440004,1,1399
20006389413,3,3343,85102,5.0,5.0,5000000,45000000,5000000,45000000,1,1399
20013397020,3,9211,1500,10.0,3.0,3000000,20000000,3000000,20000000,1,1399
20004387820,1,5245,47300,8.0,7.0,3000000,25000000,3000000,25000000,1,1399
20004387826,3,5224,47212,11.0,7.0,15000000,147000000,15000000,147000000,1,1399
20011395420,1,9314,41000,8.0,1.0,24000000,130000000,24000000,130000000,1,1399
20007392620,1,7119,35200,8.0,6.0,31000000,380000000,28600000,363200000,1,1399
20001384223,1,9321,22200,10.0,6.0,25000000,300000000,23340000,288080000,1,1399
20001384226,1,9314,41000,9.0,6.0,17000000,204000000,17000000,204000000,1,1399
20013397823,1,9314,41000,8.0,3.0,18000000,150000000,18000000,150000000,1,1399
20013397814,1,9314,41000,8.0,2.0,0,75000000,0,75000000,1,1399
20007392626,1,8322,86100,8.0,6.0,28000000,346000000,25480000,315760000,1,1399
20007392626,3,9314,41000,8.0,4.0,0,36000000,0,36000000,1,1399
20007392615,3,5153,35100,8.0,6.0,20000000,252000000,19066667,240800004,1,1399
20007392623,1,5153,19200,8.0,6.0,45000000,552000000,41400000,508800000,1,1399
20001384220,1,9314,41000,10.0,7.0,23000000,276000000,23000000,276000000,1,1399
20007392617,1,9321,10792,8.0,6.0,15000000,210000000,14300000,201600000,1,1399
20009393029,1,9314,41000,8.0,2.0,0,35000000,0,35000000,1,1399
20001384620,1,9314,41000,10.0,7.0,22000000,264000000,22000000,264000000,1,1399
20001385420,1,7212,28160,8.0,6.0,27000000,361000000,25740000,345880000,1,1399
20013397016,1,8153,13920,8.0,6.0,24000000,300000000,22880000,286560000,1,1399
20010394226,3,9211,1500,8.0,3.0,8000000,100000000,8000000,100000000,1,1399
20010394217,2,9211,1500,8.0,3.0,10000000,100000000,10000000,100000000,1,1399
20007391415,1,9314,41000,8.0,6.0,17000000,184000000,17000000,184000000,1,1399
20006390219,1,9211,1500,8.0,2.0,0,25000000,0,25000000,1,1399
20007391426,3,510,84220,10.0,7.0,500000,6000000,500000,6000000,1,1399
20004387813,1,9314,41000,8.0,1.0,3000000,90000000,3000000,90000000,1,1399
20004387823,1,9211,1500,8.0,5.0,0,42000000,0,42000000,1,1399
20006390220,1,9314,84110,8.0,6.0,36000000,464000000,33720000,436640000,1,1399
20011395423,1,9211,1500,8.0,5.0,0,6000000,0,6000000,1,1399
20013397829,4,1115,84110,8.0,6.0,13000000,176000000,12393334,168720008,1,1399
20013397829,5,9314,41000,8.0,3.0,12000000,60000000,12000000,60000000,1,1399
20011395415,1,8322,49230,10.0,2.0,27000000,260000000,27000000,260000000,1,1399
20006390229,1,9211,1500,3.0,2.0,0,35000000,0,35000000,1,1399
20004387817,3,9314,41000,8.0,4.0,0,86000000,0,86000000,1,1399
20007391429,1,5153,80100,9.0,7.0,18000000,228000000,18000000,228000000,1,1399
20007391414,3,510,84220,10.0,7.0,500000,6000000,500000,6000000,1,1399
20001385429,1,8322,49230,5.0,5.0,20000000,24000000,20000000,24000000,1,1399
20005389022,1,9314,41000,8.0,4.0,0,15000000,0,15000000,1,1399
20001384613,1,9314,41000,9.0,7.0,19000000,228000000,19000000,228000000,1,1399
20001384616,1,9314,41000,9.0,6.0,20000000,240000000,20000000,240000000,1,1399
20001384616,3,9314,41000,10.0,7.0,15000000,180000000,15000000,180000000,1,1399
20010394220,1,8322,84130,8.0,6.0,19400000,103000000,18494667,98473335,1,1399
20010394220,1,9211,1500,8.0,5.0,0,50000000,0,50000000,1,1399
20010394220,3,9321,16290,8.0,7.0,18000000,246000000,17160000,235920000,1,1399
20010394223,1,9314,41000,8.0,4.0,0,48000000,0,48000000,1,1399
20010394223,1,9211,1500,8.0,5.0,5000000,120000000,5000000,120000000,1,1399
20010394229,1,9211,1412,12.0,7.0,21000000,267000000,20020000,255240000,1,1399
20012396615,1,6111,1110,8.0,4.0,0,40000000,0,40000000,1,1399
20001384629,1,9314,41000,10.0,7.0,25000000,300000000,25000000,300000000,1,1399
20005389018,1,9314,41000,8.0,6.0,10000000,120000000,10000000,120000000,1,1399
20005389018,3,9321,41000,8.0,5.0,3000000,68000000,3000000,68000000,1,1399
20005389023,3,9211,1500,8.0,3.0,5000000,30000000,5000000,30000000,1,1399
20013397815,3,9314,41000,8.0,2.0,0,60000000,0,60000000,1,1399
20003386621,1,9211,1500,5.0,3.0,0,40000000,0,40000000,1,1399
20003386617,1,9314,41000,8.0,4.0,0,80000000,0,80000000,1,1399
20012396629,1,9211,1500,8.0,5.0,0,50000000,0,50000000,1,1399
20012396624,1,9314,41000,8.0,4.0,5000000,30000000,5000000,30000000,1,1399
20006389826,1,5153,28250,8.0,6.0,22000000,274000000,20973334,261680008,1,1399
20007391017,3,9112,1110,9.0,7.0,21000000,272000000,20020000,260240000,1,1399
20007391015,1,9211,1500,8.0,7.0,29000000,368000000,27646667,351760004,1,1399
20010393814,1,9321,20110,8.0,6.0,21000000,280000000,20020000,268240000,1,1399
20006389814,1,9211,1500,8.0,5.0,10000000,80000000,10000000,80000000,1,1399
20006389822,1,7411,43210,10.0,6.0,40000000,300000000,40000000,300000000,1,1399
20010393821,3,4324,22200,9.0,6.0,19000000,258000000,18113334,247360008,1,1399
20005388629,1,8322,49230,8.0,6.0,30000000,360000000,30000000,360000000,1,1399
20010393813,1,7322,17010,10.0,6.0,26000000,343000000,24786667,328440004,1,1399
20007391026,1,7422,31000,8.0,6.0,25000000,315000000,23833334,301000008,1,1399
20007391029,1,4110,35200,8.0,6.0,35000000,450000000,32866667,424400004,1,1399
20011395020,1,9314,41000,8.0,4.0,10000000,50000000,10000000,50000000,1,1399
20011395026,1,9314,41000,6.0,4.0,12000000,40000000,12000000,40000000,1,1399
20011395026,2,9211,1500,8.0,5.0,4500000,4500000,4500000,4500000,1,1399
20007391020,3,7126,86100,8.0,6.0,23000000,286000000,21926667,273120004,1,1399
20007391020,4,7126,43220,8.0,6.0,23000000,46000000,23000000,46000000,1,1399
20007392223,1,9211,1110,10.0,4.0,6000000,120000000,6000000,120000000,1,1399
20007392229,3,9211,1500,8.0,4.0,11000000,60000000,11000000,60000000,1,1399
20004387414,1,9314,41000,8.0,6.0,16000000,192000000,16000000,192000000,1,1399
20010393823,3,9314,41000,8.0,1.0,7000000,40000000,7000000,40000000,1,1399
20012396220,1,9211,1500,8.0,5.0,0,5000000,0,5000000,1,1399
20001385029,2,9314,41000,9.0,7.0,17000000,204000000,17000000,204000000,1,1399
20001385029,3,9314,41000,9.0,6.0,14000000,168000000,14000000,168000000,1,1399
20002386223,1,1115,84110,6.0,4.0,8000000,96000000,7253334,87040008,1,1399
20001385016,1,2411,69200,8.0,6.0,35000000,420000000,32000000,394000000,1,1399
20001385026,1,9314,41000,10.0,7.0,20000000,240000000,20000000,240000000,1,1399
20001385018,1,7131,43300,10.0,7.0,40000000,480000000,40000000,480000000,1,1399
20002386216,3,5153,20110,8.0,7.0,28000000,84000000,26693334,80080002,1,1399
20002386216,3,9314,41000,8.0,4.0,0,80000000,0,80000000,1,1399
20002386220,3,9314,41000,6.0,1.0,4000000,40000000,4000000,40000000,1,1399
20012396217,1,9314,41000,10.0,3.0,5000000,50000000,5000000,50000000,1,1399
20012396217,1,9211,1500,8.0,5.0,0,50000000,0,50000000,1,1399
20012396226,1,9314,41000,10.0,3.0,3420000,70000000,3420000,70000000,1,1399
20013397413,1,9321,13920,8.0,6.0,32000000,420000000,30506667,402080004,1,1399
20013397421,1,9321,13920,8.0,6.0,28000000,370000000,26693334,354320008,1,1399
20005388620,1,7543,24203,8.0,6.0,47000000,594000000,43106667,547280004,1,1399
20005388626,1,9321,24100,8.0,6.0,30000000,360000000,28600000,343200000,1,1399
20005388614,3,9211,1500,8.0,3.0,30000000,360000000,30000000,360000000,1,1399
20012396626,1,9211,1500,8.0,5.0,0,10000000,0,10000000,1,1399
20101398323,1,9314,43900,10.0,2.0,4000000,73000000,4000000,73000000,1,1399
20112404214,1,4324,47990,10.0,6.0,18000000,216000000,18000000,216000000,1,1399
20112404214,2,9211,1120,6.0,3.0,8000000,15000000,8000000,15000000,1,1399
20112404229,1,9211,1120,9.0,5.0,12000000,86000000,12000000,86000000,1,1399
20101398326,1,7114,43900,9.0,2.0,10000000,320000000,10000000,320000000,1,1399
20104399217,1,7518,10712,12.0,6.0,15000000,75000000,15000000,75000000,1,1399
20105400114,3,3122,1462,8.0,6.0,25000000,330000000,23833000,315996000,1,1399
20105400126,1,9112,85300,10.0,6.0,25000000,358000000,23833000,343996000,1,1399
20109402814,1,7115,16220,8.0,6.0,0,60000000,0,60000000,1,1399
20109402829,3,5153,56100,8.0,6.0,12000000,164000000,11440000,157280000,1,1399
20114405117,1,1115,84110,5.0,6.0,14000000,173000000,13347000,165164000,1,1399
20106401023,1,5153,23940,8.0,6.0,35000000,448000000,32867000,422404000,1,1399
20104399213,1,9314,43900,10.0,3.0,4000000,70000000,4000000,70000000,1,1399
20102398819,2,9211,1120,9.0,6.0,20000000,65000000,20000000,65000000,1,1399
20104399226,1,9314,43900,8.0,4.0,10000000,90000000,10000000,90000000,1,1399
20104399219,1,9211,1120,9.0,4.0,12000000,58000000,12000000,58000000,1,1399
20104399229,1,9211,1250,8.0,5.0,12000000,140000000,12000000,140000000,1,1399
20108401913,1,8322,84130,8.0,6.0,28000000,425000000,26694000,409328000,1,1399
20110403213,1,9314,42100,8.0,6.0,12000000,108000000,12000000,108000000,1,1399
20110403213,1,9314,43900,8.0,4.0,0,25000000,0,25000000,1,1399
20113404717,1,5153,84130,8.0,6.0,33000000,408000000,31160000,385920000,1,1399
20105400613,1,5131,56100,9.5,6.0,0,43000000,0,43000000,1,1399
20105400622,1,7123,43900,9.0,6.0,14000000,200000000,14000000,200000000,1,1399
20105400629,3,8151,13110,8.0,6.0,20000000,270000000,19066000,258792000,1,1399
20104399623,1,7511,10101,8.0,6.0,18000000,230000000,17160000,219920000,1,1399
20104399626,3,9314,43900,10.0,2.0,3500000,67000000,3500000,67000000,1,1399
20115405515,2,9211,1120,8.0,3.0,12000000,85000000,12000000,85000000,1,1399
20102398829,4,4412,82110,8.0,6.0,4000000,40000000,4000000,40000000,1,1399
20108401923,2,9211,1120,9.0,3.0,7500000,25000000,7500000,25000000,1,1399
20111403620,1,9211,1411,2.0,7.0,10000000,120000000,10000000,120000000,1,1399
20227416313,1,5411,35100,8.0,6.0,98281000,1259372000,93366950,1200403400,1,1399
20227416317,1,7212,10800,8.0,6.0,19350000,262200000,18382500,250590000,1,1399
20227416319,2,9314,41000,8.0,5.0,15400000,184800000,15400000,184800000,1,1399
20214411114,1,5151,86201,9.0,6.0,24850000,310200000,23748316,296979792,1,1399
20207409929,1,9314,41000,8.0,5.0,19000000,228000000,19000000,228000000,1,1399
20219413524,1,6121,1440,8.0,7.0,6000000,72000000,6000000,72000000,1,1399
20214411126,3,5169,96092,9.0,6.0,18500000,237000000,17679833,227157996,1,1399
20207409920,2,9112,85210,8.0,5.0,9000000,72000000,9000000,72000000,1,1399
20227416326,1,9314,41000,8.0,6.0,17500000,210000000,17500000,210000000,1,1399
20219413526,1,5224,47730,8.0,6.0,15000000,185000000,15000000,185000000,1,1399
20219413529,1,3322,46300,10.0,6.0,12000000,154000000,12000000,154000000,1,1399
20207409917,3,9211,1610,8.0,2.0,5500000,66000000,5500000,66000000,1,1399
20207409917,4,9314,41000,8.0,4.0,12800000,153600000,12800000,153600000,1,1399
20206409113,2,7231,45200,10.0,6.0,13000000,161000000,13000000,161000000,1,1399
20206409126,1,9329,22200,9.0,6.0,26000000,330000000,26000000,330000000,1,1399
20220413915,1,2432,84130,9.0,6.0,33000000,404000000,30673333,376079996,1,1399
20202407514,1,8322,49220,9.0,5.0,15000000,180000000,15000000,180000000,1,1399
20202407514,3,7532,22190,9.0,6.0,18500000,222000000,17660000,221920000,1,1399
20202407517,3,9211,1610,9.0,4.0,20000000,20000000,20000000,20000000,1,1399
20202407520,1,9314,41000,8.0,4.0,0,64000000,0,64000000,1,1399
20202407520,1,7413,25990,8.0,5.0,0,160000000,0,160000000,1,1399
20201406714,1,9314,41000,8.0,4.0,19200000,230400000,19200000,230400000,1,1399
20201406729,2,7122,43300,8.0,4.0,40000000,480000000,40000000,480000000,1,1399
