member,Male_count,Female_count,age,literacy,studying,degree,occupationalst,maritalst
5,4,1,20.8,3,1,9,5,2
4,2,2,32.5,4,2,9,4,1
4,2,2,46.5,4,0,3,0,1
2,1,1,28.0,2,0,2,4,1
2,1,1,61.5,1,0,3,5,1
4,3,1,24.25,3,1,9,4,1
3,2,1,45.333333333333336,3,1,3,4,1
4,3,1,29.75,4,1,9,4,1
2,1,1,63.5,0,0,6,4,1
5,2,3,19.6,4,2,3,3,2
2,1,1,69.5,2,0,3,4,1
2,1,1,72.5,1,0,3,1,1
3,1,2,42.333333333333336,3,1,3,4,1
4,3,1,19.5,3,1,3,4,1
4,2,2,32.25,4,1,3,4,1
3,2,1,45.333333333333336,2,0,3,4,1
3,1,2,22.0,2,0,9,5,1
3,2,1,48.0,1,1,6,1,1
3,1,2,23.0,2,0,2,4,1
3,2,1,41.333333333333336,3,0,3,4,1
3,2,1,34.0,3,1,7,4,1
3,1,2,28.666666666666668,3,1,9,4,1
2,1,1,69.5,0,0,6,1,1
2,1,1,81.5,2,0,7,4,1
3,2,1,38.333333333333336,3,1,3,4,1
1,0,1,80.0,0,0,6,0,3
4,3,1,25.25,4,2,9,3,1
2,1,1,72.5,0,0,6,1,1
3,1,2,32.0,3,1,3,4,1
2,1,1,66.5,2,0,3,4,1
4,2,2,47.25,3,0,2,4,1
5,3,2,21.0,4,2,3,3,2
4,1,3,22.5,3,1,3,4,1
4,3,1,37.75,4,1,3,4,1
2,0,2,35.0,2,0,2,1,3
4,1,3,33.5,4,1,3,0,1
2,0,2,41.5,2,0,7,1,3
4,3,1,26.25,4,1,3,4,1
3,1,2,52.666666666666664,3,0,3,1,3
3,2,1,51.0,1,0,6,4,1
4,2,2,26.25,4,2,3,3,1
1,0,1,80.0,1,0,3,0,3
2,1,1,57.5,2,0,7,1,1
3,1,2,24.333333333333332,3,1,3,4,1
3,1,2,22.0,2,0,2,4,1
1,0,1,70.0,1,0,3,1,3
4,2,2,19.0,4,2,9,3,1
4,1,3,24.75,4,2,3,3,1
3,2,1,50.0,3,0,3,4,1
5,4,1,31.2,5,0,3,4,2
4,2,2,27.0,4,1,7,4,1
2,1,1,67.5,2,0,7,1,1
3,1,2,55.666666666666664,1,0,6,4,1
2,1,1,67.0,2,0,3,4,1
3,1,2,35.333333333333336,3,1,3,4,1
2,1,1,79.0,0,0,6,4,1
