Address,tenure,room,space,construction,material,vehicle,motorcycle,cookingfuel,heatingfuel,waterheatingfuel,facilities
20001383919,4,3,80.0,1.0,4,1,1,3,4,4,7
20001383923,4,4,150.0,3.0,1,0,1,3,4,4,7
20001383925,4,3,75.0,3.0,1,0,1,3,4,4,7
20001383929,0,2,45.0,3.0,7,0,0,3,4,4,6
20001383932,4,4,120.0,1.0,4,0,0,3,4,4,6
20001383935,4,4,120.0,3.0,4,0,0,3,4,4,8
20001384021,4,4,70.0,3.0,4,1,0,3,4,4,8
20001384022,0,3,70.0,3.0,4,1,0,3,4,4,8
20001384026,4,3,100.0,3.0,4,1,0,3,4,4,9
20001384029,0,4,85.0,3.0,4,1,0,3,4,4,8
20001384032,4,4,120.0,3.0,4,1,0,3,4,4,8
20001384035,4,4,80.0,3.0,4,0,0,3,4,4,6
20001384121,4,4,100.0,3.0,4,0,0,3,4,4,4
20001384123,0,4,70.0,3.0,4,1,1,3,4,4,5
20001384126,4,5,150.0,3.0,4,1,1,3,4,4,8
20001384129,4,3,90.0,3.0,4,0,1,3,4,4,4
20001384132,4,3,60.0,3.0,7,0,0,3,4,4,5
20001384135,4,2,60.0,3.0,7,0,0,3,4,4,5
20001384220,4,4,80.0,3.0,4,1,0,3,4,4,8
20001384223,4,4,120.0,3.0,4,0,0,3,4,4,7
20001384225,4,3,40.0,3.0,4,0,0,3,4,4,8
20001384232,4,4,85.0,3.0,4,1,0,3,4,4,9
20001384235,4,4,110.0,3.0,4,0,0,3,4,4,7
20001384321,4,4,85.0,3.0,4,0,0,3,4,4,7
20001384322,4,4,80.0,3.0,4,1,0,3,4,4,8
20001384326,4,4,85.0,3.0,4,0,0,3,4,4,6
20001384327,4,4,90.0,3.0,4,1,0,3,4,4,8
20001384332,4,4,100.0,3.0,4,1,0,3,4,4,8
20001384335,4,4,90.0,3.0,4,1,0,3,4,4,10
20001384420,4,4,140.0,3.0,4,0,0,3,4,4,7
20001384423,4,4,130.0,3.0,4,1,0,3,4,4,9
20001384425,4,4,95.0,3.0,4,1,0,3,4,4,8
20001384426,4,4,90.0,3.0,4,1,0,3,4,4,8
20001384432,0,4,90.0,3.0,4,0,0,3,4,4,9
20001384521,4,4,90.0,3.0,4,0,0,3,4,4,8
20001384522,4,3,80.0,3.0,4,0,1,3,4,4,7
20001384525,4,4,80.0,3.0,4,0,0,3,4,4,7
20001384528,4,3,80.0,3.0,4,1,0,3,4,4,8
20001384532,4,4,100.0,3.0,4,1,0,3,4,4,6
20001384535,4,3,120.0,3.0,4,0,1,3,4,4,7
20001384621,5,4,100.0,3.0,4,1,0,3,4,4,8
20001384622,4,3,80.0,3.0,4,0,0,3,4,4,6
20001384626,4,4,90.0,3.0,3,0,0,3,4,4,6
20001384629,4,4,80.0,3.0,4,1,0,3,4,4,8
20001384632,5,4,75.0,3.0,4,0,0,3,4,4,8
20001384635,4,4,70.0,3.0,4,0,0,3,4,4,7
20001384723,4,4,100.0,3.0,4,1,0,3,4,4,8
20001384724,4,4,90.0,3.0,4,0,0,3,4,4,9
20001384726,4,4,95.0,3.0,4,1,0,3,4,4,8
20001384729,4,4,85.0,3.0,4,1,0,3,4,4,9
20001384732,4,4,90.0,3.0,4,0,0,3,4,4,9
20001384735,4,4,75.0,3.0,4,0,0,3,4,4,7
20001384819,4,4,80.0,3.0,3,0,1,3,4,4,8
20001384824,4,4,100.0,3.0,4,1,0,3,4,4,6
20001384825,4,3,70.0,3.0,4,1,0,3,4,4,7
20001384828,4,5,100.0,3.0,4,1,0,3,4,4,6
20001384832,4,5,70.0,3.0,7,0,0,3,4,4,6
20001384835,4,3,40.0,3.0,3,0,0,3,4,4,5
20001384919,4,3,100.0,3.0,4,1,0,3,4,4,7
20001384920,4,3,80.0,3.0,4,1,0,3,4,4,9
20001384926,4,3,120.0,3.0,4,0,0,3,4,4,7
20001384929,4,4,70.0,3.0,4,1,0,3,4,4,9
20001384932,4,3,80.0,3.0,4,1,0,3,4,4,10
