Address,code,value
20006389419,56112,200000
20006389419,56115,200000
20006389419,56116,100000
20006389419,56119,100000
20003386627,55224,60000
20003386627,56112,130000
20003386627,56115,180000
20003386627,56117,50000
20003386627,56118,360000
20003386627,56134,50000
20001384220,52117,900000
20001384220,54011,1600000
20001384220,54027,600000
20001384220,55215,700000
20001384220,55224,350000
20001384220,56112,195000
20001384220,56114,475000
20001384220,56115,400000
20001384220,56116,880000
20001384220,56118,235000
20001384220,56119,215000
20001384220,56127,300000
20001384220,56129,85000
20001384220,56134,70000
20001384220,56135,290000
20001384220,56138,160000
20001384220,56148,110000
20001384220,56149,190000
20003387032,55221,600000
20003387032,55222,200000
20003387032,55224,120000
20003387032,56111,480000
20003387032,56112,250000
20003387032,56114,1800000
20003387032,56116,320000
20003387032,56118,160000
20003387032,56119,120000
20003387032,56135,300000
20007391823,55224,200000
20007391823,56112,120000
20007391823,56116,150000
20007391823,56118,400000
20007391823,56135,100000
20007391823,56139,70000
20001384225,52116,1000000
20001384225,52118,900000
20001384225,54012,800000
20001384225,54013,700000
20001384225,54015,1000000
20001384225,54028,500000
20001384225,55221,300000
20001384225,55224,200000
20001384225,56111,385000
20001384225,56112,190000
20001384225,56114,425000
20001384225,56115,375000
20001384225,56116,550000
20001384225,56118,180000
20001384225,56119,175000
20001384225,56127,285000
20001384225,56135,250000
20001384225,56137,200000
20001384225,56145,115000
20001384225,56151,215000
20001384223,52111,10000000
20001384223,54011,880000
20001384223,54015,950000
20001384223,54035,420000
20001384223,55221,540000
20001384223,55224,290000
20001384223,56111,535000
20001384223,56112,175000
20001384223,56114,546000
20001384223,56115,467000
20001384223,56116,770000
20001384223,56118,252000
20001384223,56119,217000
20001384223,56127,375000
20001384223,56132,185000
20001384223,56134,100000
20001384223,56135,350000
20001384223,56144,125000
20001384223,56146,195000
20001384223,56148,140000
20001384223,56151,230000
20001384232,52117,480000
20001384232,54011,900000
20001384232,54018,700000
20001384232,54027,500000
20001384232,55224,900000
20001384232,56111,565000
20001384232,56112,168000
20001384232,56114,546000
20001384232,56115,525000
20001384232,56116,750000
20001384232,56118,215000
20001384232,56119,230000
20001384232,56127,385000
20001384232,56135,320000
20001384232,56139,50000
20001384232,56151,220000
20001384235,52115,750000
20001384235,52122,500000
20001384235,54011,1300000
20001384235,54032,850000
20001384235,55215,900000
20001384235,56111,595000
20001384235,56112,185000
20001384235,56114,580000
20001384235,56115,470000
20001384235,56116,720000
20001384235,56119,230000
20001384235,56121,220000
20001384235,56127,297000
