Address,member,Total_income,Fasl,year
20001384225,1,25600000.0,1,1401
20001384232,1,25600000.0,1,1401
20001384235,1,560800000.0,1,1401
20011394620,1,40640000.0,1,1401
20011394623,1,27000000.0,1,1401
20003387025,1,87000000.0,1,1401
20003387032,1,643540000.0,1,1401
20001384220,1,25600000.0,1,1401
20003387029,1,50700000.0,1,1401
20011394626,1,152360000.0,1,1401
20001384223,1,25600000.0,1,1401
20007391823,1,27040000.0,1,1401
20007391832,1,22360000.0,1,1401
20009393035,1,575000000.0,1,1401
20009393027,1,600000000.0,1,1401
20009393021,1,23050000.0,1,1401
20006389419,1,30160000.0,1,1401
20003386635,2,69000000.0,1,1401
20003386632,1,170000000.0,1,1401
20003386627,1,313600000.0,1,1401
20009393030,1,29320000.0,1,1401
20003387035,1,35370000.0,1,1401
20007391826,1,46600000.0,1,1401
20011394635,1,27040000.0,1,1401
20011394625,1,30640000.0,1,1401
20007391820,1,30640000.0,1,1401
20011394632,1,34000000.0,1,1401
20002385819,1,22360000.0,1,1401
20002385835,1,420000000.0,1,1401
20007392630,1,33340000.0,1,1401
20007392632,1,69360000.0,1,1401
20010393429,1,382360000.0,1,1401
20012395826,1,70600000.0,1,1401
20013397021,1,52340000.0,1,1401
20002385825,1,10000000.0,1,1401
20003386626,1,495000000.0,1,1401
20003386623,1,226000000.0,1,1401
20002385828,1,34000000.0,1,1401
20007392627,1,346800000.0,1,1401
20009393020,1,22600000.0,1,1401
20007392635,1,41400000.0,1,1401
20012395832,1,10000000.0,1,1401
20010393423,1,434000000.0,1,1401
20003386621,1,324000000.0,1,1401
20003387019,1,587000000.0,1,1401
20003387024,1,45680000.0,1,1401
20006389435,1,162600000.0,1,1401
20006390626,1,32190000.0,1,1401
20011395432,1,22360000.0,1,1401
20011395428,1,153960000.0,1,1401
20006389432,1,30640000.0,1,1401
20010394235,1,26560000.0,1,1401
20010394226,1,70640000.0,1,1401
20004388235,1,120000000.0,1,1401
20002385832,1,22360000.0,1,1401
20011395435,1,30640000.0,1,1401
20010394225,1,76640000.0,1,1401
20006389424,1,17960000.0,1,1401
20006390622,1,878800000.0,1,1401
20011395420,1,42140000.0,1,1401
20010394221,1,26560000.0,1,1401
20011395426,1,120060000.0,1,1401
20011395423,1,42140000.0,1,1401
20011395423,2,15000000.0,1,1401
20010394223,1,30640000.0,1,1401
20006390632,1,72400000.0,1,1401
20010394232,1,302360000.0,1,1401
20002385823,1,7000000.0,1,1401
20004388226,1,101600000.0,1,1401
20013397029,1,157360000.0,1,1401
20013397819,1,10000000.0,1,1401
20013397823,1,30360000.0,1,1401
20012395823,1,27040000.0,1,1401
20013397035,1,212950000.0,1,1401
20013397026,1,145050000.0,1,1401
20001385430,1,299360000.0,1,1401
20013397830,1,12600000.0,1,1401
20013397826,1,102600000.0,1,1401
20001385432,1,35110000.0,1,1401
20001385421,1,290560000.0,1,1401
20001385424,1,366360000.0,1,1401
20001385429,1,306400000.0,1,1401
20006390219,1,33970000.0,1,1401
20006390227,1,67940000.0,1,1401
20006390225,1,31470000.0,1,1401
