Address,code,purchased,value
20001384232,111145,1,300000
20003387032,111135,1,500000
20003387032,111143,1,500000
20009393035,111115,1,800000
20003386626,111115,1,400000
20003386626,111117,1,550000
20007391426,111126,1,150000
20006389424,111211,5,3000000
20001384220,111123,1,580000
20007392627,111124,1,250000
20007392627,111134,1,50000
20007391420,111126,1,100000
20003387029,111118,1,600000
20001385432,111211,1,500000
20001385432,111211,5,800000
20001385421,111115,1,800000
20001385421,111118,1,500000
20010393821,111211,5,5000000
20006389822,111121,1,2000000
20001384629,111122,1,450000
20001384621,111143,1,380000
20012396621,111115,1,800000
20010393827,111211,5,4000000
20007392222,111124,1,700000
20007392222,111135,1,300000
20012396221,111115,1,3700000
20001385035,111122,1,500000
20006389835,111211,1,500000
20006389835,111211,5,800000
20013397835,111143,1,120000
20006389830,111211,1,450000
20006389830,111211,5,700000
20007392232,111115,1,1600000
20011395020,111141,1,150000
20001385032,111143,1,500000
20001385032,111145,1,350000
20006390220,111211,5,600000
20102398832,111143,1,300000
20102398832,111145,1,150000
20112404232,111141,1,250000
20112404232,111143,1,250000
20112404232,111145,1,100000
20102398835,111122,1,550000
20102398835,111128,1,280000
20102398835,111129,1,200000
20102398835,111131,1,350000
20102398835,111133,1,180000
20102398835,111134,1,165000
20102398835,111135,1,170000
20102398835,111141,1,200000
20102398835,111143,1,250000
20102398835,111145,1,150000
20102398826,111143,1,250000
20107401527,111118,1,500000
20107401527,111133,1,50000
20112404220,111131,1,80000
20112404220,111137,1,450000
20112404220,111143,1,120000
20102398825,111137,1,350000
20102398825,111143,1,250000
20104399232,111132,1,200000
20104399232,111143,1,300000
20104399232,111145,1,150000
20101398323,111132,1,250000
20101398323,111135,1,150000
20101398323,111141,1,200000
20101398323,111143,1,100000
20101398323,111145,1,250000
20108401929,111124,1,320000
20108401929,111133,1,150000
20108401929,111143,1,200000
20104399228,111143,1,150000
20107401532,111126,1,260000
20107401532,111133,1,80000
20107401532,111135,1,180000
20107401532,111143,1,260000
20101398332,111132,1,170000
20104399629,111132,1,350000
20104399619,111132,1,200000
20104399626,111132,1,300000
20104399626,111143,1,150000
20104399626,111145,1,250000
20108402432,111115,1,680000
20108402432,111116,1,800000
20108402432,111117,1,750000
20108402432,111118,1,600000
20108402432,111124,1,350000
20108402432,111129,1,300000
20108402432,111133,1,250000
20114405122,111132,1,300000
20114405122,111133,1,175000
20114405122,111134,1,185000
20114405122,111135,1,100000
20114405122,111141,1,150000
20114405122,111143,1,150000
20114405122,111145,1,200000
20114405120,111132,1,350000
20109402823,111132,1,400000
20105400135,111124,1,480000
20105400135,111133,1,120000
20105400135,111135,1,340000
20105400135,111141,1,120000
20105400126,111143,1,100000
20105400126,111145,1,150000
20105400132,111118,1,420000
20105400132,111124,1,380000
20105400132,111133,1,120000
20105400132,111143,1,200000
20115405525,111143,1,150000
20115405525,111145,1,250000
20115405532,111135,1,110000
20115405532,111143,1,120000
20105400635,111132,1,400000
20110403232,111132,1,400000
20105400632,111132,1,350000
20105400632,111133,1,200000
20105400632,111134,1,175000
20105400632,111135,1,200000
20105400632,111137,1,300000
20105400632,111141,1,180000
20105400632,111143,1,450000
20105400632,111145,1,200000
20105400627,111115,1,750000
20105400627,111116,1,650000
20105400627,111117,1,500000
20105400627,111133,1,150000
20105400627,111134,1,200000
20110403230,111124,1,250000
20110403230,111133,1,60000
20110403230,111134,1,180000
20110403230,111143,1,220000
20113404735,111126,1,320000
20113404735,111133,1,80000
20113404735,111135,1,80000
20113404735,111143,1,60000
20113404732,111135,1,150000
20113404732,111143,1,80000
20105400622,111135,1,150000
20105400622,111141,1,200000
20105400622,111143,1,120000
20105400621,111132,1,150000
20105400621,111141,1,120000
20105400621,111143,1,350000
20108401935,111132,1,300000
20108401935,111133,1,250000
20108401935,111134,1,180000
20108401935,111135,1,150000
20108401935,111141,1,150000
20108401935,111143,1,350000
20108401935,111145,1,200000
20205408732,111129,1,400000
20205408732,111132,1,100000
20205408732,111145,1,300000
20205408729,111132,1,150000
20205408729,111141,1,350000
20227416326,111124,1,350000
20223415120,111143,1,300000
20223415126,111117,1,450000
20223415126,111133,1,100000
20223415126,111143,1,400000
20223415129,111143,1,300000
20223415135,111118,1,500000
20223415135,111133,1,120000
20223415135,111143,1,250000
20225415523,111124,1,800000
20225415523,111129,1,500000
20225415523,111133,1,200000
20225415523,111134,1,300000
20225415532,111112,1,900000
20225415532,111117,1,1200000
20225415532,111118,1,500000
20225415532,111133,1,350000
20225415532,111141,1,200000
20221414335,111141,1,180000
20221414335,111143,1,250000
20221414335,111145,1,110000
20215411920,111129,1,250000
20215411920,111132,1,50000
20215411920,111143,1,1000000
20215411929,111143,1,600000
20215411923,111143,1,300000
20225415935,111115,1,400000
