Address,member,ISCO_w,ISIC_w,hours_w,days_w,income_w_m,income_w_y,netincome_w_m,netincome_w_y,Fasl,year
21702575238,4,7114,42100.0,12,5,86000000,897000000,77400000,812300000,3,1401
21702575626,3,9314,41000.0,7,5,33000000,428000000,33000000,428000000,3,1401
21702575626,4,7231,45200.0,9,6,30000000,317000000,30000000,317000000,3,1401
21702575632,1,9314,41000.0,9,5,430000000,442000000,43000000,442000000,3,1401
21702575635,1,9314,41000.0,8,5,39000000,457000000,39000000,457000000,3,1401
21702575641,1,5224,47212.0,8,6,40000000,477000000,40000000,477000000,3,1401
21702576029,1,9314,41000.0,8,4,28000000,219000000,28000000,219000000,3,1401
21702576029,3,9314,41000.0,9,6,41000000,408000000,41000000,408000000,3,1401
21702576041,5,4323,52240.0,10,6,50000000,498000000,50000000,498000000,3,1401
21702576041,7,9314,41000.0,10,5,80000000,817000000,72000000,729000000,3,1401
21702576426,1,9314,41000.0,8,5,33000000,414000000,33000000,414000000,3,1401
21702576428,1,9314,41000.0,9,5,40000000,456000000,40000000,456000000,3,1401
21702576432,1,1345,84120.0,7,6,112000000,1290000000,100500000,1162600000,3,1401
21702576438,2,9314,41000.0,8,4,36000000,357000000,36000000,357000000,3,1401
21702576438,5,2330,85210.0,5,5,48000000,552000000,43200000,498400000,3,1401
21702576441,1,9314,41000.0,7,3,28000000,348000000,28000000,348000000,3,1401
21702576441,2,2622,91010.0,6,6,53000000,612000000,47700000,552400000,3,1401
21703576826,1,9614,84110.0,6,6,58000000,793000000,52140000,722680000,3,1401
21703576835,1,8332,49230.0,12,4,98000000,1176000000,85340000,1024080000,3,1401
21703577235,1,9314,41000.0,8,4,44000000,570000000,44000000,570000000,3,1401
21703577238,1,8113,42100.0,8,6,89000000,1142000000,77870000,1008440000,3,1401
21703577629,3,9314,41000.0,8,4,0,290000000,0,290000000,3,1401
21703577635,1,9314,41000.0,8,4,44000000,580000000,44000000,580000000,3,1401
21703577638,1,9214,6100.0,7,5,98500000,1307000000,85755000,1154060000,3,1401
21704578026,1,2263,23940.0,12,5,85000000,1013000000,76500000,913200000,3,1401
21704578029,2,7537,14100.0,8,5,38000000,378000000,34000000,336000000,3,1401
21704578032,1,3123,41000.0,9,5,0,444000000,0,410400000,3,1401
21704578032,1,8112,23940.0,10,5,63000000,378000000,56700000,340200000,3,1401
21704578035,5,9314,41000.0,8,5,37000000,383000000,37000000,383000000,3,1401
21704578041,5,510,84230.0,9,4,48000000,576000000,48000000,576000000,3,1401
21704578426,1,8114,23950.0,9,6,42000000,396000000,42000000,396000000,3,1401
21704578429,1,8114,23950.0,9,6,44000000,418000000,44000000,418000000,3,1401
21704578432,3,9314,41000.0,8,5,40000000,450000000,40000000,450000000,3,1401
21704578432,4,7119,41000.0,12,7,0,923000000,0,886000000,3,1401
21704578432,5,9314,41000.0,8,5,43000000,483000000,43000000,483000000,3,1401
21704578441,1,9314,41000.0,8,5,39000000,452000000,39000000,452000000,3,1401
21704578829,2,3221,86201.0,7,6,86000000,997000000,77400000,892300000,3,1401
21704578835,1,3113,6100.0,12,5,112000000,1359000000,106000000,1230500000,3,1401
21704578841,1,5414,86201.0,12,6,58000000,666000000,52000000,616000000,3,1401
21705579232,3,9314,41000.0,8,4,0,350000000,0,350000000,3,1401
21705579235,4,9314,41000.0,8,3,38000000,450000000,38000000,450000000,3,1401
21705579238,3,9314,41000.0,8,3,34000000,470000000,34000000,470000000,3,1401
21705579241,1,9314,41000.0,8,4,42000000,570000000,42000000,570000000,3,1401
21705579632,1,9314,41000.0,8,4,42000000,570000000,42000000,570000000,3,1401
21705579638,1,7111,43900.0,8,5,62000000,980000000,62000000,980000000,3,1401
21705579638,4,9314,41000.0,8,3,41000000,520000000,41000000,520000000,3,1401
21705580038,3,9314,41000.0,8,3,37000000,410000000,37000000,410000000,3,1401
21706580432,1,3343,84230.0,7,6,94000000,1276000000,82020000,1132240000,3,1401
21706580435,1,9314,41000.0,8,4,48000000,590000000,48000000,590000000,3,1401
21706580438,2,9314,41000.0,8,4,41000000,540000000,41000000,540000000,3,1401
21706580826,1,7111,43900.0,8,4,86000000,1350000000,86000000,1350000000,3,1401
21706580829,1,9314,41000.0,8,4,47000000,610000000,47000000,610000000,3,1401
21707581226,1,9211,1610.0,8,5,49000000,670000000,49000000,670000000,3,1401
21707581229,1,9314,42100.0,8,6,84000000,1105000000,73720000,981640000,3,1401
21707581232,1,9314,41000.0,8,4,39000000,510000000,39000000,510000000,3,1401
