Address,member,Total_income,Fasl,year
20001384026,1,121350000,3,1401
20001384027,1,89350000,3,1401
20001384031,1,79360000,3,1401
20001384035,1,89540000,3,1401
20001384038,1,146350000,3,1401
20001384041,1,90200000,3,1401
20001384425,1,727950000,3,1401
20001384425,2,4800000,3,1401
20001384426,1,66800000,3,1401
20001384426,2,2800000,3,1401
20001384432,1,124050000,3,1401
20001384432,2,3800000,3,1401
20001384432,3,3800000,3,1401
20001384432,4,3800000,3,1401
20001384435,1,105850000,3,1401
20001384435,2,3800000,3,1401
20001384435,3,3800000,3,1401
20001384435,4,3800000,3,1401
20001384438,1,54950000,3,1401
20001384438,2,3800000,3,1401
20001384441,1,77800000,3,1401
20001384441,2,4800000,3,1401
20001384441,3,4800000,3,1401
20001384441,4,4800000,3,1401
20001384826,1,71820000,3,1401
20001384826,2,3300000,3,1401
20001384826,3,3300000,3,1401
20001384828,1,133120000,3,1401
20001384828,2,5000000,3,1401
20001384833,1,201000000,3,1401
20001384833,2,6000000,3,1401
20001384834,1,61920000,3,1401
20001384834,2,3800000,3,1401
20001384838,1,1213200000,3,1401
20001384838,2,10000000,3,1401
20001384838,3,10000000,3,1401
20001384838,4,10000000,3,1401
20001384838,5,10000000,3,1401
20001384841,1,782000000,3,1401
20001384841,2,10000000,3,1401
20001385226,1,70000000,3,1401
20001385229,1,70000000,3,1401
20001385231,1,100000000,3,1401
20001385234,1,70000000,3,1401
20001385241,1,70000000,3,1401
20001385625,1,105000000,3,1401
20001385625,2,5000000,3,1401
20001385630,1,83800000,3,1401
20001385630,2,1800000,3,1401
20001385635,1,74700000,3,1401
20001385635,2,3800000,3,1401
20001385635,3,3800000,3,1401
20001385636,1,70900000,3,1401
20001385636,2,5000000,3,1401
20001385638,1,69000000,3,1401
20001385638,2,5000000,3,1401
20001385638,3,5000000,3,1401
20001385641,1,757800000,3,1401
20001385641,2,1800000,3,1401
20002386027,1,726120000,3,1401
20002386027,2,10000000,3,1401
20002386029,1,372000000,3,1401
20002386029,3,9000000,3,1401
20002386032,1,201580000,3,1401
20002386032,2,9900000,3,1401
20002386032,3,9900000,3,1401
20002386032,4,9900000,3,1401
20002386035,1,263200000,3,1401
20002386038,1,336200000,3,1401
20002386041,1,1026120000,3,1401
20002386041,2,10000000,3,1401
20002386428,1,45000000,3,1401
20002386429,1,76800000,3,1401
20002386429,2,4800000,3,1401
20002386429,3,4800000,3,1401
20002386429,4,4800000,3,1401
20002386431,1,45000000,3,1401
20002386431,2,5000000,3,1401
20002386433,1,60000000,3,1401
20002386438,1,90000000,3,1401
20002386441,1,107000000,3,1401
20002386441,2,5000000,3,1401
20003386825,1,85550000,3,1401
20003386829,1,410000000,3,1401
20003386829,2,4000000,3,1401
20003386835,1,64000000,3,1401
20003386835,2,5000000,3,1401
20003386835,3,5000000,3,1401
20003386836,1,754000000,3,1401
20003386838,1,106000000,3,1401
20003386841,1,740750000,3,1401
20004387228,1,58000000,3,1401
20004387229,1,100880000,3,1401
