Address,member,Male_count,Female_count,age,literacy,studying,degree,occupationalst,maritalst,province,town,tenure,room,space,construction,material,vehicle,motorcycle,cookingfuel,heatingfuel,waterheatingfuel,facilities,total_cost,total_income
20001383925,4,2,2,47.75,1.0,0.0,3,4,1,22,1,4,3,75.0,3.0,1,0,0,3,3,4,8,62212552.0,702600000.0
20001383929,3,1,2,66.33333333333333,0.6666666666666666,0.0,3,0,1,22,1,4,3,110.0,3.0,4,0,0,3,3,4,10,58778776.0,254690000.0
20001383932,3,1,2,55.333333333333336,0.6666666666666666,0.0,3,0,1,22,1,4,3,80.0,3.0,7,0,0,3,3,4,7,36050000.0,133250000.0
20001383934,2,1,1,84.5,0.0,0.0,6,1,1,22,1,4,3,100.0,3.0,4,0,0,3,3,4,7,108412776.0,444300000.0
20001383938,2,1,1,47.0,0.5,0.0,6,4,1,22,1,4,3,120.0,3.0,2,0,1,3,3,4,9,153194388.0,0.0
20001383941,3,0,3,39.333333333333336,0.6666666666666666,0.3333333333333333,3,0,3,22,1,4,4,100.0,3.0,4,0,0,3,3,4,8,156132000.0,276350000.0
20001384026,2,1,1,74.5,0.0,0.0,6,4,1,22,1,4,3,65.0,3.0,7,0,0,3,3,4,4,98438776.0,254270000.0
20001384027,5,2,3,19.8,0.8,0.4,3,3,2,22,1,0,2,20.0,3.0,7,0,0,3,3,4,5,100451940.0,102825000.0
20001384031,3,2,1,47.66666666666666,0.6666666666666666,0.0,3,4,1,22,1,4,3,45.0,3.0,7,1,1,3,3,4,4,179197164.0,86465000.0
20001384035,4,1,3,19.0,0.75,0.0,3,5,1,22,1,0,3,50.0,3.0,4,0,0,3,3,4,8,377589552.0,99830000.0
20001384038,2,1,1,59.5,0.5,0.0,3,4,1,22,1,4,3,60.0,3.0,4,0,0,3,3,4,4,48538776.0,213270000.0
20001384041,2,1,1,60.0,0.5,0.0,6,1,3,22,1,4,2,35.0,3.0,7,0,0,3,3,4,5,208040000.0,94750000.0
20001384126,2,1,1,73.5,0.0,0.0,6,2,1,22,1,4,3,100.0,3.0,4,0,1,3,3,4,6,201968776.0,125120000.0
20001384129,4,2,2,19.25,0.75,0.25,3,4,1,22,1,4,2,80.0,3.0,4,0,1,3,3,4,5,45988164.0,96200000.0
20001384135,5,4,1,31.6,1.0,0.2,2,4,2,22,1,4,3,100.0,3.0,4,1,0,3,3,4,8,693380000.0,148700000.0
