Address,member,ISCO_s,ISIC_s,status_s,agriculture,hours_s,days_s,Total_cost,sale,income_s_y,Fasl,year
20001384026,1,6112,1240,4,1,5,4,191000000,320000000,129000000,3,1401
20001384038,1,6112,1240,4,1,8,5,137000000,200000000,63000000,3,1401
20001385231,1,6121,1440,5,1,4,7,203000000,370000000,167000000,3,1401
20001385231,3,6121,1440,6,1,4,7,0,0,0,3,1401
20001385231,4,6121,1440,6,1,4,7,0,0,0,3,1401
20001385234,1,6121,1440,5,1,8,7,739000000,1120000000,381000000,3,1401
20001385238,1,6111,1110,4,1,7,7,130000000,430000000,300000000,3,1401
20001385241,1,6111,1110,5,1,5,7,258000000,550000000,292000000,3,1401
20001385241,1,6121,1440,5,1,5,7,3822000000,4200000000,378000000,3,1401
20001385625,1,7115,16220,5,2,9,6,5354000000,8000000000,2646000000,3,1401
20002386029,2,6111,1110,5,1,5,4,695000000,1000000000,305000000,3,1401
20002386032,1,6121,1440,5,1,7,7,55000000,182000000,127000000,3,1401
20002386428,2,6121,1440,5,1,7,7,5055000000,7300000000,2245000000,3,1401
20002386431,1,6121,1440,5,1,7,7,1717000000,2300000000,583000000,3,1401
20002386433,1,6111,1110,5,1,4,6,372000000,1200000000,828000000,3,1401
20003386835,1,6111,1110,5,1,7,7,52000000,640000000,588000000,3,1401
20004387229,1,6111,1110,5,1,5,4,661000000,1000000000,339000000,3,1401
20004387229,1,6121,1440,5,1,5,7,251000000,850000000,599000000,3,1401
20004387236,1,6112,1240,5,1,4,4,231000000,711000000,480000000,3,1401
20004387627,1,6111,1110,5,1,5,7,119000000,240000000,121000000,3,1401
20004387627,4,5153,96020,5,2,8,6,340000000,580000000,240000000,3,1401
20004387641,1,9614,47990,5,2,8,7,0,350000000,350000000,3,1401
20004388026,1,6111,1110,5,1,5,7,277500000,340000000,62500000,3,1401
20004388030,1,7115,16220,5,1,8,5,1525000000,2485000000,960000000,3,1401
20004388030,1,6111,1110,5,1,8,2,41000000,90000000,49000000,3,1401
20004388035,1,6111,1110,5,1,3,7,51700000,80000000,28300000,3,1401
20004388035,4,5143,96020,5,2,4,4,23000000,73000000,50000000,3,1401
20004388036,1,6111,1110,4,1,8,4,275000000,510000000,235000000,3,1401
20004388036,1,6121,1490,5,1,1,7,206000000,420000000,214000000,3,1401
20004388036,2,6121,1440,6,1,1,7,0,0,0,3,1401
20004388038,1,6111,1110,4,1,8,5,347000000,540000000,193000000,3,1401
20004388038,1,6121,1440,5,1,3,7,741500000,930000000,188500000,3,1401
20004388041,1,6111,1110,5,1,5,7,118000000,300000000,182000000,3,1401
20004388041,3,6111,1110,6,1,5,7,0,0,0,3,1401
20004388426,1,6111,1110,5,1,5,4,100000000,450000000,350000000,3,1401
20004388432,1,6112,1240,4,1,7,5,140000000,300000000,160000000,3,1401
20005388830,1,6121,1440,5,1,6,7,313000000,1400000000,1087000000,3,1401
20005389241,1,6112,1240,4,1,5,4,118000000,270000000,152000000,3,1401
20006389629,1,5143,96020,5,2,8,6,303000000,1023000000,720000000,3,1401
20006390025,1,8322,49230,5,2,10,3,250000000,450000000,200000000,3,1401
20006390025,1,5212,47990,5,2,5,4,2030000000,6030000000,4000000000,3,1401
20006390025,2,3314,65120,5,2,5,5,30000000,510000000,480000000,3,1401
20006390030,1,6112,1240,4,1,8,5,810000000,1400000000,590000000,3,1401
20006390032,1,6112,1240,5,1,9,7,690000000,2500000000,1810000000,3,1401
20006390033,2,6112,1240,5,1,9,7,1450000000,3000000000,1550000000,3,1401
20006390038,1,6112,1240,4,1,8,5,675000000,1250000000,575000000,3,1401
20006390041,1,6112,1240,4,1,8,6,80000000,580000000,500000000,3,1401
20006390429,1,6111,1110,4,1,8,4,166000000,920000000,754000000,3,1401
20006390429,1,6121,1440,5,1,3,7,161500000,530000000,368500000,3,1401
20006390436,2,6112,1240,4,1,6,3,78000000,170000000,92000000,3,1401
20006390438,1,6111,1110,4,1,4,5,443000000,880000000,437000000,3,1401
20006390438,1,6112,1240,5,1,3,4,106000000,320000000,214000000,3,1401
20006390827,1,6121,1440,5,1,7,7,70000000,300000000,230000000,3,1401
20006390833,1,6121,1440,5,1,5,7,630000000,990000000,360000000,3,1401
20006390835,1,6111,1110,5,1,3,4,85000000,120000000,35000000,3,1401
20006390841,1,6121,1440,5,1,4,7,192000000,240000000,48000000,3,1401
20007391228,1,6111,1110,4,1,8,4,1300000000,1800000000,500000000,3,1401
20007391228,1,6121,1440,5,1,3,7,384000000,570000000,186000000,3,1401
20007391241,1,6111,1110,4,1,8,5,1210000000,2405000000,1195000000,3,1401
20007391625,1,6111,1110,4,1,4,7,693000000,750000000,57000000,3,1401
20007391625,1,6121,1440,5,1,4,7,331000000,480000000,149000000,3,1401
20007391628,1,6111,1110,5,1,8,3,220000000,470000000,250000000,3,1401
20007391628,1,6121,1440,5,1,3,7,206000000,405000000,199000000,3,1401
20007391634,1,6111,1110,5,1,5,7,200000000,1000000000,800000000,3,1401
20007391635,1,6111,1110,5,1,5,7,230000000,1000000000,770000000,3,1401
20007391641,1,6111,1110,5,1,8,4,129000000,240000000,111000000,3,1401
20007391641,1,6121,1440,5,1,5,7,387500000,605000000,217500000,3,1401
20007392032,1,6121,1440,5,1,3,7,110000000,170000000,60000000,3,1401
20007392034,1,8322,49220,5,2,6,5,140000000,400000000,260000000,3,1401
20007392041,1,6111,1110,4,1,8,5,435000000,1200000000,765000000,3,1401
20007392430,1,6121,1440,5,1,5,7,70000000,170000000,100000000,3,1401
20007392438,1,6121,1440,4,1,2,3,19100000,210000000,190900000,3,1401
20007392441,1,6121,1440,5,1,1,7,108000000,175000000,67000000,3,1401
20009392827,1,6111,1110,5,1,5,7,143000000,400000000,257000000,3,1401
20009392827,1,6121,1440,4,1,5,7,105000000,300000000,195000000,3,1401
20009392830,1,6111,1110,4,1,8,4,222500000,425000000,202500000,3,1401
20009392830,1,6121,1440,5,1,3,7,205000000,540000000,335000000,3,1401
20009392838,1,6121,1440,5,1,5,7,520000000,620000000,100000000,3,1401
20009392838,4,6121,1440,6,1,4,7,0,0,0,3,1401
20009392841,2,6121,1440,5,1,3,7,911000000,1070000000,159000000,3,1401
20009393228,3,6112,1240,5,1,6,1,7000000,90000000,83000000,3,1401
20009393232,2,5224,47212,5,2,10,7,3690000000,4200000000,510000000,3,1401
20009393241,3,6121,1440,5,1,5,7,820000000,850000000,30000000,3,1401
20010393641,1,7231,45400,5,2,8,6,132000000,800000000,668000000,3,1401
20010394026,1,8322,49220,5,2,8,5,70000000,520000000,450000000,3,1401
20010394038,1,8322,49230,5,2,12,5,490000000,1690000000,1200000000,3,1401
20011394827,1,6111,1110,5,1,8,6,330000000,1305000000,975000000,3,1401
20011394827,5,6111,1110,6,1,8,6,0,0,0,3,1401
20011394829,1,7126,43220,5,2,8,6,200000000,840000000,640000000,3,1401
20011394835,1,8322,49220,5,2,6,6,172000000,460000000,288000000,3,1401
20011395229,1,6111,1110,5,1,5,7,357000000,1300000000,943000000,3,1401
20011395230,1,6121,1440,5,1,7,7,175000000,2000000000,1825000000,3,1401
20011395232,1,6121,1440,5,1,7,7,705000000,1400000000,695000000,3,1401
20012395625,1,6112,1240,5,1,8,1,18000000,80000000,62000000,3,1401
20012395631,1,6111,1110,5,1,6,5,290000000,380000000,90000000,3,1401
20012395631,1,6112,1240,4,1,6,5,160000000,1000000000,840000000,3,1401
20012396025,1,6112,1240,5,1,8,7,115000000,500000000,385000000,3,1401
20012396026,1,6112,1240,5,1,10,7,190000000,690000000,500000000,3,1401
20012396032,1,6112,1240,5,1,8,7,350000000,800000000,450000000,3,1401
20012396034,1,6121,1440,5,1,5,7,20000000,230000000,210000000,3,1401
20012396041,1,6112,1240,5,1,8,5,305000000,850000000,545000000,3,1401
20012396425,1,6121,1440,5,1,5,7,437000000,630000000,193000000,3,1401
20012396433,1,6111,1110,5,1,5,7,850000000,1900000000,1050000000,3,1401
20012396434,1,6112,1240,4,1,8,6,408000000,1500000000,1092000000,3,1401
20012396438,1,6112,1240,4,1,8,5,171500000,650000000,478500000,3,1401
20012396441,1,6112,1240,5,1,8,5,87000000,280000000,193000000,3,1401
20012396825,1,6111,1110,5,1,5,3,23500000,70000000,46500000,3,1401
20012396825,1,6112,1240,5,1,5,3,11500000,210000000,198500000,3,1401
20012396826,1,6111,1110,5,1,5,3,23500000,70000000,46500000,3,1401
20012396826,1,6112,1240,5,1,5,2,11500000,210000000,198500000,3,1401
20012396833,1,6112,1240,5,1,5,7,155000000,650000000,495000000,3,1401
20012396834,1,6111,1110,5,1,7,5,260000000,850000000,590000000,3,1401
20012396834,1,6112,1240,4,1,5,6,415000000,530000000,115000000,3,1401
20012396838,1,6111,1110,5,1,7,6,170000000,510000000,340000000,3,1401
20012396838,1,6112,1240,4,1,7,6,76000000,170000000,94000000,3,1401
20012396841,1,6112,1240,5,1,9,2,100000000,120000000,20000000,3,1401
20013397225,1,6111,1110,5,1,8,6,475000000,1000000000,525000000,3,1401
20013397238,1,6121,1440,5,1,8,7,867000000,1600000000,733000000,3,1401
20013397241,1,6121,1440,5,1,6,7,134000000,480000000,346000000,3,1401
20013398028,1,6121,1440,5,1,1,7,524000000,700000000,176000000,3,1401
20013398028,2,6121,1440,6,1,1,7,0,0,0,3,1401
20013398034,1,6111,1110,4,1,7,5,218500000,380000000,161500000,3,1401
20013398034,1,6121,1440,5,1,1,7,534000000,830000000,296000000,3,1401
20013398034,2,6121,1440,6,1,1,7,0,0,0,3,1401
20101398125,1,8321,49230,5,2,9,6,518000000,1433000000,915000000,3,1401
20102398534,1,6111,1120,4,1,3,7,111800000,395000000,283200000,3,1401
20102398534,1,6111,1110,4,1,3,7,19000000,110000000,91000000,3,1401
20102398538,1,6111,1120,4,1,4,5,89000000,322000000,233000000,3,1401
20102398541,1,6111,1110,4,1,5,3,97000000,384000000,287000000,3,1401
20103399032,1,6111,1120,4,1,3,7,127800000,450000000,322200000,3,1401
20104399425,1,8322,49220,5,2,8,6,74500000,700000000,625500000,3,1401
20104399425,1,6111,1120,4,1,2,5,279750000,423000000,143250000,3,1401
20104399427,1,7119,43900,4,2,8,6,891000000,1821000000,930000000,3,1401
20105399926,1,5143,96020,5,2,9,6,309000000,959000000,650000000,3,1401
20105399932,1,5224,47212,5,2,10,7,6493000000,7368000000,875000000,3,1401
20105399932,1,6111,1120,4,1,3,3,68000000,405000000,337000000,3,1401
20105399932,3,5224,47212,6,2,5,7,0,0,0,3,1401
20105399934,1,3324,46100,5,2,5,3,0,485000000,485000000,3,1401
20105399934,1,6111,1120,4,1,3,4,649500000,1833000000,1183500000,3,1401
20105399934,2,7317,16290,5,2,7,6,162000000,487000000,325000000,3,1401
20105399934,3,7317,16290,6,2,5,3,0,0,0,3,1401
20105399934,4,7522,31000,5,2,9,4,3152000000,3937000000,785000000,3,1401
20105400329,1,5224,47212,5,2,12,7,9375000000,10115000000,740000000,3,1401
20411436429,1,6121,1411,5,1,10,5,0,300000000,300000000,3,1401
20411436429,2,6111,1110,6,1,10,7,0,0,0,3,1401
20411436429,1,6111,1110,5,1,5,2,70000000,170000000,100000000,3,1401
20411436432,1,6111,1110,5,1,8,7,30000000,150000000,120000000,3,1401
20411436432,3,9211,1610,5,2,8,6,0,400000000,400000000,3,1401
20411436436,1,6121,1411,5,1,5,1,60000000,250000000,190000000,3,1401
20411436436,1,7123,43300,5,1,7,6,0,500000000,500000000,3,1401
20411436438,1,6111,1110,5,1,10,2,112000000,730000000,618000000,3,1401
20411436438,1,6121,1411,5,1,5,5,700000000,800000000,100000000,3,1401
20412436826,1,6121,1411,5,1,10,7,300000000,800000000,500000000,3,1401
20412436826,2,6121,1411,6,1,4,7,0,0,0,3,1401
20412436829,1,6112,1411,5,1,5,3,100000000,250000000,150000000,3,1401
20412436831,1,6111,1110,5,1,7,3,22000000,172000000,150000000,3,1401
20412436831,1,6121,1411,5,1,3,2,164000000,450000000,286000000,3,1401
20412436831,2,6121,1411,6,1,3,7,0,0,0,3,1401
20412436841,1,6111,1110,5,1,10,7,130000000,800000000,670000000,3,1401
20413437228,1,6121,1411,5,1,8,6,200000000,650000000,450000000,3,1401
20413437229,1,6111,1110,5,1,3,1,30000000,100000000,70000000,3,1401
20413437229,1,6111,1500,5,1,4,2,275000000,900000000,625000000,3,1401
20413437229,1,6121,1411,5,1,5,4,550000000,1200000000,650000000,3,1401
20413437229,2,6121,1411,6,1,6,7,0,0,0,3,1401
20413437229,3,6112,1500,6,1,6,3,0,0,0,3,1401
