Address,member,Male_count,Female_count,age,literacy,studying,degree,occupationalst,maritalst
20001383908,4,3,1,17.75,3,1,1,4,1
20001383911,2,1,1,69.0,1,0,3,1,1
20001383915,2,1,1,60.5,2,0,3,4,1
20001383916,4,1,3,23.5,4,2,3,3,1
20001383920,5,4,1,16.4,3,1,9,5,2
20001383923,4,2,2,31.75,4,1,3,4,1
20001384008,4,3,1,23.25,4,2,3,3,1
20001384011,3,1,2,44.666666666666664,1,0,6,0,1
20001384014,2,1,1,64.0,1,0,3,4,1
20001384015,4,2,2,20.5,3,1,3,4,1
20001384020,4,3,1,27.75,4,1,3,4,1
20001384023,2,1,1,64.0,1,0,3,4,1
20001384109,4,3,1,16.0,2,0,6,5,1
20001384111,4,2,2,20.25,2,1,6,4,1
20001384113,2,1,1,73.5,0,0,6,4,1
20001384117,3,1,2,17.666666666666668,2,0,9,4,1
20001384120,2,1,1,48.5,2,0,3,4,1
20001384123,3,2,1,22.666666666666668,3,1,3,4,1
20001384207,3,2,1,21.333333333333332,2,0,2,4,1
20001384208,2,1,1,51.0,2,0,3,1,1
20001384214,1,0,1,74.0,0,0,6,1,3
20001384215,4,2,2,24.25,3,1,2,4,1
20001384220,3,1,2,20.0,2,0,2,4,1
20001384223,4,3,1,24.25,4,2,9,3,1
20001384308,2,1,1,63.0,1,0,3,4,1
20001384311,3,2,1,41.666666666666664,1,0,6,4,1
20001384316,3,2,1,54.0,2,0,3,4,1
20001384317,5,2,3,21.4,5,2,3,3,2
20001384320,2,1,1,55.0,1,0,3,4,1
20001384323,4,3,1,27.75,3,0,3,5,1
20001384408,4,1,3,16.25,2,0,3,5,1
20001384410,5,2,3,24.2,4,1,3,5,2
20001384413,2,1,1,29.5,2,1,3,1,1
20001384414,5,1,4,18.6,4,2,3,3,2
20001384420,2,1,1,63.0,2,0,3,4,1
20001384423,4,2,2,45.5,4,0,3,4,1
20001384507,1,0,1,73.0,0,0,6,0,3
20001384508,4,1,3,26.0,4,2,3,3,1
20001384514,5,3,2,49.2,4,0,3,4,1
20001384517,4,2,2,26.5,4,2,3,3,1
20001384520,4,2,2,26.75,4,1,3,0,1
20001384523,4,2,2,21.0,3,1,0,4,1
20001384608,3,2,1,42.666666666666664,3,0,3,4,1
20001384609,2,1,1,54.5,1,0,9,4,1
20001384616,6,4,2,45.333333333333336,5,1,3,4,2
20001384617,2,1,1,62.0,1,0,3,4,1
20001384620,5,4,1,25.2,4,1,3,4,2
20001384623,2,1,1,81.5,0,0,6,1,1
20001384708,2,1,1,76.0,0,0,6,1,1
20001384711,4,2,2,40.5,2,0,6,4,1
20001384716,3,2,1,33.666666666666664,3,1,3,4,1
20001384718,3,1,2,67.66666666666667,1,0,6,0,1
20001384720,4,3,1,12.75,2,0,6,5,1
20001384723,3,2,1,43.0,3,0,3,4,1
20001384809,1,0,1,72.0,0,0,6,0,3
20001384811,3,2,1,31.666666666666668,3,1,3,4,1
20001384814,4,2,2,24.0,4,2,3,3,1
20001384817,2,1,1,62.0,1,0,3,1,1
20001384820,2,1,1,66.5,0,0,6,4,1
20001384823,2,1,1,33.0,2,1,4,4,3
20001384908,3,1,2,45.0,3,0,9,0,1
20001384909,4,2,2,20.0,3,1,2,4,1
20001384914,5,3,2,16.6,4,2,3,3,2
20001384917,4,2,2,21.5,3,1,3,4,1
20001384920,3,2,1,21.0,2,0,0,4,1
20001384923,4,3,1,21.5,4,2,3,4,1
20001385007,5,4,1,47.8,2,0,6,5,1
20001385009,6,3,3,45.833333333333336,4,0,6,0,1
20001385014,4,3,1,47.5,3,0,9,4,1
20001385018,3,2,1,49.333333333333336,3,0,3,1,1
20001385020,1,0,1,78.0,0,0,6,1,3
20001385023,3,1,2,42.666666666666664,3,1,9,4,1
20001385107,3,2,1,74.33333333333333,0,0,6,1,1
20001385108,4,2,2,29.25,3,2,3,3,1
20001385114,4,3,1,32.5,4,1,9,4,1
20001385115,3,2,1,33.0,2,1,7,4,1
20001385120,4,3,1,30.75,4,1,3,4,1
20001385123,2,1,1,25.5,2,0,9,4,1
20001385207,3,2,1,41.333333333333336,3,0,3,4,1
20001385209,6,4,2,21.5,5,2,3,4,2
20001385213,5,4,1,26.8,5,2,3,3,1
20001385214,2,1,1,83.5,0,0,6,1,1
20001385220,2,1,1,64.5,0,0,6,4,1
20001385223,2,1,1,60.0,0,0,6,4,1
20001385308,2,1,1,70.0,0,0,6,4,1
20001385311,3,1,2,25.333333333333332,3,1,3,1,1
20001385314,4,2,2,21.0,3,1,2,4,1
20001385317,2,1,1,56.0,1,0,3,1,1
20001385320,4,2,2,30.5,4,2,9,4,1
20001385323,2,1,1,66.0,2,0,3,1,3
20001385408,2,1,1,54.5,2,0,3,4,1
20001385412,4,3,1,22.0,3,1,3,4,1
20001385415,2,1,1,58.5,2,0,3,1,1
20001385417,3,2,1,34.666666666666664,3,1,3,1,1
20001385420,1,0,1,78.0,0,0,6,1,3
20001385423,2,1,1,56.5,2,0,3,4,1
20001385508,3,1,2,50.333333333333336,2,0,3,0,1
20001385511,3,2,1,22.333333333333332,3,1,9,4,1
20001385515,2,0,2,63.5,1,0,6,1,3
20001385517,4,2,2,33.25,4,0,2,0,2
20001385520,7,2,5,28.714285714285715,5,2,3,5,2
20001385523,3,2,1,40.666666666666664,3,0,9,1,1
