Address,member,ISCO_w,ISIC_w,hours_w,days_w,income_w_m,income_w_y,netincome_w_m,netincome_w_y,Fasl,year
20011395420,1,7111,43900,8.0,2.0,8000000,130000000,8000000,130000000,1,98
20001385412,1,9314,41000,7.0,4.0,12800000,102400000,12800000,102400000,1,98
20011395423,1,9314,41000,8.0,1.0,2000000,45000000,2000000,45000000,1,98
20005389018,1,9314,41000,8.0,2.0,4200000,40000000,4200000,40000000,1,98
20013397808,1,9314,41000,8.0,1.0,6500000,45000000,6500000,45000000,1,98
20013397823,1,9211,1500,8.0,3.0,2000000,20000000,2000000,20000000,1,98
20013397814,1,9314,41000,8.0,2.0,0,45000000,0,45000000,1,98
20004387813,1,9314,41000,10.0,2.0,3500000,60000000,3500000,60000000,1,98
20003386610,1,3414,94911,5.0,7.0,3600000,43200000,3600000,43200000,1,98
20003386620,1,9314,41000,5.0,3.0,7200000,21600000,7200000,21600000,1,98
20004387809,3,9311,1500,8.0,6.0,0,100000000,0,100000000,1,98
20004387817,1,9211,1500,8.0,6.0,27000000,332000000,25740000,316800000,1,98
20004387820,1,9314,41000,8.0,4.0,0,30000000,0,30000000,1,98
20007392620,1,8322,49230,12.0,6.0,12000000,144000000,12000000,144000000,1,98
20007392616,1,9321,22200,10.0,6.0,15000000,180000000,14151000,177812000,1,98
20007392615,2,7537,14100,9.0,4.0,3000000,36000000,3000000,36000000,1,98
20007392615,3,4419,35100,8.0,6.0,22000000,272000000,22000000,272000000,1,98
20006390220,1,8322,84110,8.0,6.0,45000000,572000000,41400000,528800000,1,98
20006390220,3,9321,27500,8.5,5.5,0,23000000,0,23000000,1,98
20007392623,1,4324,35200,10.0,6.0,40000000,480000000,35486000,435832000,1,98
20006390223,1,9314,41000,8.0,4.0,0,100000000,0,100000000,1,98
20003386614,1,8342,84130,8.0,5.0,0,144000000,0,137280006,1,98
20011394620,2,5224,47710,10.0,6.0,0,20000000,0,20000000,1,98
20012395817,1,7122,43300,8.0,5.0,10000000,100000000,10000000,100000000,1,98
20012395808,3,9211,1500,8.0,1.0,5000000,35000000,5000000,35000000,1,98
20001384616,4,9211,1500,6.0,6.0,14000000,168000000,14000000,168000000,1,98
20009393017,1,9211,1500,8.0,7.0,15000000,135000000,15000000,135000000,1,98
20009393017,1,9211,1500,8.0,3.0,15000000,180000000,15000000,180000000,1,98
20013397016,1,7537,13920,8.0,6.0,15000000,195000000,14300000,186600000,1,98
20007391820,1,9314,41000,10.0,6.0,17000000,204000000,17000000,204000000,1,98
20007391811,3,9314,41000,9.0,7.0,8000000,96000000,8000000,96000000,1,98
20007391817,1,9314,41000,9.0,7.0,13000000,156000000,13000000,156000000,1,98
20007391817,3,9314,41000,8.0,5.0,8000000,96000000,8000000,96000000,1,98
20012395823,1,7122,43300,8.0,5.0,0,50000000,0,50000000,1,98
20012395811,1,9211,1500,8.0,5.0,0,60000000,0,60000000,1,98
20002385814,1,9314,41000,8.0,2.0,4000000,68000000,4000000,68000000,1,98
20002385823,1,9211,1500,8.0,5.0,5000000,20000000,5000000,20000000,1,98
20002385823,3,9211,1500,8.0,5.0,5000000,40000000,5000000,40000000,1,98
20012395820,1,2330,85210,2.0,5.0,27000000,333300000,24570000,304140000,1,98
20007391408,1,9314,41000,10.0,7.0,10000000,120000000,10000000,120000000,1,98
20001384223,1,7212,25920,8.0,6.0,18000000,234000000,17160000,223920000,1,98
20001384215,1,5153,80100,12.0,7.0,10000000,120000000,10000000,120000000,1,98
20001384220,1,9211,1500,10.0,7.0,13000000,156000000,13000000,156000000,1,98
20004388220,3,5224,79110,11.0,6.0,12000000,144000000,12000000,144000000,1,98
20004388220,4,5224,47212,10.0,7.0,0,48000000,0,48000000,1,98
20001384608,3,9211,1500,6.0,5.0,14000000,168000000,14000000,168000000,1,98
20001384620,3,9211,1500,8.0,6.0,12000000,144000000,12000000,144000000,1,98
20013397007,3,9211,1500,8.0,6.0,15000000,91000000,15000000,91000000,1,98
20013397007,4,9211,1500,8.0,6.0,15000000,120000000,15000000,120000000,1,98
20010393415,1,6112,1240,8.0,2.0,6000000,44000000,6000000,44000000,1,98
20006390623,1,8322,49230,8.0,6.0,0,60000000,0,60000000,1,98
20006390623,3,9333,96092,10.0,6.0,12000000,144000000,12000000,144000000,1,98
20006389412,1,5153,19200,8.0,6.0,30000000,370000000,28600000,353200000,1,98
