Address,member,relation,gender,age,literacy,studying,degree,occupationalst,maritalst
20011394629,1,Head,Male,36,literate,No,Secondary,employed,Married
20011394629,2,Spouse,Female,29,literate,No,Elemantry,Housewife,Married
20011394629,3,Child,Male,10,literate,Yes,Elemantry,Student,Single
20011394629,4,Child,Male,5,,,,,
20011394626,1,Head,Male,72,illiterate,,,Other,Married
20011394626,2,Spouse,Female,64,illiterate,,,Housewife,Married
20011394626,3,Child,Male,24,literate,No,Bachelor,employed,Single
20011394626,4,Child,Female,29,literate,No,Bachelor,Housewife,Married
20011394623,1,Head,Male,57,literate,No,Elemantry,employed,Married
20011394623,2,Spouse,Female,55,literate,No,Elemantry,Housewife,Married
20011394623,3,Child,Male,32,literate,No,Secondary,employed,Single
20009393019,1,Head,Male,42,literate,No,Secondary,employed,Married
20012395826,1,Head,Male,48,literate,No,Elemantry,employed,Married
20012395826,2,Spouse,Female,44,literate,No,Secondary,Housewife,Married
20012395826,3,Child,Male,23,literate,No,Secondary,employed,Single
20012395826,4,Child,Male,11,literate,Yes,Elemantry,Student,Single
20009393026,1,Head,Male,61,literate,No,Elemantry,employed,Married
20009393026,2,Spouse,Female,60,illiterate,,,Housewife,Married
20009393026,3,Child,Female,25,literate,No,Secondary,Housewife,Divorced
20007391817,1,Head,Male,85,literate,No,Elemantry,IncomeWOJob,Married
20007391817,2,Spouse,Female,72,illiterate,,,Housewife,Married
20011394614,1,Head,Male,57,illiterate,,,employed,Married
20011394614,2,Spouse,Female,50,illiterate,,,Housewife,Married
20011394614,3,Child,Female,18,literate,Yes,Bachelor,Student,Single
20012395829,1,Head,Male,60,literate,No,Elemantry,IncomeWOJob,Married
20012395829,2,Spouse,Female,57,literate,No,Elemantry,Housewife,Married
20006389426,1,Head,Male,51,literate,No,Bachelor,employed,Married
20006389426,2,Spouse,Female,39,literate,No,Diploma,Housewife,Married
20006389426,3,Child,Female,17,literate,Yes,HighSchool,Student,Single
20006389426,4,Child,Female,16,literate,Yes,HighSchool,Student,Single
