Address,member,relation,gender,age,literacy,studying,degree,occupationalst,maritalst
10001000425,1,Head,Male,38,literate,No,Diploma,employed,Married
10001000425,2,Spouse,Female,35,literate,No,Diploma,Housewife,Married
10001000425,3,Child,Male,5,,,,,
10001000426,1,Head,Male,62,literate,No,Elemantry,IncomeWOJob,Married
10001000426,2,Spouse,Female,60,illiterate,,,Housewife,Married
10001000426,3,Child,Male,35,literate,No,Diploma,unemployed,Single
10001000426,4,GrandSonDaughter,Male,10,literate,Yes,Elemantry,Student,Single
10001000426,5,Child,Female,40,literate,No,Secondary,Housewife,Divorced
10001000432,1,Head,Male,70,literate,No,College,IncomeWOJob,Married
10001000432,2,Spouse,Female,61,literate,No,Diploma,Housewife,Married
10001000432,3,Child,Female,35,literate,No,Master,employed,Single
10001000435,1,Head,Male,58,literate,No,College,IncomeWOJob,Married
10001000435,2,Spouse,Female,55,literate,No,Secondary,Housewife,Married
10001000435,3,Child,Female,29,literate,No,Diploma,employed,Single
10001000435,4,Child,Female,22,literate,Yes,Bachelor,Student,Single
10001000438,1,Head,Male,70,literate,No,Diploma,IncomeWOJob,Married
10001000438,2,Spouse,Female,66,literate,No,Diploma,Housewife,Married
10001000441,1,Head,Male,54,literate,No,Elemantry,employed,Married
10001000441,2,Spouse,Female,51,literate,No,Elemantry,Housewife,Married
10001000441,3,Child,Male,18,literate,Yes,Diploma,Student,Single
10001000926,1,Head,Male,47,literate,No,Diploma,employed,Married
10001000926,2,Spouse,Female,55,literate,No,Bachelor,unemployed,Married
10001000926,3,Child,Female,21,literate,Yes,Bachelor,Student,Single
10001000926,4,Child,Female,20,literate,Yes,Bachelor,Student,Single
10001000930,1,Head,Female,49,literate,No,Master,employed,Widowed
10001000930,2,Child,Male,25,literate,No,Diploma,unemployed,Single
10001000932,1,Head,Male,43,literate,No,Bachelor,employed,Married
10001000932,2,Spouse,Female,38,literate,No,Diploma,Housewife,Married
10001000932,3,Child,Male,14,literate,Yes,Secondary,Student,Single
10001000932,4,Child,Female,11,literate,Yes,Elemantry,Student,Single
10001000935,1,Head,Male,41,literate,No,Bachelor,employed,Married
10001000935,2,Spouse,Female,39,literate,No,Diploma,Housewife,Married
10001000935,3,Child,Female,16,literate,Yes,Secondary,Student,Single
10001000935,4,Child,Female,12,literate,Yes,Elemantry,Student,Single
10001000938,1,Head,Male,32,literate,No,Master,employed,Married
10001000938,2,Spouse,Female,28,literate,No,Bachelor,Housewife,Married
10001000938,3,Child,Female,4,,,,,
10001000941,1,Head,Male,37,literate,No,Bachelor,employed,Married
10001000941,2,Spouse,Female,32,literate,No,Bachelor,Housewife,Married
10001000941,3,Child,Female,4,,,,,
10001000941,4,Child,Female,1,,,,,
10001001328,1,Head,Male,55,literate,No,College,IncomeWOJob,Married
10001001328,2,Spouse,Female,52,literate,No,Diploma,Housewife,Married
10001001330,1,Head,Male,49,literate,No,Elemantry,employed,Married
10001001330,2,Spouse,Female,37,literate,No,Secondary,Housewife,Married
10001001330,3,Child,Female,17,literate,Yes,HighSchool,Student,Single
10001001330,4,Child,Male,11,literate,Yes,Elemantry,Student,Single
10001001330,5,Child,Female,2,,,,,
10001001332,1,Head,Male,48,literate,No,Diploma,employed,Married
10001001332,2,Spouse,Female,43,literate,No,Diploma,Housewife,Married
10001001332,3,Child,Female,17,literate,Yes,HighSchool,Student,Single
10001001332,4,Child,Male,3,,,,,
10001001333,1,Head,Male,35,literate,No,Bachelor,employed,Married
10001001333,2,Spouse,Female,34,literate,No,Diploma,Housewife,Married
10001001338,1,Head,Male,41,literate,No,Elemantry,employed,Married
10001001338,2,Spouse,Female,39,literate,No,Bachelor,Housewife,Married
10001001338,3,Child,Female,6,literate,Yes,Elemantry,,
10001001341,1,Head,Female,47,literate,No,Bachelor,Housewife,Divorced
10001001341,2,Child,Female,18,literate,Yes,Diploma,Student,Single
10001001726,1,Head,Male,60,illiterate,,,employed,Widowed
10001001726,2,Child,Female,37,literate,No,Secondary,Housewife,Single
10001001727,1,Head,Male,69,literate,No,Other,employed,Married
10001001727,2,Spouse,Female,66,literate,No,Elemantry,Housewife,Married
10001001732,1,Head,Male,60,illiterate,,,employed,Married
10001001732,2,Spouse,Female,60,illiterate,,,Housewife,Married
10001001735,1,Head,Male,63,illiterate,,,employed,Married
10001001735,2,Spouse,Female,52,literate,No,Secondary,Housewife,Married
10001001735,3,Child,Female,7,literate,Yes,Elemantry,,
10001001738,1,Head,Male,49,literate,No,Elemantry,employed,Married
10001001738,2,Spouse,Female,46,literate,No,Elemantry,Housewife,Married
10001001738,3,Child,Male,19,literate,No,Elemantry,employed,Single
10001001741,1,Head,Male,46,literate,No,Elemantry,employed,Married
10001001741,2,Spouse,Female,42,literate,No,Elemantry,Housewife,Married
10001001741,3,Child,Male,20,literate,No,Elemantry,unemployed,Single
10001002226,1,Head,Female,55,illiterate,,,IncomeWOJob,Widowed
10001002226,2,OtherRelative,Female,75,illiterate,,,IncomeWOJob,Widowed
10001002229,1,Head,Male,65,literate,No,College,IncomeWOJob,Married
10001002229,2,Spouse,Female,60,literate,No,Secondary,Housewife,Married
10001002232,1,Head,Male,44,literate,No,Elemantry,unemployed,Married
10001002232,2,Spouse,Female,36,literate,No,Elemantry,Housewife,Married
10001002232,3,Child,Female,16,literate,Yes,HighSchool,Student,Single
10001002232,4,Child,Male,13,literate,Yes,Secondary,Student,Single
10001002235,1,Head,Male,59,literate,No,College,IncomeWOJob,Married
10001002235,2,Spouse,Female,58,illiterate,,,Housewife,Married
10001002235,3,Child,Female,20,literate,Yes,Bachelor,Student,Single
10001002238,1,Head,Male,38,literate,No,College,employed,Married
10001002238,2,Spouse,Female,31,literate,No,Diploma,Housewife,Married
10001002238,3,Child,Male,9,literate,Yes,Elemantry,,
10001002238,4,Child,Female,9,literate,Yes,Elemantry,,
10001002238,5,Child,Female,3,,,,,
10001002625,1,Head,Male,47,literate,No,Elemantry,employed,Married
10001002625,2,Spouse,Female,43,literate,No,Elemantry,Housewife,Married
10001002625,3,Child,Male,15,literate,Yes,HighSchool,Student,Single
10001002625,4,Child,Male,11,literate,Yes,Elemantry,Student,Single
10001002625,5,Child,Male,5,,,,,
10001002629,1,Head,Male,43,literate,No,Secondary,employed,Married
10001002629,2,Spouse,Female,40,literate,No,Elemantry,Housewife,Married
10001002629,3,Child,Male,18,literate,No,Diploma,Other,Single
10001002629,4,Child,Male,12,literate,Yes,Elemantry,Student,Single
10001002631,1,Head,Male,68,literate,No,Elemantry,IncomeWOJob,Married
10001002631,2,Spouse,Female,63,illiterate,,,Housewife,Married
10001002631,3,Child,Female,37,literate,No,Bachelor,unemployed,Single
10001002634,1,Head,Male,51,literate,No,Secondary,IncomeWOJob,Married
10001002634,2,Spouse,Female,50,literate,No,Elemantry,Housewife,Married
10001002634,3,Child,Female,16,literate,Yes,HighSchool,Student,Single
10001002638,1,Head,Male,82,illiterate,,,IncomeWOJob,Widowed
10001002641,1,Head,Male,60,illiterate,,,IncomeWOJob,Married
10001002641,2,Child,Male,30,literate,No,Diploma,unemployed,Single
10001002641,3,Child,Male,30,literate,No,Diploma,unemployed,Single
10002003026,1,Head,Male,44,literate,No,Elemantry,employed,Married
10002003026,2,Spouse,Female,42,literate,No,Elemantry,Housewife,Married
10002003026,3,Child,Male,19,literate,No,Diploma,Other,Single
10002003026,4,Child,Male,8,literate,Yes,Elemantry,,
10002003026,5,Child,Female,6,literate,Yes,Elemantry,,
10002003026,6,Child,Female,4,,,,,
10002003027,1,Head,Male,63,literate,No,Elemantry,employed,Married
10002003027,2,Spouse,Female,56,literate,No,Elemantry,Housewife,Married
10002003027,3,Child,Female,38,literate,No,Bachelor,Housewife,Divorced
10002003027,4,Child,Male,29,literate,No,Secondary,employed,Single
10002003032,1,Head,Male,57,literate,No,Elemantry,IncomeWOJob,Married
10002003032,2,Spouse,Female,51,literate,No,Elemantry,Housewife,Married
10002003032,3,Child,Male,28,literate,No,Bachelor,employed,Single
10002003035,1,Head,Male,74,literate,No,Elemantry,IncomeWOJob,Married
10002003035,2,Spouse,Female,64,literate,No,Elemantry,Housewife,Married
10002003038,1,Head,Male,51,literate,No,Elemantry,employed,Married
10002003038,2,Spouse,Female,53,literate,No,Elemantry,Housewife,Married
10002003041,1,Head,Male,59,literate,No,Elemantry,employed,Married
10002003041,2,Spouse,Female,55,literate,No,Elemantry,Housewife,Married
10003003527,1,Head,Male,55,literate,No,Elemantry,employed,Married
10003003527,2,Spouse,Female,51,literate,No,Elemantry,Housewife,Married
10003003527,3,Child,Female,26,literate,No,Diploma,employed,Single
10003003527,4,Child,Male,15,literate,Yes,HighSchool,Student,Single
10003003529,1,Head,Male,62,literate,No,Secondary,IncomeWOJob,Married
10003003529,2,Spouse,Female,53,literate,No,Diploma,Housewife,Married
10003003534,1,Head,Female,40,literate,No,College,employed,Divorced
10003003534,2,Child,Female,25,literate,No,Bachelor,Housewife,Single
10003003535,1,Head,Male,58,literate,No,Elemantry,IncomeWOJob,Married
10003003535,2,Child,Female,26,literate,Yes,Bachelor,Student,Married
10003003535,3,Child,Female,26,literate,Yes,Bachelor,Student,Married
10003003538,1,Head,Male,38,literate,No,Diploma,employed,Married
10003003538,2,Spouse,Female,38,literate,No,Bachelor,Housewife,Married
10003003538,3,Child,Male,10,literate,Yes,Elemantry,Student,Single
10003003538,4,Child,Female,3,,,,,
10003003541,1,Head,Male,37,literate,No,Diploma,employed,Married
10003003541,2,Spouse,Female,34,literate,No,Elemantry,Housewife,Married
10003003541,3,Child,Female,14,literate,Yes,Secondary,Student,Single
10003003541,4,Child,Female,11,literate,Yes,Elemantry,Student,Single
10003003541,5,Child,Female,1,,,,,
10004004029,1,Head,Male,63,literate,No,Elemantry,employed,Married
10004004029,2,Spouse,Female,58,literate,No,Elemantry,Housewife,Married
10004004029,3,Child,Male,37,literate,No,Secondary,unemployed,Single
10004004029,4,Child,Female,27,literate,No,Bachelor,Other,Single
10004004030,1,Head,Male,36,literate,No,Elemantry,employed,Married
10004004030,2,Spouse,Female,32,literate,No,Diploma,Housewife,Married
10004004030,3,Child,Male,7,literate,Yes,Elemantry,,
10004004030,4,Child,Male,4,,,,,
10004004034,1,Head,Male,80,literate,No,Elemantry,IncomeWOJob,Married
10004004034,2,Spouse,Female,68,illiterate,,,Housewife,Married
10004004036,1,Head,Male,38,literate,No,Bachelor,employed,Married
10004004036,2,Spouse,Female,31,literate,No,Diploma,Housewife,Married
10004004036,3,Child,Male,8,literate,Yes,Elemantry,,
10004004038,1,Head,Male,67,literate,No,Elemantry,IncomeWOJob,Married
10004004038,2,Spouse,Female,64,literate,No,Elemantry,Housewife,Married
10004004038,3,Child,Male,30,literate,No,Diploma,employed,Single
10004004041,1,Head,Male,33,literate,No,Secondary,employed,Married
10004004041,2,Spouse,Female,29,literate,No,Secondary,Housewife,Married
10004004041,3,Child,Female,7,literate,Yes,Elemantry,,
10004004041,4,Child,Female,2,,,,,
10004004429,1,Head,Male,58,literate,No,Bachelor,IncomeWOJob,Married
10004004429,2,Spouse,Female,55,literate,No,Elemantry,Housewife,Married
10004004429,3,Child,Male,27,literate,No,Bachelor,employed,Single
10004004429,4,Child,Female,24,literate,No,Bachelor,employed,Single
10004004429,5,Child,Male,22,literate,Yes,Bachelor,Student,Single
10004004430,1,Head,Male,66,literate,No,College,IncomeWOJob,Married
10004004430,2,Spouse,Female,60,literate,No,Elemantry,Housewife,Married
10004004432,1,Head,Male,51,literate,No,Bachelor,employed,Married
10004004432,2,Spouse,Female,44,literate,No,HighSchool,Housewife,Married
10004004432,3,Child,Male,25,literate,No,Bachelor,employed,Single
10004004432,4,Child,Female,16,literate,Yes,HighSchool,Student,Single
10004004432,5,Child,Male,10,literate,Yes,Elemantry,Student,Single
10004004432,6,Child,Male,5,,,,,
10004004435,1,Head,Male,28,literate,No,Secondary,employed,Married
10004004435,2,Spouse,Female,34,literate,No,College,Housewife,Married
10004004438,1,Head,Male,35,literate,No,Master,employed,Married
10004004438,2,Spouse,Female,36,literate,No,Bachelor,employed,Married
10004004438,3,Child,Male,1,,,,,
10004004441,1,Head,Male,40,literate,No,Elemantry,employed,Married
10004004441,2,Spouse,Female,37,literate,No,Diploma,Housewife,Married
10004004441,3,Child,Male,7,literate,Yes,Elemantry,,
10005004826,1,Head,Male,25,literate,No,College,employed,Single
10005004829,1,Head,Male,58,literate,No,Bachelor,IncomeWOJob,Married
10005004829,2,Spouse,Female,50,literate,No,Elemantry,Housewife,Married
10005004829,3,Child,Male,23,literate,No,Secondary,unemployed,Single
10005004831,1,Head,Male,62,literate,No,Bachelor,unemployed,Married
10005004831,2,Spouse,Female,51,literate,No,Elemantry,Housewife,Married
10005004831,3,Child,Male,24,literate,Yes,Bachelor,Student,Single
10005004835,1,Head,Female,63,illiterate,,,IncomeWOJob,Widowed
10005004835,2,Child,Female,36,literate,No,Diploma,unemployed,Single
10005004835,3,Child,Male,27,literate,No,Diploma,employed,Single
10005004838,1,Head,Male,57,literate,No,Bachelor,IncomeWOJob,Married
10005004838,2,Spouse,Female,58,literate,No,Diploma,IncomeWOJob,Married
10005004838,3,Child,Male,29,literate,No,Bachelor,unemployed,Single
10005004838,4,Child,Female,23,literate,Yes,Bachelor,Student,Single
10005004841,1,Head,Male,60,literate,No,Secondary,employed,Married
10005004841,2,Spouse,Female,52,literate,No,Elemantry,Housewife,Married
10005005325,1,Head,Male,60,literate,No,Secondary,IncomeWOJob,Married
10005005325,2,Spouse,Female,54,illiterate,,,Housewife,Married
10005005325,3,Child,Male,23,literate,No,Bachelor,unemployed,Single
10005005325,4,Child,Male,19,literate,Yes,Bachelor,Student,Single
10005005329,1,Head,Male,55,literate,No,Elemantry,IncomeWOJob,Married
10005005329,2,Spouse,Female,54,literate,No,Elemantry,Housewife,Married
10005005331,1,Head,Female,80,illiterate,,,IncomeWOJob,Widowed
10005005333,1,Head,Male,71,illiterate,,,IncomeWOJob,Married
10005005333,2,Spouse,Female,70,illiterate,,,Housewife,Married
10005005338,1,Head,Female,82,illiterate,,,IncomeWOJob,Widowed
10005005338,2,Child,Female,39,literate,No,Elemantry,Housewife,Single
10005005338,3,Child,Male,35,literate,No,Secondary,employed,Single
10005005341,1,Head,Female,82,illiterate,,,IncomeWOJob,Widowed
10006005727,1,Head,Male,44,literate,No,Elemantry,employed,Married
10006005727,2,Spouse,Female,47,literate,No,Elemantry,Housewife,Married
10006005727,3,Child,Male,15,literate,Yes,Secondary,Student,Single
10006005727,4,Child,Male,11,literate,Yes,Elemantry,Student,Single
10006005727,5,Child,Male,8,literate,Yes,Elemantry,,
10006005729,1,Head,Male,47,literate,No,Elemantry,employed,Married
10006005729,2,Spouse,Female,40,literate,No,Elemantry,Housewife,Married
10006005729,3,Child,Female,22,literate,No,Diploma,Housewife,Single
10006005729,4,Child,Female,17,literate,Yes,Diploma,Student,Single
10006005729,5,Child,Female,17,literate,Yes,Diploma,Student,Single
10006005731,1,Head,Male,49,literate,No,Secondary,employed,Married
10006005731,2,Spouse,Female,48,literate,No,Elemantry,Housewife,Married
10006005731,3,Child,Male,22,literate,Yes,Bachelor,Student,Single
10006005731,4,Child,Male,12,literate,Yes,Elemantry,Student,Single
10006005732,1,Head,Male,49,literate,No,Elemantry,IncomeWOJob,Married
10006005732,2,Spouse,Female,49,literate,No,Secondary,Housewife,Married
10006005732,3,Child,Female,17,literate,Yes,HighSchool,Student,Single
10006005738,1,Head,Male,41,illiterate,,,employed,Married
10006005738,2,Spouse,Female,47,literate,No,Elemantry,Housewife,Married
10006005738,3,Child,Male,18,literate,Yes,HighSchool,Student,Single
10006005738,4,Child,Female,14,literate,Yes,Secondary,Student,Single
10006005738,5,Child,Female,11,literate,Yes,Elemantry,Student,Single
10006005738,6,Parent,Female,71,illiterate,,,IncomeWOJob,Widowed
10006005741,1,Head,Male,51,literate,No,Elemantry,employed,Married
10006005741,2,Spouse,Female,45,illiterate,,,Housewife,Married
10006005741,3,Child,Male,26,literate,No,Elemantry,employed,Single
10006005741,4,Child,Male,21,literate,No,Diploma,employed,Single
10006005741,5,Child,Male,12,literate,Yes,Elemantry,Student,Single
10006005741,6,Child,Female,8,literate,Yes,Elemantry,,
10006006127,1,Head,Male,63,literate,No,Secondary,IncomeWOJob,Married
10006006127,2,Spouse,Female,61,illiterate,,,Housewife,Married
10006006127,3,Child,Male,42,literate,No,Secondary,employed,Single
10006006127,4,Child,Female,37,literate,No,Bachelor,employed,Single
10006006135,1,Head,Male,52,literate,No,Elemantry,IncomeWOJob,Married
10006006135,2,Spouse,Female,45,literate,No,Elemantry,Housewife,Married
10006006135,3,Child,Female,16,literate,Yes,Secondary,Student,Single
10006006136,1,Head,Male,54,literate,No,Elemantry,employed,Married
10006006136,2,Spouse,Female,51,literate,No,Secondary,Housewife,Married
10006006136,3,Child,Male,11,literate,Yes,Elemantry,Student,Single
10006006136,4,Child,Male,11,literate,Yes,Elemantry,Student,Single
10006006138,1,Head,Male,79,illiterate,,,IncomeWOJob,Widowed
10006006138,2,Child,Female,40,literate,No,Diploma,Housewife,Single
10006006141,1,Head,Male,67,literate,No,Secondary,IncomeWOJob,Married
10006006141,2,Spouse,Female,60,literate,No,Elemantry,Housewife,Married
10006006141,3,Child,Female,27,literate,No,Secondary,Housewife,Divorced
10006006625,1,Head,Male,32,literate,No,Secondary,employed,Married
10006006625,2,Spouse,Female,31,literate,No,Diploma,Housewife,Married
10006006627,1,Head,Male,75,illiterate,,,IncomeWOJob,Widowed
10006006627,2,Child,Female,35,literate,No,Elemantry,unemployed,Single
10006006631,1,Head,Male,49,literate,No,Bachelor,employed,Married
10006006631,2,Spouse,Female,46,literate,No,Diploma,Housewife,Married
10006006631,3,Child,Male,23,literate,No,Diploma,IncomeWOJob,Single
10006006634,1,Head,Male,50,literate,No,Elemantry,employed,Married
10006006634,2,Spouse,Female,49,literate,No,Elemantry,Housewife,Married
10006006634,3,Child,Male,13,literate,Yes,Secondary,Student,Single
10006006638,1,Head,Female,51,literate,No,Elemantry,IncomeWOJob,Divorced
10006006638,2,Child,Male,25,literate,No,Secondary,employed,Single
10006006638,3,Child,Male,25,literate,No,Secondary,employed,Married
10006006641,1,Head,Male,85,illiterate,,,IncomeWOJob,Widowed
10006007029,1,Head,Male,37,literate,No,Diploma,employed,Married
10006007029,2,Spouse,Female,34,literate,No,Diploma,Housewife,Married
10006007029,3,Child,Male,10,literate,Yes,Elemantry,Student,Single
10006007029,4,Child,Female,4,,,,,
10006007030,1,Head,Male,44,literate,No,Diploma,employed,Married
10006007030,2,Spouse,Female,51,literate,No,Bachelor,employed,Married
10006007030,3,Child,Male,20,literate,Yes,Bachelor,Student,Single
10006007030,4,Child,Male,14,literate,Yes,Secondary,Student,Single
10006007032,1,Head,Male,62,literate,No,Diploma,IncomeWOJob,Married
10006007032,2,Spouse,Female,57,literate,No,Secondary,Housewife,Married
10006007034,1,Head,Male,32,literate,No,Diploma,employed,Married
10006007034,2,Spouse,Female,28,literate,No,College,Housewife,Married
10006007034,3,Child,Male,4,,,,,
10006007038,1,Head,Male,54,literate,No,Secondary,employed,Married
10006007038,2,Spouse,Female,47,literate,No,Elemantry,Housewife,Married
10006007038,3,Child,Female,24,literate,No,Diploma,Housewife,Single
10006007041,1,Head,Male,37,literate,No,Secondary,employed,Married
10006007041,2,Spouse,Female,39,illiterate,,,Housewife,Married
10006007041,3,Child,Male,8,literate,Yes,Elemantry,,
10006007041,4,Child,Male,1,,,,,
10007007529,1,Head,Male,34,literate,No,Diploma,employed,Married
10007007529,2,Spouse,Female,24,literate,No,Secondary,Housewife,Married
10007007529,3,Child,Male,7,literate,Yes,Elemantry,,
10007007530,1,Head,Male,56,literate,No,Elemantry,employed,Married
10007007530,2,Spouse,Female,54,illiterate,,,Housewife,Married
10007007534,1,Head,Male,50,literate,No,Elemantry,IncomeWOJob,Married
10007007534,2,Spouse,Female,46,literate,No,Secondary,Housewife,Married
10007007534,3,Child,Female,28,literate,No,Diploma,Housewife,Divorced
10007007534,4,Child,Male,24,literate,No,Diploma,employed,Single
10007007534,5,Child,Male,15,literate,Yes,Secondary,Student,Single
10007007535,1,Head,Male,46,literate,No,Elemantry,employed,Married
10007007535,2,Spouse,Female,41,literate,No,Elemantry,Housewife,Married
10007007535,3,Child,Female,20,literate,Yes,Bachelor,Student,Married
10007007535,4,Child,Male,14,literate,Yes,Secondary,Student,Single
10007007538,1,Head,Male,71,illiterate,,,IncomeWOJob,Married
10007007538,2,Spouse,Female,44,literate,No,Elemantry,Housewife,Married
10007007541,1,Head,Male,47,literate,No,Bachelor,employed,Married
10007007541,2,Spouse,Female,42,literate,No,Diploma,Housewife,Married
10007007541,3,Child,Male,15,literate,Yes,Secondary,Student,Single
10007007541,4,Child,Male,11,literate,Yes,Elemantry,Student,Single
10007007926,1,Head,Female,81,illiterate,,,IncomeWOJob,Widowed
10007007926,2,Child,Female,45,literate,No,Secondary,Housewife,Single
10007007926,3,Child,Female,38,literate,No,Diploma,Housewife,Single
10007007929,1,Head,Male,50,literate,No,Diploma,employed,Married
10007007929,2,Spouse,Female,41,literate,No,Elemantry,Housewife,Married
10007007929,3,Child,Female,21,literate,No,Secondary,Housewife,Single
10007007929,4,Child,Male,8,literate,Yes,Elemantry,,
10007007932,1,Head,Male,52,illiterate,,,employed,Married
10007007932,2,Spouse,Female,52,illiterate,,,Housewife,Married
10007007934,1,Head,Male,53,illiterate,,,employed,Married
10007007934,2,Spouse,Female,50,literate,No,Elemantry,Housewife,Married
10007007934,3,Child,Male,32,literate,No,Elemantry,unemployed,Single
10007007934,4,Child,Male,23,literate,Yes,HighSchool,unemployed,Single
10007007938,1,Head,Male,48,literate,No,Elemantry,employed,Married
10007007938,2,Spouse,Female,39,literate,No,College,Housewife,Married
10007007938,3,Child,Male,23,literate,No,Diploma,employed,Single
10007007938,4,Child,Female,13,literate,Yes,Secondary,Student,Single
10007007941,1,Head,Male,69,literate,No,Elemantry,IncomeWOJob,Married
10007007941,2,Spouse,Female,63,illiterate,,,Housewife,Married
10009008325,1,Head,Male,43,literate,No,Secondary,employed,Married
10009008325,2,Spouse,Female,43,literate,No,Diploma,Housewife,Married
10009008325,3,Child,Female,14,literate,Yes,Secondary,Student,Single
10009008330,1,Head,Male,60,literate,No,Diploma,IncomeWOJob,Married
10009008330,2,Spouse,Female,52,literate,No,Secondary,Housewife,Married
10009008330,3,Child,Female,30,literate,No,Master,unemployed,Single
10009008332,1,Head,Male,61,literate,No,Secondary,employed,Married
10009008332,2,Spouse,Female,57,literate,No,Secondary,Housewife,Married
10009008335,1,Head,Male,44,literate,No,Diploma,employed,Widowed
10009008335,2,Spouse,Female,41,literate,No,Diploma,Housewife,Married
10009008335,3,Child,Female,19,literate,No,Diploma,Other,Single
10009008335,4,Child,Male,13,literate,Yes,HighSchool,Student,Single
10009008338,1,Head,Female,50,literate,No,Diploma,IncomeWOJob,Widowed
10009008338,2,Child,Male,23,literate,No,Diploma,unemployed,Single
10009008341,1,Head,Male,39,literate,No,Elemantry,employed,Married
10009008341,2,Spouse,Female,38,literate,No,Diploma,Housewife,Married
10009008341,3,Child,Male,12,literate,Yes,Elemantry,Student,Single
10009008341,4,Child,Female,7,literate,Yes,Elemantry,,
10009008726,1,Head,Male,62,literate,No,Diploma,employed,Married
10009008726,2,Spouse,Female,53,literate,No,Secondary,Housewife,Married
10009008726,3,Child,Male,31,literate,No,Bachelor,unemployed,Married
10009008729,1,Head,Male,55,literate,No,Secondary,employed,Married
10009008729,2,Spouse,Female,50,literate,No,Elemantry,employed,Married
10009008729,3,Child,Male,27,literate,Yes,Master,Student,Single
10009008732,1,Head,Male,44,literate,No,Bachelor,employed,Married
10009008732,2,Spouse,Female,35,literate,No,College,Housewife,Married
10009008732,3,Child,Male,11,literate,Yes,Elemantry,Student,Single
10009008735,1,Head,Female,67,illiterate,,,IncomeWOJob,Widowed
10009008735,2,Child,Male,30,literate,No,College,employed,Single
10009008738,1,Head,Male,34,literate,No,Secondary,unemployed,Married
10009008738,2,Spouse,Female,32,literate,No,College,Housewife,Married
10009008738,3,Child,Female,5,,,,,
10009008741,1,Head,Male,36,literate,No,Diploma,employed,Married
10009008741,2,Spouse,Female,32,literate,No,College,Housewife,Married
10009008741,3,Child,Male,7,literate,Yes,Elemantry,,
