Address,province,town
10001000108,22,1
10001000111,22,1
10001000114,22,1
10001000117,22,1
10001000120,22,1
10001000123,22,1
10001000209,22,1
10001000211,22,1
10001000214,22,1
10001000217,22,1
10001000220,22,1
10001000223,22,1
10001000308,22,1
10001000309,22,1
10001000314,22,1
10001000317,22,1
10001000320,22,1
10001000323,22,1
10001000407,22,1
10001000408,22,1
10001000414,22,1
10001000417,22,1
10001000420,22,1
10001000423,22,1
10001000508,22,1
10001000511,22,1
10001000514,22,1
10001000517,22,1
10001000520,22,1
10001000609,22,1
10001000612,22,1
10001000613,22,1
10001000615,22,1
10001000620,22,1
10001000623,22,1
10001000707,22,1
10001000711,22,1
10001000715,22,1
10001000716,22,1
10001000720,22,1
10001000723,22,1
10001000910,22,1
10001000911,22,1
10001000915,22,1
10001000916,22,1
10001000920,22,1
10001000923,22,1
10001001010,22,1
10001001013,22,1
10001001015,22,1
10001001020,22,1
10001001023,22,1
10001001108,22,1
10001001109,22,1
10001001114,22,1
10001001116,22,1
10001001120,22,1
10001001123,22,1
10001001207,22,1
10001001212,22,1
10001001216,22,1
10001001217,22,1
10001001220,22,1
10001001223,22,1
10001001308,22,1
10001001311,22,1
10001001314,22,1
10001001315,22,1
10001001320,22,1
10001001323,22,1
10001001409,22,1
10001001411,22,1
10001001414,22,1
10001001415,22,1
10001001420,22,1
10001001423,22,1
10001001510,22,1
10001001512,22,1
10001001514,22,1
10001001516,22,1
10001001520,22,1
10001001523,22,1
10001001608,22,1
10001001612,22,1
10001001614,22,1
10001001618,22,1
10001001620,22,1
10001001623,22,1
10001001708,22,1
10001001712,22,1
10001001713,22,1
10001001714,22,1
10001001720,22,1
10001001723,22,1
10001001807,22,1
10001001811,22,1
10001001814,22,1
10001001817,22,1
10001001820,22,1
10001001823,22,1
10001001909,22,1
10001001911,22,1
10001001914,22,1
10001001916,22,1
10001001920,22,1
10001001923,22,1
10001002008,22,1
10001002012,22,1
10001002014,22,1
10001002018,22,1
10001002020,22,1
10001002023,22,1
10001002207,22,1
10001002211,22,1
10001002217,22,1
10001002218,22,1
10001002220,22,1
10001002223,22,1
10001002308,22,1
10001002312,22,1
10001002314,22,1
10001002317,22,1
10001002320,22,1
10001002323,22,1
10001002408,22,1
10001002410,22,1
10001002413,22,1
10001002414,22,1
10001002420,22,1
10001002423,22,1
10001002510,22,1
10001002511,22,1
10001002517,22,1
10001002518,22,1
10001002520,22,1
10001002523,22,1
10001002608,22,1
10001002611,22,1
10001002613,22,1
10001002617,22,1
10001002620,22,1
10001002623,22,1
10001002708,22,1
10001002711,22,1
10001002713,22,1
10001002715,22,1
10001002720,22,1
10001002723,22,1
10002002808,22,2
10002002810,22,2
10002002815,22,2
10002002816,22,2
10002002820,22,2
10002002823,22,2
10002002908,22,2
10002002911,22,2
10002002913,22,2
10002002914,22,2
10002002920,22,2
10002002923,22,2
10002003010,22,2
10002003011,22,2
10002003017,22,2
10002003020,22,2
10002003023,22,2
10003003108,22,3
10003003111,22,3
