Address,member,subsidy_number,subsidy_month,subsidy,Fasl,year
10009008518,1,2.0,12,10920000,1,1399
10005004626,1,3.0,12,16380000,1,1399
10006005929,1,3.0,12,16380000,1,1399
10011009720,1,2.0,12,10920000,1,1399
10005004618,1,3.0,12,16380000,1,1399
10006005920,1,3.0,12,16380000,1,1399
10007007226,1,2.0,12,10920000,1,1399
10009008517,1,4.0,12,21840000,1,1399
10006005926,1,4.0,12,21840000,1,1399
10003003218,1,3.0,12,16380000,1,1399
10003003219,1,4.0,12,21840000,1,1399
10011009726,1,4.0,12,21840000,1,1399
10011009718,1,3.0,12,16380000,1,1399
10006005917,1,3.0,12,16380000,1,1399
10006005918,1,2.0,12,10920000,1,1399
10009008526,1,2.0,12,10920000,1,1399
10009008529,1,4.0,12,21840000,1,1399
10011009723,1,4.0,12,21840000,1,1399
10001001923,1,2.0,12,10920000,1,1399
10001001929,1,3.0,12,16380000,1,1399
10001000613,1,3.0,12,16380000,1,1399
10001001920,1,4.0,12,21840000,1,1399
10001000626,1,2.0,12,10920000,1,1399
10001000619,1,2.0,12,10920000,1,1399
10001000620,1,3.0,12,16380000,1,1399
10001000629,1,5.0,12,27300000,1,1399
10001001926,1,3.0,12,16380000,1,1399
10007007219,1,3.0,12,16380000,1,1399
10007007221,1,3.0,12,16380000,1,1399
10007007215,1,2.0,12,10920000,1,1399
10001001523,1,4.0,12,21840000,1,1399
10001001513,1,4.0,12,21840000,1,1399
10001000216,1,1.0,12,5460000,1,1399
10001000229,1,2.0,12,10920000,1,1399
10001001529,1,3.0,12,16380000,1,1399
10001001526,1,2.0,12,10920000,1,1399
10001000614,1,3.0,12,16380000,1,1399
10004003821,1,3.0,12,16380000,1,1399
10004003829,1,4.0,12,21840000,1,1399
10004003817,1,5.0,12,27300000,1,1399
10006006323,1,3.0,12,16380000,1,1399
10001000219,1,3.0,12,16380000,1,1399
10001001516,1,3.0,12,16380000,1,1399
10006006326,1,4.0,12,21840000,1,1399
10006006314,1,4.0,12,21840000,1,1399
10010009326,1,3.0,12,16380000,1,1399
10010009326,4,1.0,7,3185000,1,1399
10010009323,1,3.0,12,16380000,1,1399
10010009313,1,5.0,12,27300000,1,1399
10010009322,1,3.0,12,16380000,1,1399
10010009329,1,3.0,12,16380000,1,1399
10009008123,1,4.0,12,21840000,1,1399
10006005522,1,3.0,12,16380000,1,1399
10013010626,1,3.0,12,16380000,1,1399
10013010629,1,3.0,12,16380000,1,1399
10013010616,1,3.0,12,16380000,1,1399
10013010615,1,3.0,12,16380000,1,1399
10013010620,1,3.0,12,16380000,1,1399
10013010620,4,1.0,6,2730000,1,1399
10004004217,1,2.0,12,10920000,1,1399
10004004220,1,2.0,12,10920000,1,1399
10004004226,1,2.0,12,10920000,1,1399
10004004229,1,2.0,12,10920000,1,1399
10013010623,1,4.0,12,21840000,1,1399
10006006823,1,2.0,12,10920000,1,1399
10006006820,1,4.0,12,21840000,1,1399
10006006813,1,3.0,12,16380000,1,1399
10006006826,1,2.0,12,10920000,1,1399
10006006829,1,2.0,12,10920000,1,1399
10002002826,1,3.0,12,16380000,1,1399
