Address,tenure,room,space,construction,material,vehicle,motorcycle,cookingfuel,heatingfuel,waterheatingfuel,facilities
10416057935,4,3,140.0,1.0,4,1,1,3,2,2,8
10417058327,4,3,80.0,1.0,4,1,0,3,2,2,6
10417058329,4,3,100.0,1.0,4,1,0,3,2,2,5
10417058334,4,4,120.0,1.0,4,1,0,3,2,2,7
10417058335,4,3,110.0,3.0,4,0,0,3,2,2,7
10417058341,4,3,100.0,1.0,4,1,1,3,2,2,6
10501058726,1,3,60.0,3.0,4,0,0,3,2,2,4
10501058730,4,3,50.0,3.0,4,0,0,3,2,2,6
10501058732,4,3,70.0,3.0,4,0,0,3,2,2,3
10501058735,0,3,100.0,3.0,4,0,0,3,2,2,4
10501058738,4,4,200.0,1.0,4,0,0,3,2,2,6
10501058741,1,4,140.0,3.0,4,0,0,3,2,2,6
10501058929,1,4,75.0,2.0,4,0,0,3,2,2,5
10501058930,4,3,74.0,2.0,4,1,0,3,2,2,6
10501058932,4,4,75.0,2.0,4,0,0,3,2,2,6
10501058938,5,4,80.0,2.0,4,0,0,3,2,2,5
10501059230,4,3,45.0,3.0,4,0,0,3,2,2,4
10501059231,0,2,50.0,3.0,1,0,0,3,2,2,5
10501059233,4,3,70.0,3.0,4,1,0,3,2,2,5
10501059238,4,4,110.0,3.0,4,0,0,3,2,2,4
10501059241,5,4,110.0,1.0,4,1,0,3,2,2,6
10502059638,0,5,140.0,2.0,4,1,0,3,2,2,8
10502060026,4,3,40.0,3.0,1,0,0,3,2,2,6
10502060029,1,3,80.0,3.0,4,1,0,3,2,2,6
10502060032,4,3,70.0,3.0,4,1,0,3,2,2,6
10502060035,1,3,70.0,3.0,4,0,0,3,2,2,6
10502060038,1,3,70.0,3.0,4,1,0,3,2,2,6
10502060428,4,4,120.0,3.0,4,0,0,3,2,2,6
10502060429,4,3,90.0,3.0,4,0,0,3,2,2,5
10502060431,5,3,75.0,1.0,4,0,0,3,2,2,5
10502060433,4,3,60.0,1.0,4,1,0,3,2,2,7
10502060438,4,4,100.0,3.0,4,0,0,3,2,2,7
10502060825,4,4,100.0,3.0,4,1,0,3,2,2,4
10502060827,4,3,70.0,3.0,4,0,0,3,2,2,5
10502060832,4,4,110.0,1.0,4,0,0,3,2,2,8
10502060835,4,3,50.0,3.0,4,1,0,3,2,2,4
10502060838,0,2,70.0,3.0,4,0,0,3,2,2,7
10502061226,4,3,60.0,2.0,4,1,0,3,2,2,7
10502061232,4,4,75.0,2.0,4,0,0,3,2,2,5
10502061235,1,4,80.0,2.0,4,0,0,3,2,2,6
10502061238,1,4,65.0,2.0,4,1,0,3,2,2,6
