Address,member,ISCO_w,ISIC_w,hours_w,days_w,income_w_m,income_w_y,perk_w_y,netincome_w_m,netincome_w_y,Fasl,year
10001000230,4,4312.0,84300,8,6,89000000,1068000000,60000000.0,78870000,1006440000,1,1401
10001000241,4,2141.0,46590,8,5,80000000,980000000,20000000.0,69800000,857600000,1,1401
10001000625,3,9329.0,27200,8,6,70000000,855000000,15000000.0,4666666,70999999,1,1401
10001000627,1,1214.0,84130,8,6,70000000,855000000,15000000.0,4666666,70999999,1,1401
10001000635,3,8322.0,49220,9,6,50000000,600000000,0.0,50000000,600000000,1,1401
10001000641,1,2149.0,35200,12,6,120000000,1443000000,30000000.0,102600000,1261200000,1,1401
10001001125,4,3324.0,46100,8,6,60000000,720000000,0.0,60000000,720000000,1,1401
10001001128,1,3411.0,69100,5,5,60000000,720000000,0.0,56800000,681600000,1,1401
10001001135,1,2411.0,35200,8,6,200000000,2400000000,20000000.0,176266667,2135200004,1,1401
10001001135,2,3134.0,35200,8,6,60000000,760000000,40000000.0,56800000,721600000,1,1401
10001001135,3,2132.0,84120,4,4,20000000,240000000,0.0,20000000,240000000,1,1401
10001001138,1,2212.0,86100,8,6,150000000,1800000000,20000000.0,133600000,1623200000,1,1401
10001001138,2,2212.0,86100,8,6,100000000,1200000000,20000000.0,90933334,1111200008,1,1401
10001001527,1,9314.0,41000,8,3,35000000,420000000,0.0,35000000,420000000,1,1401
10001001527,2,9112.0,85210,6,5,20000000,255000000,15000000.0,19066666,243799992,1,1401
10001001532,1,9314.0,41000,9,3,28000000,336000000,0.0,28000000,336000000,1,1401
10001001541,1,8322.0,49220,6,7,70000000,860000000,20000000.0,65333334,804000008,1,1401
10001001925,1,8322.0,42100,8,6,65000000,910000000,130000000.0,62433333,845833333,1,1401
10001001932,3,8322.0,49220,9,7,45000000,540000000,0.0,45000000,540000000,1,1401
10001001935,1,9329.0,35200,9,5,70000000,860000000,20000000.0,65334000,804008000,1,1401
10001001938,1,5224.0,46900,9,6,60000000,798000000,78000000.0,56800000,759600000,1,1401
10001001941,3,7522.0,31000,12,6,50000000,600000000,0.0,50000000,600000000,1,1401
10001002425,1,3135.0,24310,8,6,50000000,600000000,20000000.0,47666667,592000004,1,1401
10001002432,1,7225.0,25920,8,4,50000000,600000000,0.0,50000000,600000000,1,1401
