Address,member,ISCO_s,ISIC_s,status_s,agriculture,hours_s,days_s,Total_cost,sale,income_s_y,Fasl,year
10002002808,1.0,7213.0,45200.0,5.0,2.0,9.0,7.0,100000000.0,340000000.0,240000000.0,1,98
10002002815,1.0,1412.0,56100.0,4.0,2.0,7.0,7.0,2803000000.0,3263000000.0,460000000.0,1,98
10002002815,1.0,5224.0,47213.0,5.0,2.0,5.0,4.0,1132000000.0,1172000000.0,40000000.0,1,98
10006006814,1.0,5224.0,47212.0,5.0,2.0,8.0,7.0,1163000000.0,1583000000.0,420000000.0,1,98
10006006812,1.0,5224.0,47212.0,5.0,2.0,8.0,7.0,316000000.0,420000000.0,104000000.0,1,98
10001000211,1.0,7231.0,45200.0,4.0,2.0,12.0,6.0,345000000.0,805000000.0,460000000.0,1,98
10007007712,2.0,5224.0,47990.0,5.0,2.0,10.0,6.0,30000000.0,150000000.0,120000000.0,1,98
10009008108,3.0,5224.0,62090.0,4.0,2.0,8.0,6.0,266000000.0,421000000.0,155000000.0,1,98
10013010615,1.0,8322.0,49230.0,5.0,2.0,12.0,7.0,455300000.0,776000000.0,320700000.0,1,98
10010009314,1.0,8322.0,49220.0,5.0,2.0,5.0,6.0,42000000.0,122000000.0,80000000.0,1,98
10004004210,4.0,6123.0,1490.0,5.0,1.0,5.0,6.0,260000000.0,330000000.0,70000000.0,1,98
10004004210,5.0,6123.0,1490.0,6.0,1.0,5.0,5.0,0.0,0.0,0.0,1,98
10004004211,1.0,5224.0,47211.0,5.0,2.0,10.0,7.0,449000000.0,809000000.0,360000000.0,1,98
10004004211,3.0,5224.0,47211.0,5.0,2.0,10.0,7.0,454000000.0,814000000.0,360000000.0,1,98
10013010614,1.0,6111.0,1110.0,4.0,1.0,6.0,5.0,887500000.0,1522000000.0,634500000.0,1,98
10013010614,1.0,6112.0,1240.0,5.0,1.0,3.0,7.0,463000000.0,620000000.0,157000000.0,1,98
10013010614,1.0,6121.0,1440.0,4.0,1.0,6.0,5.0,471000000.0,818000000.0,347000000.0,1,98
10013010614,2.0,6121.0,1440.0,6.0,1.0,3.0,7.0,0.0,0.0,0.0,1,98
