Address,member,Total_income,Fasl,year
10004004223,1,358000000.0,1,98
10004004223,2,262000000.0,1,98
10002002810,1,90000000.0,1,98
10002002820,1,165000000.0,1,98
10002002823,1,242400000.0,1,98
10001000217,1,220000000.0,1,98
10002002815,1,144000000.0,1,98
10001000209,1,342500000.0,1,98
10009008123,1,468000000.0,1,98
10009008108,1,372000000.0,1,98
10009008117,1,392000000.0,1,98
10006005516,1,336000000.0,1,98
10006005516,2,264000000.0,1,98
10006005523,1,216000000.0,1,98
10013010608,1,3400000.0,1,98
10013010623,1,36000000.0,1,98
10013010623,3,14000000.0,1,98
10013010623,5,7500000.0,1,98
10006006823,1,360000000.0,1,98
10006006812,1,36000000.0,1,98
10013010620,1,60000000.0,1,98
10003003207,1,346000000.0,1,98
10003003213,1,40000000.0,1,98
10007007220,1,50000000.0,1,98
10007007215,1,189000000.0,1,98
10009008512,1,13000000.0,1,98
10007007211,1,189000000.0,1,98
10011009723,1,19200000.0,1,98
10011009723,4,3000000.0,1,98
10011009711,1,40000000.0,1,98
10011009708,1,50000000.0,1,98
10001001916,1,98000000.0,1,98
10011009717,1,32000000.0,1,98
10007007208,1,80800000.0,1,98
10003003223,1,228000000.0,1,98
10006005518,1,168000000.0,1,98
10010009323,1,109000000.0,1,98
10010009318,1,192000000.0,1,98
10010009312,1,315000000.0,1,98
10010009314,1,160000000.0,1,98
10010009308,1,208090000.0,1,98
10001001523,1,72000000.0,1,98
10001001510,1,144000000.0,1,98
10004004210,1,15000000.0,1,98
10001000613,1,226000000.0,1,98
10001000623,1,322000000.0,1,98
10001000609,1,346000000.0,1,98
10001000612,1,291000000.0,1,98
10001000615,1,334000000.0,1,98
10001001514,1,120000000.0,1,98
10001001911,1,322000000.0,1,98
10010009320,1,285000000.0,1,98
10013010610,1,2120000.0,1,98
10006005511,1,204000000.0,1,98
10006005512,1,300000000.0,1,98
10006005920,1,96000000.0,1,98
10005004623,1,160400000.0,1,98
10006005917,4,2100000.0,1,98
10009008508,1,31100000.0,1,98
10004004215,1,252000000.0,1,98
10005004611,1,3400000.0,1,98
10006005913,1,250000000.0,1,98
10004004217,1,214000000.0,1,98
10003003211,1,262000000.0,1,98
10003003211,2,262000000.0,1,98
10005004613,1,772000000.0,1,98
10006006307,1,144000000.0,1,98
10006006320,1,144000000.0,1,98
10006006315,1,51000000.0,1,98
10002002816,1,700000.0,1,98
10007007723,1,394000000.0,1,98
10007007720,1,430000000.0,1,98
10007007709,1,490000000.0,1,98
10004003817,1,370000000.0,1,98
10012010111,1,700000.0,1,98
10001002408,1,300000000.0,1,98
10007007712,1,120000000.0,1,98
10006006314,1,156000000.0,1,98
10009008520,1,234000000.0,1,98
10001002410,1,336000000.0,1,98
10009008523,1,152000000.0,1,98
10010008909,1,177800000.0,1,98
10003003217,1,1200000.0,1,98
10001001108,1,484000000.0,1,98
10004003808,1,14000000.0,1,98
10004003820,1,39300000.0,1,98
10004003823,2,149000000.0,1,98
10012010114,1,260000000.0,1,98
10012010108,1,3200000.0,1,98
10010008920,1,370000000.0,1,98
10005005109,1,214000000.0,1,98
10004003809,1,1040000.0,1,98
10001001120,1,420000000.0,1,98
10004003818,1,85000000.0,1,98
10010008915,1,240000000.0,1,98
10010008907,2,15000000.0,1,98
10010008923,1,212000000.0,1,98
10001001109,1,336000000.0,1,98
10005005114,1,156000000.0,1,98
10010008917,1,80000000.0,1,98
10001001114,1,264000000.0,1,98
10005005107,1,310000000.0,1,98
10009008111,1,768032000.0,1,98
10006006813,1,200900000.0,1,98
10113024020,1,25000000.0,1,98
10113024023,1,25000000.0,1,98
10113024013,1,35750000.0,1,98
10113024013,2,750000.0,1,98
10102012008,1,41500000.0,1,98
10102012008,2,1500000.0,1,98
10115025211,1,31200000.0,1,98
10102012011,1,41560000.0,1,98
10102012011,2,960000.0,1,98
10104014411,1,60000000.0,1,98
10113024008,1,10000000.0,1,98
10113024008,2,10000000.0,1,98
10113024008,3,2500000.0,1,98
10107019220,1,227000000.0,1,98
10113024014,1,84000000.0,1,98
10113024010,1,760000.0,1,98
10113024010,2,465000.0,1,98
10104014423,1,154000000.0,1,98
10110021608,3,800000.0,1,98
10110021608,4,1500000.0,1,98
10105016808,1,245500000.0,1,98
10105016808,2,1500000.0,1,98
10104014420,1,45000000.0,1,98
10106018023,1,500000.0,1,98
10106018023,2,500000.0,1,98
10106018023,3,2500000.0,1,98
10106018023,4,2500000.0,1,98
10108020417,1,262000000.0,1,98
10106018020,1,190000000.0,1,98
10103013218,1,293200000.0,1,98
10108020423,1,15000000.0,1,98
10108020423,2,15000000.0,1,98
10109020812,1,850000.0,1,98
10109020812,2,850000.0,1,98
10109020812,3,850000.0,1,98
10101010823,1,226760000.0,1,98
10109020809,1,358000000.0,1,98
10109020809,2,346000000.0,1,98
10101010811,1,50500000.0,1,98
10101010811,2,500000.0,1,98
10105015616,1,60000000.0,1,98
10105015616,3,4000000.0,1,98
10105015616,4,4000000.0,1,98
10105016017,1,370860000.0,1,98
10105016017,2,860000.0,1,98
10105016017,3,860000.0,1,98
10105016017,4,3500000.0,1,98
10105016017,5,2000000.0,1,98
10106018420,1,35000000.0,1,98
10106018420,3,5000000.0,1,98
10106018418,3,9000000.0,1,98
10106018418,4,6000000.0,1,98
10101010818,1,262000000.0,1,98
10101010818,2,262000000.0,1,98
10101010818,3,1000000.0,1,98
10101010820,2,340000000.0,1,98
10101011211,1,960000.0,1,98
10101011211,2,960000.0,1,98
10101011211,3,1000000.0,1,98
10105016011,1,214000000.0,1,98
10106018014,1,670000000.0,1,98
10109020813,3,5000000.0,1,98
10109020814,1,15000000.0,1,98
10109020814,2,5000000.0,1,98
10109020814,3,3000000.0,1,98
10101010814,1,250000000.0,1,98
10101010814,2,250000000.0,1,98
10101011620,3,4000000.0,1,98
10108020411,3,1500000.0,1,98
10108020411,4,2000000.0,1,98
10108020408,3,2400000.0,1,98
10101011220,3,5000000.0,1,98
10101011223,1,100000000.0,1,98
10101011223,3,2000000.0,1,98
10101011223,4,2000000.0,1,98
10101011223,5,2000000.0,1,98
10101011623,1,800000.0,1,98
10101011623,2,800000.0,1,98
10101011623,3,2500000.0,1,98
10101011623,4,3000000.0,1,98
10103013614,3,3000000.0,1,98
10105016014,1,216000000.0,1,98
10105016014,3,2500000.0,1,98
10105016408,1,478000000.0,1,98
10105016408,2,2000000.0,1,98
10105016409,1,308000000.0,1,98
10107018811,1,18400000.0,1,98
10107018811,2,680000.0,1,98
10107018811,3,680000.0,1,98
10107018811,4,1580000.0,1,98
10107018812,1,62500000.0,1,98
10107018812,3,1500000.0,1,98
10108020420,2,500000.0,1,98
10108020420,3,2000000.0,1,98
10108020420,4,2000000.0,1,98
10103013220,2,750000.0,1,98
10103013220,3,1750000.0,1,98
10107018820,1,1600000.0,1,98
10106018408,1,160900000.0,1,98
10106018408,2,900000.0,1,98
10106018411,1,19900000.0,1,98
10104014008,1,38850000.0,1,98
10104014008,2,850000.0,1,98
10106018017,1,394560000.0,1,98
10106018017,2,460000.0,1,98
10105016418,1,253000000.0,1,98
10105016418,3,35000000.0,1,98
10104014017,1,48000000.0,1,98
10104014017,3,2000000.0,1,98
10104014017,4,2000000.0,1,98
10104014017,5,1000000.0,1,98
10101011608,1,15861000.0,1,98
10101011608,2,861000.0,1,98
10101011608,3,4861000.0,1,98
10101011608,4,4861000.0,1,98
10103013212,1,113000000.0,1,98
10103013620,3,5000000.0,1,98
10103013620,4,5000000.0,1,98
10106018423,1,60000000.0,1,98
10106018423,2,5000000.0,1,98
10106018423,3,5000000.0,1,98
10106018423,4,5000000.0,1,98
10105016423,3,2000000.0,1,98
10105016423,4,2000000.0,1,98
10106018413,1,960000.0,1,98
10106018413,2,960000.0,1,98
10106018413,3,2000000.0,1,98
10106018413,4,2000000.0,1,98
10103013607,1,76000000.0,1,98
10103013607,2,800000.0,1,98
10103013208,1,12900000.0,1,98
10101011617,1,18300000.0,1,98
10104014009,1,45900000.0,1,98
10104014009,2,900000.0,1,98
10112023614,1,950000.0,1,98
10112023614,2,950000.0,1,98
10101011609,1,15000000.0,1,98
10101011609,3,2000000.0,1,98
10101011609,4,5000000.0,1,98
10109021210,1,286000000.0,1,98
10109021211,1,800000.0,1,98
10109021211,2,800000.0,1,98
10105015608,1,590000000.0,1,98
10101011208,1,144460000.0,1,98
10101011208,2,460000.0,1,98
10101011208,3,460000.0,1,98
10101011208,4,1960000.0,1,98
10101011215,1,12000000.0,1,98
10101011215,3,1200000.0,1,98
10101011216,1,226000000.0,1,98
10101011216,2,11400000.0,1,98
10101011614,1,27000000.0,1,98
10103013611,1,93000000.0,1,98
10105016008,1,250000000.0,1,98
10105016020,1,250000000.0,1,98
10108020414,1,48000000.0,1,98
10108020414,3,2500000.0,1,98
10108020414,4,2000000.0,1,98
10109020820,1,30000000.0,1,98
10109020820,2,20000000.0,1,98
10109020820,3,5000000.0,1,98
10109020820,4,5000000.0,1,98
10112023620,1,18250000.0,1,98
10112023623,1,30860000.0,1,98
10112023623,2,860000.0,1,98
10112023623,3,1000000.0,1,98
10104014023,1,16500000.0,1,98
10104014023,3,3000000.0,1,98
10109021223,2,25000000.0,1,98
10109021223,3,5000000.0,1,98
10103013617,1,250000000.0,1,98
10107018823,3,2000000.0,1,98
10109020823,1,247760000.0,1,98
10109020823,2,760000.0,1,98
10109020823,3,760000.0,1,98
10107018815,1,87000000.0,1,98
10105015623,1,960000.0,1,98
10105015623,2,960000.0,1,98
10105015623,3,5000000.0,1,98
10106018010,1,442000000.0,1,98
10105016413,1,20060000.0,1,98
10105016413,2,860000.0,1,98
10111022808,1,18000000.0,1,98
10103013216,1,370000000.0,1,98
10104014020,1,35000000.0,1,98
10104014020,2,3000000.0,1,98
10109021220,1,15961000.0,1,98
10109021220,2,961000.0,1,98
10105016816,1,2000000.0,1,98
10105016816,3,10000000.0,1,98
10105016816,4,10000000.0,1,98
10105016817,1,214000000.0,1,98
10105016811,1,226000000.0,1,98
10105016820,2,202000000.0,1,98
10105016823,1,900000.0,1,98
10105016823,2,900000.0,1,98
10105016823,3,1600000.0,1,98
10105016823,4,800000.0,1,98
10115025220,1,1197000000.0,1,98
10115025214,1,540000.0,1,98
10115025214,2,540000.0,1,98
10115025214,3,184000000.0,1,98
10115025210,1,322000000.0,1,98
10115025223,1,2000000.0,1,98
10115025217,1,10460000.0,1,98
10115025217,2,5460000.0,1,98
10115025217,3,4000000.0,1,98
10104014416,1,5560000.0,1,98
10104014416,2,560000.0,1,98
10104014416,4,2000000.0,1,98
10104014409,2,180000000.0,1,98
10104014414,1,418560000.0,1,98
10104014414,2,640000.0,1,98
10104014414,3,560000.0,1,98
10104014414,4,2560000.0,1,98
10104014414,5,760000.0,1,98
