Address,member,ISCO_w,ISIC_w,hours_w,days_w,income_w_m,income_w_y,perk_w_y,netincome_w_m,netincome_w_y,Fasl,year
10005004626,2,2411,10792,8.0,6.0,22000000,176000000,0,20973334,167786672,1,1399
10006005929,1,9321,10303,8.0,6.0,28000000,366000000,30000000,26693334,350320008,1,1399
10011009720,1,9211,1500,8.0,3.0,15000000,120000000,0,15000000,120000000,1,1399
10006005920,1,9321,20290,8.0,6.0,25000000,330000000,30000000,24883334,328600008,1,1399
10006005926,1,9321,29300,8.0,6.0,36000000,462000000,30000000,33720000,434640000,1,1399
10005004619,1,8142,13110,8.0,6.0,23000000,288000000,12000000,22892667,286712004,1,1399
10005004617,1,4419,23990,8.0,6.0,29000000,378000000,30000000,27646667,361760004,1,1399
10005004617,3,2262,86100,8.0,6.0,0,10000000,0,0,10000000,1,1399
10006005924,3,3122,29100,8.0,6.0,25000000,325000000,25000000,24883334,323600008,1,1399
10006005924,4,5153,80100,8.0,6.0,25000000,325000000,25000000,24883334,323600008,1,1399
10003003218,1,9314,41000,8.0,5.0,15000000,180000000,0,15000000,180000000,1,1399
10003003219,1,9314,41000,8.0,4.0,10000000,120000000,0,10000000,120000000,1,1399
10003003223,2,1115,84110,8.0,5.0,25000000,312000000,0,25000000,312000000,1,1399
10003003229,1,9112,86903,8.0,5.0,32000000,396000000,0,32000000,396000000,1,1399
10011009723,1,9211,1500,8.0,1.0,5000000,90000000,0,5000000,90000000,1,1399
10007007219,1,7212,29300,8.0,6.0,15000000,180000000,0,14300000,171600000,1,1399
10007007221,3,9614,84110,8.0,6.0,10000000,130000000,10000000,9533334,124400008,1,1399
10005004629,1,8131,23990,8.0,6.0,36000000,432000000,0,33720000,404640000,1,1399
10005004629,3,8131,23990,8.0,6.0,15000000,30000000,0,15000000,30000000,1,1399
10011009726,3,7537,47710,8.0,6.0,0,90000000,0,0,90000000,1,1399
10006005917,1,7111,41000,8.0,3.0,18000000,180000000,0,18000000,180000000,1,1399
10006005918,2,3343,86901,8.0,6.0,4000000,16000000,0,4000000,16000000,1,1399
10009008529,1,3343,72100,8.0,6.0,32000000,396000000,12000000,30306667,375680004,1,1399
10007007229,3,9321,29300,8.0,6.0,40000000,515000000,35000000,37133334,480600008,1,1399
10011009729,2,9211,1500,5.0,2.0,11000000,45000000,0,11000000,45000000,1,1399
