Address,member,ISCO_s,ISIC_s,status_s,agriculture,hours_s,days_s,Total_cost,sale,income_s_y,Fasl,year
20011395420,1,6121,1440,5,1,5.0,7.0,70000000.0,142500000.0,72500000,1,98
20001385423,1,6111,1110,5,1,6.0,5.0,43000000.0,113000000.0,70000000,1,98
20011395407,1,6111,1110,5,1,7.0,5.0,76500000.0,185000000.0,108500000,1,98
20011395407,1,6121,1440,5,1,4.0,7.0,105000000.0,205000000.0,100000000,1,98
20004387823,1,8322,49230,5,2,8.0,2.0,70000000.0,190000000.0,120000000,1,98
20011395415,1,8322,49230,5,2,10.0,2.0,71000000.0,211000000.0,140000000,1,98
20011395411,2,6111,1110,5,1,7.0,5.0,76500000.0,185000000.0,108500000,1,98
20011395411,2,6121,1440,5,1,5.0,7.0,105000000.0,205000000.0,100000000,1,98
20010394223,1,6111,1110,5,1,7.0,5.0,46000000.0,145000000.0,99000000,1,98
20012396620,1,6111,1110,4,1,7.0,6.0,192000000.0,288000000.0,96000000,1,98
20012396620,1,6112,1240,4,1,6.0,6.0,56000000.0,150000000.0,94000000,1,98
20012396620,1,6121,1440,4,1,4.0,7.0,32150000.0,85000000.0,52850000,1,98
20012396623,1,6111,1110,5,1,8.0,7.0,366000000.0,466000000.0,100000000,1,98
20012396623,1,6121,1440,5,1,5.0,7.0,46000000.0,180000000.0,134000000,1,98
20003386620,1,6121,1440,5,1,7.0,7.0,130000000.0,233000000.0,103000000,1,98
20004387809,1,8322,49230,5,2,8.0,4.0,225000000.0,360000000.0,135000000,1,98
20004387811,1,6111,1110,5,1,5.0,7.0,70000000.0,80000000.0,10000000,1,98
20004387811,1,6121,1440,4,1,7.0,7.0,90000000.0,160000000.0,70000000,1,98
20006390209,1,8322,49230,5,2,7.0,6.0,50000000.0,140000000.0,90000000,1,98
20007392611,1,8322,37000,5,2,7.0,7.0,20000000.0,260000000.0,240000000,1,98
20003386609,1,6121,1440,5,1,10.0,7.0,144000000.0,267000000.0,123000000,1,98
20010394214,1,6111,1110,4,1,8.0,5.0,437000000.0,850000000.0,413000000,1,98
20010394214,1,6121,1440,5,1,3.0,7.0,351000000.0,560000000.0,209000000,1,98
20010394214,2,6121,1440,6,1,3.0,7.0,0.0,0.0,0,1,98
20006390223,1,6112,1240,4,1,5.0,7.0,50000000.0,70000000.0,20000000,1,98
20003386614,1,6111,1110,5,1,6.0,7.0,24200000.0,95000000.0,70800000,1,98
20003386614,1,6121,1440,5,1,4.0,7.0,125000000.0,200000000.0,75000000,1,98
20012396609,1,6121,1440,5,1,5.0,7.0,26200000.0,45000000.0,18800000,1,98
20013397823,1,6121,1440,4,1,4.0,7.0,30600000.0,40000000.0,9400000,1,98
20013397814,1,5224,47211,5,2,8.0,7.0,137000000.0,192000000.0,55000000,1,98
20010394217,1,6111,1110,4,1,8.0,7.0,164500000.0,464500000.0,300000000,1,98
20010394217,1,6121,1440,4,1,5.0,7.0,400000000.0,730000000.0,330000000,1,98
20010394208,1,6111,1110,4,1,8.0,7.0,294500000.0,394500000.0,100000000,1,98
20010394208,4,6111,1110,6,1,8.0,7.0,0.0,0.0,0,1,98
20010394208,1,6121,1440,5,1,5.0,7.0,60500000.0,170000000.0,109500000,1,98
20013397820,1,6111,1110,4,1,8.0,4.0,121250000.0,270000000.0,148750000,1,98
20013397820,1,6121,1440,5,1,2.0,7.0,98500000.0,175000000.0,76500000,1,98
20013397820,2,6121,1440,6,1,2.0,7.0,0.0,0.0,0,1,98
20012396617,1,6111,1110,4,1,8.0,5.0,119500000.0,260000000.0,140500000,1,98
20012396617,1,6121,1440,4,1,6.0,7.0,64500000.0,106000000.0,41500000,1,98
20007391415,1,6121,1440,5,1,10.0,7.0,30000000.0,140000000.0,110000000,1,98
20001385408,1,8322,49230,5,2,10.0,3.0,133000000.0,313000000.0,180000000,1,98
20007391423,1,6111,1110,5,1,6.0,7.0,80000000.0,300000000.0,220000000,1,98
20007391423,1,6121,1440,5,1,5.0,7.0,36800000.0,110000000.0,73200000,1,98
20001384207,1,6112,1240,4,1,10.0,6.0,79000000.0,345000000.0,266000000,1,98
