Address,member,Male_count,Female_count,age,literacy,studying,degree,occupationalst,maritalst
20001383919,5,4,1,20.8,0.6,0.2,9,5,2
20001383923,4,2,2,32.5,1.0,0.5,9,4,1
20001383925,4,2,2,46.5,1.0,0.0,3,0,1
20001383929,2,1,1,28.0,1.0,0.0,2,4,1
20001383932,2,1,1,61.5,0.5,0.0,3,6,1
20001383935,4,3,1,24.25,0.75,0.25,9,4,1
20001384021,3,2,1,45.333333333333336,1.0,0.3333333333333333,3,4,1
20001384022,4,3,1,29.75,1.0,0.25,9,4,1
20001384026,2,1,1,63.5,0.0,0.0,6,4,1
20001384029,5,2,3,19.6,0.8,0.4,3,3,2
20001384032,2,1,1,69.5,1.0,0.0,3,4,1
20001384035,2,1,1,72.5,0.5,0.0,3,1,1
20001384121,3,1,2,42.333333333333336,1.0,0.3333333333333333,3,4,1
20001384123,4,3,1,19.5,0.75,0.25,3,4,1
20001384126,4,2,2,32.25,1.0,0.25,3,4,1
20001384129,3,2,1,45.333333333333336,0.6666666666666666,0.0,3,4,1
20001384132,3,1,2,22.0,0.6666666666666666,0.0,9,6,1
20001384135,3,2,1,48.0,0.3333333333333333,0.3333333333333333,6,1,1
20001384220,3,1,2,23.0,0.6666666666666666,0.0,2,4,1
20001384223,3,2,1,41.333333333333336,1.0,0.0,3,4,1
20001384225,3,2,1,34.0,1.0,0.3333333333333333,7,4,1
20001384232,3,1,2,28.666666666666668,1.0,0.3333333333333333,9,4,1
20001384235,2,1,1,69.5,0.0,0.0,6,1,1
20001384321,2,1,1,81.5,1.0,0.0,7,4,1
20001384322,3,2,1,38.333333333333336,1.0,0.3333333333333333,3,4,1
20001384326,1,0,1,80.0,0.0,0.0,6,0,3
20001384327,4,3,1,25.25,1.0,0.5,9,3,1
20001384332,2,1,1,72.5,0.0,0.0,6,1,1
20001384335,3,1,2,32.0,1.0,0.3333333333333333,3,4,1
20001384420,2,1,1,66.5,1.0,0.0,3,4,1
20001384423,4,2,2,47.25,0.75,0.0,2,4,1
20001384425,5,3,2,21.0,0.8,0.4,3,3,2
20001384426,4,1,3,22.5,0.75,0.25,3,4,1
20001384432,4,3,1,37.75,1.0,0.25,3,4,1
20001384521,2,0,2,35.0,1.0,0.0,2,1,3
20001384522,4,1,3,33.5,1.0,0.25,3,0,1
20001384525,2,0,2,41.5,1.0,0.0,7,1,3
20001384528,4,3,1,26.25,1.0,0.25,3,4,1
20001384532,3,1,2,52.666666666666664,1.0,0.0,3,1,3
