Address,member,Male_count,Female_count,age,literacy,studying,degree,occupationalst,maritalst,province,town,tenure,room,space,construction,material,vehicle,motorcycle,cookingfuel,heatingfuel,waterheatingfuel,facilities,total_cost,total_income
20001383919,5,4,1,20.8,0.6,0.2,9,5,2,22,1,4,3,80.0,1.0,4,1,1,3,4,4,7,521422940.0,181700000.0
20001383923,4,2,2,32.5,1.0,0.5,9,4,1,22,1,4,4,150.0,3.0,1,0,1,3,4,4,7,113830000.0,636000000.0
20001383925,4,2,2,46.5,1.0,0.0,3,0,1,22,1,4,3,75.0,3.0,1,0,1,3,4,4,7,83847552.0,232960000.0
20001383929,2,1,1,28.0,1.0,0.0,2,4,1,22,1,0,2,45.0,3.0,7,0,0,3,4,4,6,40054776.0,30280000.0
20001383932,2,1,1,61.5,0.5,0.0,3,6,1,22,1,4,4,120.0,1.0,4,0,0,3,4,4,6,99872000.0,427280000.0
20001383935,4,3,1,24.25,0.75,0.25,9,4,1,22,1,4,4,120.0,3.0,4,0,0,3,4,4,8,91317552.0,123105000.0
20001384021,3,2,1,45.333333333333336,1.0,0.3333333333333333,3,4,1,22,1,4,4,70.0,3.0,4,1,0,3,4,4,8,211664164.0,650980000.0
20001384022,4,3,1,29.75,1.0,0.25,9,4,1,22,1,0,3,70.0,3.0,4,1,0,3,4,4,8,202204552.0,241440000.0
20001384026,2,1,1,63.5,0.0,0.0,6,4,1,22,1,4,3,100.0,3.0,4,1,0,3,4,4,9,199386776.0,939320000.0
20001384029,5,2,3,19.6,0.8,0.4,3,3,2,22,1,0,4,85.0,3.0,4,1,0,3,4,4,8,328381940.0,53900000.0
20001384032,2,1,1,69.5,1.0,0.0,3,4,1,22,1,4,4,120.0,3.0,4,1,0,3,4,4,8,390979776.0,796320000.0
20001384035,2,1,1,72.5,0.5,0.0,3,1,1,22,1,4,4,80.0,3.0,4,0,0,3,4,4,6,155667000.0,583320000.0
