Address,tenure,room,space,construction,material,vehicle,motorcycle,cookingfuel,heatingfuel,waterheatingfuel,facilities
20916495838,4,4,120.0,3.0,4,1,0,3,3,4,7
20916495841,4,3,150.0,3.0,4,1,0,3,3,4,5
20916496225,4,4,120.0,3.0,1,1,0,3,3,4,9
20916496227,4,4,100.0,3.0,4,0,0,3,3,4,5
20916496234,4,3,70.0,3.0,4,1,1,3,3,4,8
20916496235,4,3,80.0,3.0,4,1,0,3,3,4,8
20916496238,4,4,100.0,3.0,4,1,0,3,3,4,8
20916496241,4,3,75.0,3.0,4,0,0,3,3,4,4
20916496628,4,3,105.0,3.0,4,1,0,3,3,4,5
20916496629,5,3,100.0,3.0,4,0,0,3,3,4,6
20916496631,4,3,120.0,3.0,4,1,0,3,3,4,6
20916496632,4,3,105.0,3.0,4,0,0,3,3,4,6
20916496638,4,4,160.0,3.0,4,1,0,3,3,4,7
20916496641,4,3,150.0,3.0,4,1,0,3,3,4,8
20917497026,4,3,70.0,3.0,4,0,1,3,3,4,7
20917497029,4,3,80.0,3.0,1,0,0,3,3,4,3
20917497032,0,5,90.0,3.0,1,1,1,3,3,4,6
20917497035,4,4,60.0,1.0,4,0,0,3,3,4,3
20917497038,4,3,70.0,3.0,4,0,0,3,3,4,2
20917497041,4,3,70.0,3.0,1,0,0,3,3,4,3
20917497426,5,3,80.0,3.0,4,1,0,3,3,4,8
20917497432,5,3,70.0,3.0,4,1,0,3,3,4,7
20917497435,4,2,75.0,3.0,4,1,0,3,3,4,4
20917497438,4,3,100.0,3.0,4,1,0,3,3,4,7
20917497441,4,3,130.0,3.0,4,1,1,3,3,4,8
20918497826,4,3,100.0,3.0,4,0,1,3,3,4,7
20918497828,4,3,60.0,3.0,4,1,1,3,3,4,7
20918497831,4,3,80.0,3.0,4,0,1,3,3,4,5
20918497834,4,4,130.0,3.0,4,1,1,3,3,4,8
20918497838,4,2,50.0,3.0,4,0,0,3,3,4,5
20918497841,4,3,80.0,3.0,3,0,1,3,3,4,6
20918498226,4,3,75.0,3.0,4,0,1,3,3,4,5
20918498229,4,3,100.0,3.0,4,0,1,3,3,4,6
20918498232,4,4,100.0,3.0,4,1,1,3,3,4,8
20918498238,4,5,150.0,3.0,4,1,1,3,3,4,6
20918498241,4,4,135.0,3.0,4,1,0,3,3,4,7
20919498626,5,3,65.0,1.0,4,1,0,3,3,4,7
20919498629,4,3,65.0,1.0,4,0,0,3,3,4,7
20919498632,4,3,60.0,1.0,4,0,1,3,3,4,6
20919498635,4,4,110.0,1.0,4,0,1,3,3,4,8
20919498638,4,4,120.0,3.0,4,1,0,3,3,4,7
20919498641,4,3,80.0,1.0,4,0,1,3,3,4,6
20920499025,4,4,100.0,3.0,4,0,0,3,3,4,9
20920499026,4,4,110.0,3.0,4,0,0,3,3,4,5
20920499032,1,3,100.0,3.0,7,0,1,3,3,4,4
20920499035,1,2,100.0,3.0,4,1,1,3,3,4,5
20920499041,4,2,70.0,3.0,4,0,0,3,3,4,6
20920499425,4,3,75.0,3.0,4,0,0,3,3,4,2
20920499426,4,4,100.0,1.0,4,0,1,3,3,4,5
20920499432,4,3,80.0,3.0,4,1,0,3,3,4,3
20920499436,4,4,120.0,3.0,4,0,0,3,3,4,7
20920499438,4,3,60.0,1.0,4,0,1,3,3,4,5
20920499441,4,2,40.0,3.0,4,0,0,3,3,4,3
20922499827,4,2,75.0,3.0,4,0,1,3,3,4,6
20922499829,4,3,100.0,3.0,4,0,1,3,3,4,7
20922499832,4,3,75.0,3.0,4,0,0,3,3,4,3
