Address,code,value
20001384229,22111,2100000
20001384241,22111,4500000
20001384626,22111,3000000
20001384636,22111,4500000
20001384638,22111,1800000
20001384641,22111,1125000
20001385026,22111,1600000
20002385825,22111,3000000
20002385828,22111,3000000
20002385831,22111,3200000
20002385835,22111,900000
20002386238,22111,2400000
20003386634,22111,5400000
20003387029,22111,480000
20003387034,22111,1600000
20003387038,22111,3000000
20004387432,22111,2700000
20004387441,22111,1200000
20004387841,22111,1050000
20004388233,22111,600000
20004388241,22111,1350000
20005388634,22111,6000000
20006389428,22111,600000
20006389433,22111,2400000
20006389435,22111,5100000
20006389435,23111,8000000
20006390238,22111,2550000
20006390629,22111,3600000
20007391027,22111,1425000
20007391031,22111,80000
20007391429,22111,750000
20007391832,22111,120000
20007391841,23111,2500000
20007392238,22111,3300000
20007392628,22111,1200000
20009393025,22111,2100000
20009393027,22111,3000000
20009393038,22111,6000000
20010394232,22111,1200000
20010394238,22111,2800000
20010394241,22111,2400000
20011394625,22111,2400000
20011394626,22111,1650000
20011394634,22111,1650000
20011394641,22111,350000
20011395035,22111,6075000
20011395041,22111,3600000
20011395041,23111,2000000
20012395833,22111,1500000
20012395838,22111,2400000
20012395841,22111,4800000
20012396229,22111,1200000
20012396236,22111,600000
20012396238,22111,1800000
20013397029,22111,270000
20013397430,22111,900000
20013397438,22111,1500000
20013397827,22111,1500000
20013397836,22111,1650000
20013397838,22111,2400000
20101398326,22111,1500000
20101398332,22111,1500000
20102398832,22111,1000000
20104399626,22111,1200000
20104399629,22111,1080000
20105400138,22111,960000
20105400638,22111,5500000
20106401036,22111,2500000
20108401938,22111,900000
20109402829,22111,1400000
20110403230,22111,3600000
20110403231,22111,1200000
20110403235,22111,1200000
20111403629,22111,2400000
20111403634,22111,1200000
20111403638,22111,2400000
20112404226,22111,1440000
20112404232,22111,1500000
20112404241,22111,1200000
20113404738,22111,1500000
20114405126,22111,1320000
20114405136,22111,960000
20201406729,22115,320000
20201406738,22113,3000000
20207409929,22111,3600000
20210410735,22111,750000
20214411132,22111,2400000
20214411541,22111,3600000
20214411541,22115,320000
20214411541,23111,8000000
20215411929,22111,3000000
20216412335,22111,3300000
20216412335,23111,10000000
20218412732,22111,600000
20218413129,22113,2700000
20218413138,22111,2160000
20220413928,22111,4500000
20220413936,22111,675000
20223415125,22111,1650000
20223415133,22111,3300000
20223415133,23111,5000000
20223415136,22113,1500000
20223415138,22111,750000
20223415141,22111,750000
20225415532,22113,8370000
20225415535,22113,3720000
20225415541,22113,5000000
20225415930,22113,4340000
20225415932,22111,3410000
20302416731,22113,1600000
20302417138,22113,1085000
20302417141,22113,1800000
20303417532,22113,1000000
20303417533,22113,2250000
20303417931,22113,6200000
20305418327,22113,9300000
20305418330,22113,9000000
20305418341,22113,2480000
20306419126,22113,1200000
20306419135,22113,2400000
20306419135,23111,9000000
20306419138,22113,1125000
20306419141,22113,1080000
20306419527,22113,2250000
20306419538,22113,1080000
20306419541,22113,2700000
20307419928,22113,1550000
20307419941,22113,387500
20307420332,22113,3000000
20307420335,22113,13500000
20310420738,22113,3000000
20310420741,22113,2400000
20311421528,22113,2100000
20312421925,22113,1800000
20312421935,22113,1200000
20312421938,22113,1500000
20313422328,22113,2100000
20313422332,22113,2480000
20313422338,22113,8680000
20313422727,22113,560000
20313422738,22113,651000
20316423936,22113,1500000
20319424329,22113,3100000
20319424330,22113,5400000
20319424331,22113,2170000
20319424338,22113,3720000
20319424341,22113,7200000
20320424729,22113,1350000
20320424735,22113,1200000
20320424738,22113,2000000
20320424738,23111,2000000
20320424741,22113,2400000
20320424741,23111,4500000
20320425126,22113,1200000
20320425127,22113,1500000
20320425135,22113,1620000
20320425136,22113,450000
20321425527,22113,1800000
20321425529,22113,1800000
20321425538,22113,300000
20324426732,22113,1500000
20324426736,22115,1000000
20324426738,22113,1800000
20325427138,22113,400000
20326427926,22113,4340000
20401428229,22115,2000000
20401428627,22111,3000000
20401428638,22113,6000000
