Address,member,Male_count,Female_count,age,literacy,studying,degree,occupationalst,maritalst
10001000108,5,2,3,46.6,1.0,0.0,5,0,2
10001000111,3,2,1,27.0,1.0,0.3333333333333333,2,4,1
10001000114,1,0,1,49.0,1.0,0.0,2,1,3
10001000117,4,2,2,38.5,1.0,0.0,2,0,1
10001000120,4,1,3,49.75,1.0,0.25,3,0,1
10001000123,4,2,2,36.75,1.0,0.25,0,0,1
10001000209,3,1,2,51.333333333333336,1.0,0.3333333333333333,3,1,1
10001000211,3,2,1,54.0,1.0,0.3333333333333333,2,4,1
10001000214,5,2,3,16.8,0.6,0.2,6,5,2
10001000217,1,0,1,74.0,1.0,0.0,3,1,3
10001000220,3,1,2,36.666666666666664,1.0,0.3333333333333333,2,4,1
10001000223,2,1,1,24.0,1.0,0.5,0,4,1
10001000308,1,0,1,63.0,0.0,0.0,6,0,3
10001000309,3,1,2,23.0,0.6666666666666666,0.0,5,4,1
10001000314,2,1,1,29.0,1.0,0.0,0,4,1
10001000317,3,1,2,52.666666666666664,1.0,0.0,3,0,1
10001000320,3,2,1,52.0,1.0,0.0,3,1,1
10001000323,3,1,2,63.0,0.6666666666666666,0.0,3,0,1
10001000407,2,1,1,21.5,1.0,0.5,2,4,0
10001000408,2,1,1,58.0,1.0,0.0,9,1,1
10001000414,3,2,1,22.0,0.6666666666666666,0.0,9,4,1
10001000417,5,3,2,51.8,0.8,0.0,3,4,1
10001000420,2,1,1,59.5,1.0,0.0,9,1,1
10001000423,3,1,2,21.333333333333332,0.6666666666666666,0.0,2,4,1
10001000508,4,2,2,19.75,0.75,0.25,2,4,1
10001000511,4,1,3,31.0,1.0,0.5,0,3,1
10001000514,4,3,1,20.25,0.75,0.25,1,4,1
10001000517,3,2,1,33.0,1.0,0.3333333333333333,1,4,1
10001000520,2,1,1,26.0,1.0,0.0,2,4,1
10001000609,3,2,1,35.0,0.6666666666666666,0.0,9,1,1
10001000612,2,1,1,66.5,1.0,0.0,3,1,1
10001000613,1,0,1,72.0,0.0,0.0,6,1,3
10001000615,2,1,1,49.0,1.0,0.0,4,1,1
10001000620,4,3,1,24.5,1.0,0.25,9,4,1
10001000623,2,1,1,54.5,1.0,0.0,4,1,1
10001000707,6,1,5,16.166666666666668,0.6666666666666666,0.3333333333333333,2,3,2
10001000711,3,1,2,38.333333333333336,1.0,0.0,3,1,3
10001000715,3,2,1,48.0,1.0,0.0,3,1,1
10001000716,1,0,1,65.0,0.0,0.0,6,1,3
10001000720,4,1,3,19.75,0.75,0.25,2,4,1
10001000723,3,1,2,15.0,0.6666666666666666,0.0,2,4,1
10001000910,2,1,1,59.5,1.0,0.0,3,1,1
10001000911,3,2,1,19.333333333333332,0.6666666666666666,0.0,2,4,1
10001000915,2,1,1,22.0,1.0,0.0,9,4,1
10001000916,3,2,1,36.0,1.0,0.3333333333333333,3,1,1
10001000920,4,1,3,21.0,0.75,0.25,1,4,1
10001000923,3,2,1,22.666666666666668,0.6666666666666666,0.0,0,4,1
10001001010,3,2,1,52.0,1.0,0.0,1,1,1
10001001013,4,0,4,38.75,1.0,0.0,5,0,2
10001001015,3,1,2,69.66666666666667,0.6666666666666666,0.0,9,1,1
10001001020,2,1,1,56.5,1.0,0.0,3,1,3
10001001023,5,4,1,38.8,1.0,0.2,0,6,1
10001001108,4,1,3,48.75,1.0,0.0,2,0,1
10001001109,1,0,1,68.0,0.0,0.0,6,1,3
10001001114,3,2,1,58.666666666666664,1.0,0.0,2,1,1
10001001116,4,2,2,25.5,1.0,0.5,2,3,1
10001001120,1,1,0,80.0,1.0,0.0,2,1,3
10001001123,2,1,1,31.0,1.0,0.5,0,4,1
10001001207,2,1,1,84.0,0.0,0.0,6,1,1
10001001212,4,3,1,27.75,1.0,0.25,9,4,1
10001001216,1,1,0,47.0,1.0,0.0,9,4,0
10001001217,2,1,1,66.0,0.0,0.0,6,1,1
10001001220,2,1,1,38.0,1.0,0.0,9,4,1
10001001223,3,2,1,56.666666666666664,0.6666666666666666,0.0,3,1,1
10001001308,4,3,1,20.5,0.75,0.25,2,4,1
10001001311,3,1,2,28.0,1.0,0.3333333333333333,0,4,1
