Address,member,Male_count,Female_count,age,literacy,studying,degree,occupationalst,maritalst,province,town,tenure,room,space,construction,material,vehicle,motorcycle,cookingfuel,heatingfuel,waterheatingfuel,facilities,total_cost,total_income
10001000108,5,2,3,46.6,1.0,0.0,5,0,2,22,1,4,4,135.0,3,4,0,0,3,2,3,7,152193000.0,419300000.0
10001000111,3,2,1,27.0,1.0,0.3333333333333333,2,4,1,22,1,5,4,120.0,1,4,1,0,3,2,3,8,198140288.0,16380000.0
10001000114,1,0,1,49.0,1.0,0.0,2,1,3,22,1,4,3,100.0,1,4,0,0,3,2,3,7,43402000.0,149460000.0
10001000117,4,2,2,38.5,1.0,0.0,2,0,1,22,1,4,4,100.0,3,4,1,0,3,2,3,5,89418000.0,465840000.0
10001000120,4,1,3,49.75,1.0,0.25,3,0,1,22,1,4,4,105.0,3,4,0,0,3,2,3,6,61097000.0,343920000.0
10001000123,4,2,2,36.75,1.0,0.25,0,0,1,22,1,4,4,100.0,3,4,1,0,3,2,3,5,521199000.0,21840000.0
10001000209,3,1,2,51.333333333333336,1.0,0.3333333333333333,3,1,1,22,1,4,4,100.0,3,4,0,0,3,2,3,8,41161500.0,358880000.0
10001000211,3,2,1,54.0,1.0,0.3333333333333333,2,4,1,22,1,4,4,120.0,3,4,1,0,3,2,3,7,85682500.0,460000000.0
10001000214,5,2,3,16.8,0.6,0.2,6,5,2,22,1,4,4,110.0,3,4,1,0,3,2,3,9,225560000.0,27300000.0
10001000217,1,0,1,74.0,1.0,0.0,3,1,3,22,1,4,3,100.0,3,4,0,0,3,2,3,7,18747500.0,225460000.0
10001000220,3,1,2,36.66666666666666,1.0,0.3333333333333333,2,4,1,22,1,4,3,110.0,3,4,1,0,3,2,3,7,218851000.0,0.0
10001000223,2,1,1,24.0,1.0,0.5,0,4,1,22,1,4,4,110.0,3,4,0,0,3,2,3,6,103498000.0,0.0
10001000308,1,0,1,63.0,0.0,0.0,6,0,3,22,1,4,4,120.0,3,4,0,0,3,2,3,5,51947000.0,254460000.0
10001000309,3,1,2,23.0,0.6666666666666666,0.0,5,4,1,22,1,0,4,150.0,3,4,1,0,3,2,3,9,185172000.0,16380000.0
10001000314,2,1,1,29.0,1.0,0.0,0,4,1,22,1,0,4,100.0,3,4,1,0,3,2,3,8,223364000.0,10920000.0
10001000317,3,1,2,52.66666666666666,1.0,0.0,3,0,1,22,1,5,4,100.0,3,4,1,0,3,2,3,8,80344000.0,287380000.0
10001000320,3,2,1,52.0,1.0,0.0,3,1,1,22,1,4,4,120.0,3,4,0,0,3,2,3,8,60375000.0,386380000.0
10001000323,3,1,2,63.0,0.6666666666666666,0.0,3,0,1,22,1,4,4,100.0,3,4,1,0,3,2,3,7,67618000.0,301380000.0
10001000407,2,1,1,21.5,1.0,0.5,2,4,0,22,1,4,3,90.0,3,4,0,0,3,2,3,8,19454000.0,160920000.0
10001000408,2,1,1,58.0,1.0,0.0,9,1,1,22,1,4,3,90.0,3,4,1,0,3,2,3,8,36016000.0,370920000.0
10001000414,3,2,1,22.0,0.6666666666666666,0.0,9,4,1,22,1,5,3,90.0,3,4,0,0,3,2,3,8,30101000.0,388380000.0
10001000417,5,3,2,51.8,0.8,0.0,3,4,1,22,1,4,3,90.0,3,4,1,0,3,2,3,10,54902500.0,351300000.0
10001000420,2,1,1,59.5,1.0,0.0,9,1,1,22,1,4,3,140.0,3,4,1,0,3,2,3,8,81827000.0,382920000.0
10001000423,3,1,2,21.33333333333333,0.6666666666666666,0.0,2,4,1,22,1,4,3,110.0,3,4,0,0,3,2,3,8,35171000.0,16380000.0
10001000508,4,2,2,19.75,0.75,0.25,2,4,1,22,1,4,4,90.0,3,4,1,0,3,2,3,7,60805000.0,201840000.0
10001000511,4,1,3,31.0,1.0,0.5,0,3,1,22,1,4,4,95.0,3,4,0,0,3,2,3,8,77306000.0,21840000.0
10001000514,4,3,1,20.25,0.75,0.25,1,4,1,22,1,4,3,55.0,3,4,0,0,3,2,3,6,164457000.0,21840000.0
