Address,province,town
10001000119,22,1
10001000120,22,1
10001000126,22,1
10001000130,22,1
10001000132,22,1
10001000135,22,1
10001000220,22,1
10001000221,22,1
10001000226,22,1
10001000230,22,1
10001000232,22,1
10001000235,22,1
10001000319,22,1
10001000321,22,1
10001000326,22,1
10001000329,22,1
10001000332,22,1
10001000335,22,1
10001000420,22,1
10001000423,22,1
10001000425,22,1
10001000426,22,1
10001000432,22,1
10001000435,22,1
10001000519,22,1
10001000521,22,1
10001000528,22,1
10001000530,22,1
10001000532,22,1
10001000535,22,1
10001000619,22,1
10001000622,22,1
10001000625,22,1
10001000627,22,1
10001000632,22,1
10001000635,22,1
10001000720,22,1
10001000723,22,1
10001000726,22,1
10001000729,22,1
10001000732,22,1
10001000735,22,1
10001000921,22,1
10001000923,22,1
10001000926,22,1
10001000929,22,1
10001000932,22,1
10001000935,22,1
10001001021,22,1
10001001023,22,1
10001001026,22,1
10001001029,22,1
10001001032,22,1
10001001035,22,1
10001001119,22,1
10001001120,22,1
10001001125,22,1
10001001128,22,1
10001001132,22,1
10001001135,22,1
10001001223,22,1
10001001224,22,1
10001001226,22,1
10001001229,22,1
10001001232,22,1
10001001235,22,1
10001001319,22,1
10001001320,22,1
10001001326,22,1
10001001329,22,1
10001001332,22,1
10001001335,22,1
10001001423,22,1
10001001424,22,1
10001001428,22,1
10001001429,22,1
10001001432,22,1
10001001435,22,1
10001001520,22,1
10001001523,22,1
10001001527,22,1
10001001528,22,1
10001001532,22,1
10001001535,22,1
10001001620,22,1
10001001621,22,1
10001001625,22,1
10001001629,22,1
10001001632,22,1
10001001635,22,1
10001001721,22,1
10001001723,22,1
10001001726,22,1
10001001727,22,1
10001001732,22,1
10001001735,22,1
10001001821,22,1
10001001822,22,1
10001001826,22,1
10001001829,22,1
10001001832,22,1
10001001835,22,1
10001001920,22,1
10001001924,22,1
10001001925,22,1
10001001927,22,1
10001001932,22,1
10001001935,22,1
10001002020,22,1
10001002024,22,1
10001002025,22,1
10001002029,22,1
10001002032,22,1
10001002035,22,1
10001002220,22,1
10001002221,22,1
10001002226,22,1
10001002229,22,1
10001002232,22,1
10001002235,22,1
10001002320,22,1
10001002323,22,1
10001002326,22,1
10001002329,22,1
10001002332,22,1
10001002335,22,1
10001002419,22,1
10001002423,22,1
10001002425,22,1
10001002430,22,1
10001002432,22,1
10001002435,22,1
10001002520,22,1
10001002521,22,1
10001002526,22,1
10001002529,22,1
10001002532,22,1
10001002535,22,1
10001002620,22,1
10001002621,22,1
10001002626,22,1
10001002630,22,1
10001002632,22,1
10001002635,22,1
10001002719,22,1
10001002723,22,1
10001002725,22,1
10001002726,22,1
10001002732,22,1
10001002735,22,1
10002002820,22,2
10002002824,22,2
10002002829,22,2
10002002830,22,2
10002002832,22,2
10002002835,22,2
10002002922,22,2
10002002925,22,2
10002002926,22,2
10002002932,22,2
10002002935,22,2
10002003019,22,2
10002003021,22,2
10002003026,22,2
10002003029,22,2
10002003032,22,2
10002003035,22,2
10003003119,22,3
10003003122,22,3
10003003126,22,3
10003003127,22,3
10003003132,22,3
10003003135,22,3
10003003219,22,3
10003003223,22,3
10003003227,22,3
10003003229,22,3
10003003232,22,3
10003003235,22,3
10003003320,22,3
10003003324,22,3
10003003326,22,3
10003003329,22,3
10003003332,22,3
10003003335,22,3
10003003520,22,3
10003003521,22,3
10003003526,22,3
10003003529,22,3
10003003532,22,3
10003003535,22,3
10004003622,22,4
10004003624,22,4
10004003628,22,4
10004003629,22,4
10004003632,22,4
10004003635,22,4
10004003822,22,4
10004003823,22,4
10004003826,22,4
10004003829,22,4
10004003832,22,4
