Address,member,ISCO_w,ISIC_w,hours_w,days_w,income_w_m,income_w_y,perk_w_y,netincome_w_m,netincome_w_y,Fasl,year
10003003229,1,9112,86903,8.0,6.0,45000000,555000000,15000000.0,42400000,523800000,1,1401
10011009725,1,8322,49230,12.0,6.0,40000000,480000000,0.0,40000000,480000000,1,1401
10011009729,2,9211,1500,8.0,3.0,33000000,198000000,0.0,33000000,198000000,1,1401
10011009721,1,9211,1500,8.0,5.0,40000000,230000000,0.0,40000000,230000000,1,1401
10001001535,1,9314,41000,10.0,7.0,25000000,300000000,0.0,25000000,300000000,1,1401
10003003235,1,7111,41000,8.0,4.0,0,200000000,0.0,0,200000000,1,1401
10001000232,2,7233,24202,10.0,6.0,60000000,720000000,20000000.0,55000000,680000000,1,1401
10001001523,1,9314,41000,10.0,7.0,46000000,552000000,0.0,46000000,552000000,1,1401
10003003219,1,2310,85300,8.0,6.0,58000000,711000000,15000000.0,53493334,656920008,1,1401
10001000221,1,7212,35200,9.0,6.0,45000000,540000000,20000000.0,42000000,524000000,1,1401
10007007222,1,7212,25110,8.0,6.0,36000000,462000000,30000000.0,34320000,441840000,1,1401
10009008530,1,9314,41000,10.0,5.0,28900000,160000000,0.0,28900000,160000000,1,1401
10001000220,1,8344,35200,10.0,6.0,65000000,780000000,20000000.0,60000000,740000000,1,1401
10007007232,4,9112,88900,8.0,6.0,0,75000000,0.0,0,75000000,1,1401
10005004635,1,8131,23990,8.0,6.0,38000000,476000000,20000000.0,36226667,454720004,1,1401
10006005930,1,9321,10303,8.0,6.0,40000000,530000000,15000000.0,39813334,492760008,1,1401
10006006832,1,5153,27320,10.0,6.0,25000000,300000000,0.0,23833334,286000000,1,1401
10001001927,1,7115,16220,8.0,7.0,42000000,504000000,0.0,42000000,504000000,1,1401
10001001920,1,9314,41000,10.0,7.0,49000000,588000000,0.0,49000000,588000000,1,1401
10006006819,3,7543,19200,8.0,6.0,25000000,300000000,0.0,25000000,300000000,1,1401
10006006835,3,8212,28160,8.0,6.0,25000000,300000000,0.0,23833334,286000008,1,1401
10009008527,1,4419,72100,8.0,6.0,47000000,579000000,15000000.0,44106667,544280004,1,1401
10006005928,1,7123,43300,10.0,4.0,60000000,400000000,0.0,60000000,400000000,1,1401
10010009325,1,9329,52210,8.0,6.0,27500000,370000000,40000000.0,26216667,354600004,1,1401
10010009332,1,9614,84110,7.0,7.0,20000000,120000000,0.0,20000000,120000000,1,1401
10010009332,2,5153,85102,5.0,5.0,23000000,291000000,15000000.0,21926667,278120004,1,1401
10002002820,3,6112,84110,8.0,6.0,31000000,402000000,30000000.0,29553334,384640008,1,1401
10002002832,3,5224,47212,8.0,6.0,10000000,35000000,0.0,10000000,35000000,1,1401
10002002832,3,7517,10711,8.0,6.0,0,30000000,0.0,0,30000000,1,1401
10002002824,3,9314,41000,8.0,2.0,10500000,210000000,0.0,10500000,210000000,1,1401
10006006827,1,7412,23101,8.0,6.0,33000000,396000000,0.0,31460000,377520000,1,1401
10002002835,1,410,84220,8.0,6.0,50000000,615000000,15000000.0,44500000,549000000,1,1401
10006005924,3,3122,23101,9.0,5.0,38000000,329000000,25000000.0,36226667,314813336,1,1401
10006005924,4,5153,24202,10.0,7.0,41000000,532000000,40000000.0,39086667,509040004,1,1401
10005004627,3,2411,20300,8.0,6.0,32000000,96000000,0.0,30506667,91520001,1,1401
10001001935,1,3134,35200,9.0,6.0,48000000,576000000,15000000.0,45000000,555000000,1,1401
10001001528,1,3424,93110,9.0,6.0,40000000,480000000,0.0,40000000,480000000,1,1401
10003003223,2,1115,84110,8.0,6.0,50000000,615000000,15000000.0,45500000,561000000,1,1401
10006005921,1,9321,23101,9.0,6.0,33000000,441000000,45000000.0,31460000,422520000,1,1401
10001000625,1,9333,96092,10.0,7.0,40000000,480000000,0.0,40000000,480000000,1,1401
10001000622,2,4419,84110,7.0,6.0,50000000,600000000,20000000.0,47000000,584000000,1,1401
10005004619,1,2411,23990,9.0,6.0,45000000,570000000,30000000.0,42900000,544800000,1,1401
10001001925,1,3343,84130,7.0,6.0,59000000,708000000,20000000.0,56000000,692000000,1,1401
10013010623,1,9211,1500,8.0,5.0,0,36000000,0.0,0,36000000,1,1401
10013010622,1,7111,41000,8.0,5.0,0,240000000,0.0,0,240000000,1,1401
10009008132,1,7111,43900,8.0,4.0,27000000,250000000,0.0,27000000,250000000,1,1401
10009008128,3,410,84220,3.0,6.0,4000000,48000000,0.0,4000000,48000000,1,1401
10013010635,1,7111,41000,8.0,4.0,0,300000000,0.0,0,300000000,1,1401
10013010626,1,9314,41000,10.0,6.0,15000000,120000000,0.0,15000000,120000000,1,1401
10006005530,1,7132,28160,8.0,6.0,42000000,552000000,48000000.0,39840000,526080000,1,1401
10009008135,1,8111,5100,8.0,6.0,50000000,630000000,30000000.0,46666667,590000004,1,1401
10006005535,1,3323,19200,8.0,6.0,37000000,474000000,30000000.0,35273334,453280008,1,1401
10006006322,1,7212,19200,8.0,6.0,58000000,736000000,40000000.0,53493334,681920008,1,1401
10006006321,3,7213,31000,8.0,6.0,35000000,440000000,20000000.0,33366667,420400004,1,1401
10010008929,1,7114,43900,8.0,4.0,27000000,190000000,0.0,27000000,190000000,1,1401
10012010123,1,7126,43220,8.0,5.5,0,200000000,0.0,0,200000000,1,1401
10005005132,1,5153,80100,12.0,7.0,60000000,360000000,0.0,60000000,360000000,1,1401
10005005132,1,9314,41000,8.0,5.0,0,60000000,0.0,0,60000000,1,1401
10005005128,1,4419,85300,8.0,6.0,45000000,540000000,15000000.0,42900000,529800000,1,1401
10006006332,1,1321,16210,8.0,6.0,65000000,820000000,40000000.0,59466667,753600004,1,1401
10010008926,1,9321,23990,8.0,6.0,39000000,518000000,50000000.0,37180000,496160000,1,1401
10007007725,3,9329,35200,9.0,6.0,0,50000000,0.0,0,50000000,1,1401
10004003826,1,9314,41000,6.0,4.0,30000000,140000000,0.0,30000000,140000000,1,1401
10007007735,1,3119,35200,8.0,6.0,78000000,976000000,40000000.0,71560000,898720000,1,1401
10012010129,1,9211,1500,8.0,5.0,0,60000000,0.0,0,60000000,1,1401
