Address,member,subsidy_number,subsidy_month,subsidy,Fasl,year
10001000226,1,1.0,12.0,1960000,1,1401
10003003229,1,4.0,12.0,21840000,1,1401
10011009725,1,2.0,12.0,10920000,1,1401
10011009720,1,1.0,12.0,1610000,1,1401
10011009720,2,2.0,12.0,10920000,1,1401
10011009720,4,1.0,5.0,2275000,1,1401
10011009735,1,1.0,12.0,1610000,1,1401
10011009735,2,2.0,12.0,10920000,1,1401
10011009729,1,1.0,12.0,1610000,1,1401
10011009721,1,1.0,12.0,5460000,1,1401
10011009721,2,3.0,12.0,16380000,1,1401
10003003235,1,1.0,12.0,1610000,1,1401
10003003235,2,3.0,12.0,16380000,1,1401
10001000232,1,1.0,12.0,1960000,1,1401
10001000232,2,1.0,12.0,5460000,1,1401
10001000235,1,1.0,12.0,1960000,1,1401
10001000235,2,4.0,12.0,21840000,1,1401
10001001523,1,1.0,12.0,1960000,1,1401
10001001523,2,4.0,12.0,21840000,1,1401
10003003232,1,1.0,12.0,1610000,1,1401
10003003232,2,5.0,12.0,27300000,1,1401
10005004624,1,1.0,12.0,1610000,1,1401
10005004624,2,1.0,12.0,5460000,1,1401
10011009732,1,1.0,12.0,1610000,1,1401
10011009732,2,2.0,12.0,10920000,1,1401
10001001532,1,1.0,12.0,1960000,1,1401
10001001532,2,2.0,12.0,10920000,1,1401
10001000230,1,1.0,12.0,1960000,1,1401
10001000230,2,1.0,12.0,5460000,1,1401
10001001535,1,1.0,12.0,1960000,1,1401
10007007226,1,1.0,12.0,5460000,1,1401
10001001520,1,1.0,12.0,1960000,1,1401
10001001520,2,1.0,12.0,5460000,1,1401
10001000221,1,1.0,12.0,1960000,1,1401
10001000221,2,2.0,12.0,10920000,1,1401
10004004227,1,2.0,12.0,10920000,1,1401
10007007222,1,1.0,12.0,1610000,1,1401
10007007222,2,2.0,12.0,10920000,1,1401
10009008524,1,2.0,12.0,10920000,1,1401
10009008530,1,2.0,12.0,10920000,1,1401
10004004232,1,1.0,12.0,5460000,1,1401
10004004219,1,1.0,12.0,1960000,1,1401
10004004230,1,1.0,12.0,1960000,1,1401
10004004230,2,1.0,12.0,5460000,1,1401
10001000220,1,1.0,12.0,1960000,1,1401
10001000220,2,2.0,12.0,10920000,1,1401
10004004235,1,1.0,12.0,1960000,1,1401
10004004235,2,3.0,12.0,16380000,1,1401
10005004625,1,2.0,12.0,10920000,1,1401
10009008520,1,1.0,12.0,1610000,1,1401
10009008520,2,4.0,12.0,21840000,1,1401
10004004223,1,1.0,12.0,5460000,1,1401
10006005930,1,3.0,12.0,16380000,1,1401
10007007235,1,1.0,12.0,1610000,1,1401
10007007235,2,2.0,12.0,10920000,1,1401
10007007232,1,4.0,12.0,21840000,1,1401
10006005935,1,5.0,12.0,27300000,1,1401
10005004635,1,3.0,12.0,16380000,1,1401
10005004632,1,1.0,12.0,5460000,1,1401
10007007229,1,1.0,12.0,1610000,1,1401
10007007229,2,2.0,12.0,10920000,1,1401
10006005932,1,1.0,12.0,1610000,1,1401
10006005932,2,1.0,12.0,5460000,1,1401
10003003227,1,1.0,12.0,1610000,1,1401
10003003227,2,1.0,12.0,5460000,1,1401
10006006830,1,2.0,12.0,10920000,1,1401
10006006832,1,1.0,12.0,1960000,1,1401
10006006832,2,1.0,12.0,5460000,1,1401
10006006823,1,1.0,12.0,1960000,1,1401
10006006823,2,1.0,12.0,5460000,1,1401
10006006827,1,1.0,12.0,1960000,1,1401
10006006827,2,1.0,12.0,5460000,1,1401
10006006819,1,4.0,12.0,21840000,1,1401
10006006835,1,1.0,12.0,1960000,1,1401
10006006835,2,3.0,12.0,16380000,1,1401
10001000625,1,1.0,12.0,1610000,1,1401
10001000625,2,1.0,12.0,5460000,1,1401
10001000619,1,1.0,12.0,1610000,1,1401
10001000619,2,1.0,12.0,5460000,1,1401
10001000622,1,1.0,12.0,1610000,1,1401
10001000622,2,2.0,12.0,10920000,1,1401
10005004619,1,2.0,12.0,10920000,1,1401
10001000635,1,1.0,12.0,1610000,1,1401
10001000635,2,1.0,12.0,5460000,1,1401
10001001925,1,1.0,12.0,1610000,1,1401
10001001925,2,2.0,12.0,10920000,1,1401
10010009325,1,1.0,12.0,1960000,1,1401
10010009325,2,2.0,12.0,10920000,1,1401
10010009332,1,1.0,12.0,1960000,1,1401
10010009332,2,5.0,12.0,27300000,1,1401
10010009322,1,1.0,12.0,1960000,1,1401
10010009322,2,2.0,12.0,10920000,1,1401
10002002820,1,4.0,12.0,21840000,1,1401
10002002832,1,1.0,12.0,1960000,1,1401
10002002832,2,3.0,12.0,16380000,1,1401
10002002824,1,2.0,12.0,10920000,1,1401
10002002824,1,1.0,12.0,1960000,1,1401
10010009329,1,1.0,12.0,1960000,1,1401
10010009329,2,2.0,12.0,10920000,1,1401
10010009321,1,1.0,12.0,1960000,1,1401
10010009321,2,2.0,12.0,10920000,1,1401
10002002835,1,1.0,12.0,1960000,1,1401
10002002835,2,3.0,12.0,16380000,1,1401
10001001927,1,1.0,12.0,1610000,1,1401
10001001927,2,2.0,12.0,10920000,1,1401
10001001920,1,1.0,12.0,1610000,1,1401
10001001920,2,3.0,12.0,16380000,1,1401
10001001527,1,1.0,12.0,1610000,1,1401
10001001527,2,1.0,12.0,5460000,1,1401
