Address,tenure,room,space,construction,material,vehicle,motorcycle,cookingfuel,heatingfuel,waterheatingfuel,facilities
10001000119,4,4,80.0,3.0,4,1,1,3,2,2,9
10001000120,4,5,170.0,3.0,4,1,0,3,2,2,9
10001000126,4,4,75.0,3.0,4,0,0,3,2,2,7
10001000130,4,4,75.0,3.0,4,1,0,3,2,2,8
10001000132,4,4,75.0,3.0,4,1,0,3,2,2,8
10001000135,0,4,180.0,3.0,4,1,0,3,2,2,8
10001000220,4,4,110.0,3.0,4,1,0,3,2,2,7
10001000221,0,4,100.0,3.0,4,1,0,3,2,2,7
10001000226,0,4,90.0,3.0,4,0,0,3,2,2,7
10001000230,4,4,80.0,3.0,4,0,0,3,2,2,6
10001000232,4,4,100.0,3.0,4,1,0,3,2,2,9
10001000235,4,3,100.0,3.0,4,1,0,3,2,2,8
10001000319,4,4,120.0,3.0,4,0,0,3,2,2,8
10001000321,5,3,85.0,3.0,4,1,0,3,2,2,9
10001000326,4,4,100.0,3.0,4,0,0,3,2,2,8
10001000329,4,4,114.0,2.0,4,1,0,3,2,2,11
10001000332,4,4,120.0,3.0,4,1,0,3,2,2,10
10001000335,4,4,120.0,3.0,4,0,0,3,2,2,9
10001000420,4,4,100.0,3.0,4,1,0,3,2,2,8
10001000423,0,4,100.0,3.0,4,0,0,3,2,2,8
10001000425,5,4,80.0,3.0,4,1,0,3,2,2,10
10001000426,5,4,100.0,3.0,4,1,0,3,2,2,9
10001000432,4,4,120.0,3.0,4,1,0,3,2,2,8
10001000435,4,4,110.0,3.0,4,1,0,3,2,2,8
10001000519,4,4,90.0,3.0,4,0,0,3,2,2,6
10001000521,5,3,52.0,2.0,4,0,0,3,2,2,7
10001000528,4,3,54.0,3.0,4,1,0,3,2,2,10
10001000530,4,4,88.0,3.0,4,1,0,3,2,2,9
10001000532,4,2,72.0,2.0,4,1,0,3,2,2,9
10001000535,4,4,90.0,2.0,4,1,1,3,2,2,9
10001000619,4,4,110.0,3.0,4,1,0,3,2,2,7
10001000622,4,4,100.0,3.0,4,1,0,3,2,2,9
10001000625,4,4,86.0,3.0,4,1,0,3,2,2,7
10001000627,4,4,85.0,3.0,4,1,0,3,2,2,8
10001000632,4,4,110.0,3.0,4,1,0,3,2,2,9
10001000635,4,4,140.0,3.0,4,1,0,3,2,2,7
10001000720,4,4,82.0,3.0,4,1,0,3,2,2,8
10001000723,4,4,100.0,3.0,4,1,0,3,2,2,8
10001000726,1,4,80.0,3.0,4,0,0,3,2,2,7
10001000729,4,4,70.0,3.0,4,1,0,3,2,2,8
10001000732,5,3,65.0,3.0,4,1,0,3,2,2,8
10001000735,4,4,100.0,3.0,4,0,0,3,2,2,8
10001000921,4,4,105.0,3.0,1,1,0,3,2,2,7
10001000923,0,4,70.0,3.0,4,1,0,3,2,2,8
10001000926,4,4,100.0,3.0,4,1,0,3,2,2,8
10001000929,5,4,87.0,3.0,4,0,0,3,2,2,7
10001000932,4,4,100.0,3.0,4,1,1,3,2,2,8
10001000935,5,4,75.0,3.0,4,1,0,3,2,2,8
10001001021,4,4,80.0,3.0,4,1,0,3,2,2,8
10001001023,4,4,100.0,3.0,4,0,0,3,2,2,7
10001001026,4,4,160.0,3.0,4,0,0,3,2,2,6
10001001029,4,4,85.0,3.0,4,1,0,3,2,2,9
10001001032,4,5,180.0,3.0,4,1,0,3,2,2,9
10001001035,5,4,110.0,3.0,4,1,0,3,2,2,6
10001001119,0,4,90.0,3.0,4,1,0,3,2,2,8
10001001120,4,4,85.0,3.0,4,1,0,3,2,2,9
10001001125,4,4,120.0,3.0,4,1,0,3,2,2,9
10001001128,5,4,100.0,3.0,4,1,0,3,2,2,8
10001001132,0,4,80.0,3.0,4,1,0,3,2,2,7
10001001135,4,4,80.0,3.0,4,1,0,3,2,2,7
10001001223,4,4,100.0,3.0,4,0,0,3,2,2,8
10001001224,4,4,90.0,3.0,4,0,0,3,2,2,7
10001001226,4,4,100.0,3.0,4,0,0,3,2,2,10
10001001229,4,4,100.0,3.0,4,0,0,3,2,2,7
10001001232,4,5,130.0,3.0,4,1,0,3,2,2,7
10001001235,4,4,100.0,3.0,4,1,0,3,2,2,8
10001001319,4,4,82.0,3.0,4,1,0,3,2,2,6
10001001320,4,4,84.0,3.0,4,1,0,3,2,2,7
10001001326,4,4,84.0,2.0,4,1,0,3,2,2,7
10001001329,4,4,80.0,2.0,4,1,0,3,2,2,7
10001001332,4,4,80.0,2.0,4,1,0,3,2,2,9
10001001335,4,4,84.0,2.0,4,0,0,3,2,2,7
10001001423,5,4,78.0,3.0,4,1,0,3,2,2,9
10001001424,4,4,110.0,3.0,4,1,0,3,2,2,7
10001001428,4,4,90.0,3.0,4,0,0,3,2,2,7
10001001429,5,4,70.0,3.0,4,0,0,3,2,2,7
10001001432,4,4,75.0,3.0,4,1,0,3,2,2,8
10001001435,4,4,85.0,3.0,4,1,0,3,2,2,8
10001001520,4,4,90.0,3.0,4,1,0,3,2,2,8
10001001523,4,3,45.0,3.0,4,1,0,3,2,2,6
