Address,member,ISCO_s,ISIC_s,status_s,agriculture,hours_s,days_s,Total_cost,sale,income_s_y,Fasl,year
10001000141,1,5224,47710,5,2,10,6,7800000000,8460000000,660000000,4,1401
10001001038,1,3334,68200,5,2,8,7,10000000,2410000000,2400000000,4,1401
10001001428,1,6111,1110,5,1,9,5,1440000000,1840000000,400000000,4,1401
10001002329,1,7233,33190,5,2,9,6,424000000,1144000000,720000000,4,1401
10001002732,1,8322,49230,5,2,10,4,2125000000,5500000000,3375000000,4,1401
10003003127,1,3112,43220,5,2,5,2,30000000,290000000,260000000,4,1401
10003003135,1,8322,49230,5,2,8,4,560000000,2200000000,1640000000,4,1401
10003003135,3,8322,49230,5,2,8,4,230000000,920000000,690000000,4,1401
10004003636,1,7231,45200,5,2,8,6,393000000,1413000000,1020000000,4,1401
10004003638,2,5143,96020,5,2,7,6,750000000,1170000000,420000000,4,1401
10004004125,1,5224,47710,5,2,4,7,70000000,130000000,60000000,4,1401
10004004136,2,5143,96020,5,2,4,7,890000000,1180000000,290000000,4,1401
10004004533,1,8322,49220,5,2,8,6,240300000,720300000,480000000,4,1401
10004004541,1,3324,45100,5,2,10,7,200000000,1160000000,960000000,4,1401
10005005026,1,8322,49220,5,1,8,7,255000000,435000000,180000000,4,1401
10005005033,1,8322,49230,5,1,10,7,530000000,1610000000,1080000000,4,1401
10006005426,1,6112,1240,4,1,5,3,1870000000,4000000000,2130000000,4,1401
10006005426,1,6121,1440,5,1,4,7,10230000000,12000000000,1770000000,4,1401
10006005431,2,6121,1440,5,1,9,7,870000000,1070000000,200000000,4,1401
10006005432,1,6112,1240,4,1,5,4,894000000,2500000000,1606000000,4,1401
10006005432,1,6111,1110,5,1,5,4,218000000,2000000000,1782000000,4,1401
10006005432,1,5224,47212,5,2,6,7,3840000000,4540000000,700000000,4,1401
10006005438,1,5224,47212,5,2,10,7,5680000000,6380000000,700000000,4,1401
10006006730,1,8322,49230,5,2,10,3,890000000,3200000000,2310000000,4,1401
10006006730,1,6112,1240,4,1,5,4,460000000,750000000,290000000,4,1401
10009008027,1,5120,56100,5,2,12,7,5096000000,5576000000,480000000,4,1401
10009008425,1,5212,47211,5,2,10,6,1485000000,1765000000,280000000,4,1401
10010008838,3,7537,13920,4,1,8,6,1960000000,2960000000,1000000000,4,1401
10010009233,1,6112,1240,5,1,7,2,73500000,550000000,476500000,4,1401
10010009238,1,8322,49230,5,2,10,5,200000000,980000000,780000000,4,1401
10010009241,1,6112,1240,5,1,6,2,142000000,1000000000,858000000,4,1401
10010009241,3,6112,1240,6,1,6,2,0,0,0,4,1401
10012010025,1,6112,1240,5,1,5,2,75000000,500000000,425000000,4,1401
10012010038,1,6112,1240,5,1,8,7,380000000,1500000000,1120000000,4,1401
10013010435,1,5224,47730,5,2,4,6,270000000,800000000,530000000,4,1401
10101011125,1,3334,55102,5,2,4,3,0,280000000,280000000,4,1401
10101011136,1,6111,1120,4,1,3,7,244600000,980000000,735400000,4,1401
10101011141,1,8322,49220,5,2,7,5,268000000,926000000,658000000,4,1401
10102011928,1,7412,95220,5,2,11,6,362000000,1322000000,960000000,4,1401
10102011932,1,3334,68200,5,2,9,6,383400000,1333400000,950000000,4,1401
10102012330,1,5212,47990,5,2,10,6,5510000000,6430000000,920000000,4,1401
10102012331,1,1342,85101,4,2,8,5,1639000000,2700000000,1061000000,4,1401
10102012331,1,3324,52290,5,2,7,3,0,1500000000,1500000000,4,1401
10102012331,2,1342,85101,6,2,4,5,0,0,0,4,1401
10103013530,1,8322,49230,5,2,10,6,311000000,991000000,680000000,4,1401
10103013541,1,7537,14100,5,2,11,6,242000000,832000000,590000000,4,1401
10104013930,1,6121,1440,5,1,12,7,303000000,955000000,652000000,4,1401
10104014338,1,7412,95220,5,2,7,5,88000000,1468000000,1380000000,4,1401
10104014341,1,7231,45200,5,2,9,6,27000000,1647000000,1620000000,4,1401
10104014727,1,8322,49230,5,2,5,3,208000000,573000000,365000000,4,1401
10104014727,1,6112,1230,5,1,3,4,14500000,474500000,460000000,4,1401
10104014738,1,8322,49220,5,2,10,6,175000000,560000000,385000000,4,1401
10104014738,1,7124,43900,5,2,8,4,68000000,608000000,540000000,4,1401
10104014741,1,6111,1120,5,1,2,1,25500000,317000000,291500000,4,1401
10104014741,1,6225,3110,5,1,8,6,70000000,650000000,580000000,4,1401
10105015126,1,7131,43300,5,2,8,6,99000000,884000000,785000000,4,1401
10105015126,3,7131,43300,6,2,6,5,0,0,0,4,1401
10105015130,2,5143,96020,5,2,8,6,228000000,843000000,615000000,4,1401
10105015538,1,7422,95110,5,1,12,6,3660000000,5060000000,1400000000,4,1401
10105015926,1,3334,68200,5,2,8,6,633000000,1553000000,920000000,4,1401
10105016330,1,7111,43900,4,2,8,5,615000000,1595000000,980000000,4,1401
10105016341,1,1323,41000,4,2,8,4,1858000000,6358000000,4500000000,4,1401
10105016341,4,1323,41000,6,2,7,6,0,0,0,4,1401
10105017136,1,7231,45200,5,2,6,5,58000000,1458000000,1400000000,4,1401
10105017138,1,1323,41000,4,2,9,5,2455000000,5255000000,2800000000,4,1401
10105017526,1,7123,43300,4,2,12,6,145000000,795000000,650000000,4,1401
10105017538,4,4131,82190,5,2,3,3,2500000,62500000,60000000,4,1401
10105017929,1,7126,43220,5,2,9,5,121000000,1081000000,960000000,4,1401
10105017941,1,8322,49220,5,2,7,6,268000000,1253000000,985000000,4,1401
10106018331,1,5224,47710,5,2,12,6,6325000000,6975000000,650000000,4,1401
10106018338,1,8322,49230,5,2,5,3,197000000,625000000,428000000,4,1401
10106018730,1,5224,47520,5,2,12,6,9265000000,10005000000,740000000,4,1401
10107019529,1,6112,1230,4,1,4,4,181500000,825000000,643500000,4,1401
10107019529,1,8322,49230,5,2,3,3,178800000,463800000,285000000,4,1401
10107019532,1,5224,47520,5,2,12,6,9275000000,10125000000,850000000,4,1401
10108019930,1,6111,1120,4,1,3,3,148000000,925000000,777000000,4,1401
10108019935,1,8322,49220,5,2,11,6,405000000,1000000000,595000000,4,1401
10108019938,1,7123,43300,4,2,8,4,582500000,1532500000,950000000,4,1401
10108019941,1,5212,47990,5,2,10,6,7083000000,8043000000,960000000,4,1401
10109020726,1,8322,49220,5,2,10,6,343000000,728000000,385000000,4,1401
10109020738,1,5224,47520,5,2,9,6,18065000000,19265000000,1200000000,4,1401
10109020741,1,5224,47520,5,2,10,6,30082000000,32582000000,2500000000,4,1401
10109021129,1,8322,49230,5,2,6,6,242000000,1162000000,920000000,4,1401
10109021135,1,3324,45100,5,2,10,6,30015000000,31815000000,1800000000,4,1401
10110021532,1,7115,16220,5,2,5,6,21200000,891200000,870000000,4,1401
10110021538,1,7212,25920,5,2,12,6,240000000,990000000,750000000,4,1401
10110021930,1,6111,1120,4,1,5,3,151200000,660000000,508800000,4,1401
10110021932,1,6111,1120,4,1,2,6,71200000,620000000,548800000,4,1401
10110021938,1,8322,49220,5,2,5,4,131000000,511000000,380000000,4,1401
10110021941,1,8321,49220,5,2,3,4,35000000,385000000,350000000,4,1401
10110021941,1,6111,1120,4,1,4,5,59500000,624000000,564500000,4,1401
10110022327,1,5224,47211,5,2,12,6,8565000000,9315000000,750000000,4,1401
10110022332,1,5143,96020,5,2,9,6,405000000,1305000000,900000000,4,1401
10111022728,1,5143,96020,5,2,12,7,342000000,1132000000,790000000,4,1401
10111023136,1,3324,45100,5,2,5,4,35040000000,36840000000,1800000000,4,1401
10111023138,3,3432,71100,4,2,9,6,953000000,1928000000,975000000,4,1401
10111023525,1,6111,1120,4,1,3,2,117500000,792000000,674500000,4,1401
10111023525,2,7537,14100,5,2,8,3,65000000,925000000,860000000,4,1401
10111023535,1,6111,1120,4,1,1,2,313000000,1550000000,1237000000,4,1401
10111023535,1,8341,1120,5,1,1,2,25000000,135000000,110000000,4,1401
10111023538,1,7231,45200,5,2,6,6,22000000,772000000,750000000,4,1401
10111023541,1,7231,45200,5,2,10,6,27500000,987500000,960000000,4,1401
10112023926,1,6111,1120,4,1,2,4,364000000,1350000000,986000000,4,1401
10112023933,1,3324,46100,4,2,6,4,3300000000,4450000000,1150000000,4,1401
10114024732,1,2341,85490,5,2,3,6,8500000,273500000,265000000,4,1401
10114024738,1,5224,47710,4,2,10,6,11295000000,13075000000,1780000000,4,1401
10115025125,2,6129,1490,5,1,10,7,465000000,815000000,350000000,4,1401
10115025529,1,7126,43220,5,2,10,4,308000000,1108000000,800000000,4,1401
10115025529,2,5143,96020,5,2,4,4,80000000,215000000,135000000,4,1401
10116025925,1,5212,47990,5,2,11,6,7682000000,8462000000,780000000,4,1401
10116025931,1,7537,14100,5,2,6,3,62000000,387000000,325000000,4,1401
10116025935,1,5212,47990,5,2,8,3,392500000,837500000,445000000,4,1401
10116025941,1,5224,47710,5,2,9,6,8030000000,8930000000,900000000,4,1401
10201026529,1,3512,62090,5,2,5,5,234500000,600000000,365500000,4,1401
10201026929,1,8322,49220,5,2,4,5,65000000,245000000,180000000,4,1401
10201026935,1,6121,1411,5,1,8,7,414300000,1425000000,1010700000,4,1401
10201026935,3,8322,49230,5,2,8,4,147500000,542000000,394500000,4,1401
10201026935,3,6121,1411,6,1,3,7,0,0,0,4,1401
10201026941,1,7112,41000,4,2,9,6,7125000000,8750000000,1625000000,4,1401
10202027338,1,7115,16220,5,2,9,6,1552300000,2872300000,1320000000,4,1401
10202027729,1,9520,47710,5,1,8,6,2030000000,2530000000,500000000,4,1401
10202027731,1,5224,47730,5,2,9,6,3200000000,4100000000,900000000,4,1401
10202027732,1,7111,41000,5,2,9,6,95000000,1535000000,1440000000,4,1401
10202027738,1,3323,68200,5,2,8,6,5035000000,6535000000,1500000000,4,1401
10205028526,1,7411,41000,5,2,9,5,100000000,1560000000,1460000000,4,1401
10205028532,1,6225,3110,5,2,8,3,165000000,680000000,515000000,4,1401
10205028536,1,7231,52210,5,2,10,6,583000000,1560000000,977000000,4,1401
10205028929,1,8322,49220,5,2,10,6,671000000,1871000000,1200000000,4,1401
10205028932,1,7115,16220,5,2,9,6,11090000000,14090000000,3000000000,4,1401
10205028941,1,7131,41000,5,2,8,6,4150000000,6310000000,2160000000,4,1401
10205028941,3,7411,41000,5,2,10,6,1220000000,2900000000,1680000000,4,1401
10206029329,1,3324,46100,5,1,8,3,15435000000,18250000000,2815000000,4,1401
10206029335,1,6111,1120,4,1,3,3,1870000000,2800000000,930000000,4,1401
10207029726,2,5224,47212,5,2,6,6,1920000000,2286000000,366000000,4,1401
10207029729,1,8332,49230,5,2,12,6,528000000,1800000000,1272000000,4,1401
10207029741,1,8322,49220,5,2,10,6,440000000,1200000000,760000000,4,1401
10210030925,1,8322,49220,5,2,9,6,290000000,720000000,430000000,4,1401
10210030932,5,3118,71100,5,2,9,6,199000000,939000000,740000000,4,1401
10210031332,1,5224,56300,5,2,9,6,630000000,1710000000,1080000000,4,1401
10210031338,1,9614,49230,5,2,9,6,616000000,1152000000,536000000,4,1401
10214031738,2,3321,66220,5,2,5,3,24000000,180000000,156000000,4,1401
10215032129,1,5211,47710,5,2,8,6,4678000000,6500000000,1822000000,4,1401
10216032534,1,7411,41000,5,2,9,6,560000000,2000000000,1440000000,4,1401
10218032926,1,7131,43300,5,2,8,5,420000000,1920000000,1500000000,4,1401
10218032929,1,7521,16220,5,2,8,6,2958000000,5958000000,3000000000,4,1401
10218032929,3,7521,16220,6,2,8,6,0,0,0,4,1401
10218032929,4,7521,16220,6,2,7,5,0,0,0,4,1401
10220033738,1,7231,33110,5,2,10,6,80000000,1248000000,1168000000,4,1401
10220033741,1,2165,41000,5,2,8,5,10000000,1800000000,1790000000,4,1401
10221034126,1,9614,46100,5,2,8,5,2230000000,2900000000,670000000,4,1401
10221034129,3,5224,47710,5,2,10,6,3195000000,4300000000,1105000000,4,1401
10221034129,4,7537,14100,5,2,8,6,946000000,1750000000,804000000,4,1401
10221034132,3,8157,96010,5,2,8,6,173000000,800000000,627000000,4,1401
10221034134,3,9614,46100,5,2,8,5,1865000000,2750000000,885000000,4,1401
10223034526,1,6111,1120,5,1,8,4,671500000,4800000000,4128500000,4,1401
10223034526,3,7132,45200,5,2,8,6,310000000,1150000000,840000000,4,1401
10223034541,1,7411,33140,5,2,9,6,290000000,1610000000,1320000000,4,1401
10224034926,1,9214,1240,5,1,6,7,189500000,1860000000,1670500000,4,1401
10224034930,2,5224,47710,5,2,9,6,6344000000,8200000000,1856000000,4,1401
10224034938,1,7231,45200,5,2,9,6,140000000,3000000000,2860000000,4,1401
10224034938,3,7231,45200,5,2,9,6,140000000,3000000000,2860000000,4,1401
10224034941,1,5212,47211,5,1,10,6,4160000000,5200000000,1040000000,4,1401
10226035332,1,8322,49220,5,2,12,6,350000000,1080000000,730000000,4,1401
10226035338,1,9614,47990,5,2,8,6,2370000000,4290000000,1920000000,4,1401
10302035925,1,6111,1110,5,1,7,6,265000000,830000000,565000000,4,1401
10302035929,1,5164,75000,5,2,6,6,1500000,650000000,648500000,4,1401
10303036338,1,7318,13931,5,2,9,6,400000000,900000000,500000000,4,1401
10303036338,3,7231,45200,5,2,9,7,320000000,1160000000,840000000,4,1401
10303036838,1,5224,47730,5,2,8,6,0,0,10000000000,4,1401
10303037838,1,1321,22200,4,2,8,6,86630000000,103630000000,17000000000,4,1401
10303037838,2,1321,22200,6,2,8,6,0,0,0,4,1401
10303037841,1,5224,46300,5,2,10,6,8030000000,9600000000,1570000000,4,1401
10303037841,3,5224,46300,6,2,10,6,0,0,0,4,1401
10303038735,3,7132,45200,5,2,8,6,425000000,1250000000,825000000,4,1401
10303040230,2,5224,47410,5,2,12,7,15150000000,16590000000,1440000000,4,1401
10303040241,1,1321,24310,4,2,7,6,32548000000,35548000000,3000000000,4,1401
10303041226,3,3334,68200,5,2,7,6,450000000,1000000000,550000000,4,1401
10303041241,3,7318,13931,5,2,6,7,2000000000,2500000000,500000000,4,1401
10303041241,4,7318,13931,6,2,5,7,0,0,0,4,1401
10306042926,1,5224,47212,5,2,10,7,6005000000,7205000000,1200000000,4,1401
10306042934,1,5224,47531,5,2,8,7,8050000000,9650000000,1600000000,4,1401
10306042938,1,5224,47520,5,2,10,6,5016000000,5976000000,960000000,4,1401
10307043325,1,5224,47212,5,2,9,7,2750000000,3750000000,1000000000,4,1401
10307043338,1,3334,68200,5,2,8,6,95000000,1450000000,1355000000,4,1401
10307043826,3,6112,1240,5,1,10,7,234500000,600000000,365500000,4,1401
10307043833,1,6111,1130,5,1,10,7,340000000,1000000000,660000000,4,1401
10307043841,2,5224,47212,5,2,10,7,2025000000,2600000000,575000000,4,1401
10310044326,1,5224,47710,5,2,6,6,4050000000,4710000000,660000000,4,1401
10310044326,4,5224,47710,6,2,6,6,0,0,0,4,1401
10310044335,1,6121,1440,5,1,7,7,200000000,540000000,340000000,4,1401
10310044338,1,3324,47730,5,2,5,6,17500000,1000000000,982500000,4,1401
10313045128,1,8332,49230,5,2,8,7,3450000000,6450000000,3000000000,4,1401
10313045138,2,2142,41000,5,2,8,6,300000000,2200000000,1900000000,4,1401
10316045626,1,8332,49230,5,2,10,7,1520000000,2800000000,1280000000,4,1401
10316045629,1,6111,1110,5,1,2,5,193000000,280000000,87000000,4,1401
10316045629,1,6121,1440,5,1,8,7,250000000,680000000,430000000,4,1401
10316045635,1,3324,47730,5,2,8,7,8050000000,9600000000,1550000000,4,1401
10316045638,1,7233,33120,5,2,8,7,5000000,250000000,245000000,4,1401
10316045641,1,6121,1440,5,1,5,7,100000000,210000000,110000000,4,1401
10316045641,1,6111,1110,5,1,2,2,57000000,110000000,53000000,4,1401
10319046141,1,5224,47212,5,2,5,7,4020000000,4800000000,780000000,4,1401
10319046141,3,5224,47212,6,2,8,7,0,0,0,4,1401
10321046725,3,5224,47510,5,2,9,6,10050000000,11750000000,1700000000,4,1401
10321046727,1,5224,47590,5,2,10,7,6025000000,8710000000,2685000000,4,1401
10321046741,3,5224,47640,5,2,10,7,4810000000,5770000000,960000000,4,1401
10322047132,3,8322,49220,5,2,9,7,380000000,980000000,600000000,4,1401
10325047728,1,6121,1440,5,1,8,7,250000000,830000000,580000000,4,1401
10325047736,1,7231,45200,5,2,12,7,1795000000,4087000000,2292000000,4,1401
10325047738,1,8322,49230,5,2,9,3,335000000,815000000,480000000,4,1401
10401048341,3,7225,25920,5,2,7,5,0,1200000000,1200000000,4,1401
10401048725,1,6112,1500,5,1,8,3,1500000000,4000000000,2500000000,4,1401
10401049228,1,7537,94200,5,2,6,6,108000000,780000000,672000000,4,1401
10401049238,1,3324,45100,5,2,7,6,0,650000000,650000000,4,1401
10401049626,1,6111,1110,5,1,6,6,660000000,2000000000,1340000000,4,1401
10401049627,1,5224,45300,5,2,10,6,0,1300000000,1300000000,4,1401
10401049627,1,6112,1500,5,1,8,3,30000000,200000000,170000000,4,1401
10401049635,1,6112,1500,5,1,8,3,70000000,1500000000,1430000000,4,1401
10401049638,1,5120,56100,5,2,10,7,0,1200000000,1200000000,4,1401
10402050035,1,4312,65120,5,2,6,6,0,400000000,400000000,4,1401
10402050432,1,6111,1110,5,1,6,3,80000000,750000000,670000000,4,1401
10402050438,1,3324,45100,5,2,7,6,0,2000000000,2000000000,4,1401
10402050441,1,8322,49220,5,2,10,7,0,1000000000,1000000000,4,1401
10404051627,1,5224,47212,5,2,10,7,0,500000000,500000000,4,1401
10404051635,1,5224,47212,5,2,6,6,0,1500000000,1500000000,4,1401
10404051635,3,5224,47212,6,2,6,6,0,0,0,4,1401
10405052038,1,7412,94200,5,2,8,6,36000000,430000000,394000000,4,1401
10406052835,1,8322,49220,5,2,6,6,80000000,6860000000,6780000000,4,1401
10407053229,1,6112,1500,5,1,8,3,100000000,700000000,600000000,4,1401
10407053229,3,5224,47212,5,2,6,6,530000000,1000000000,470000000,4,1401
10407053229,4,3324,94200,5,2,8,4,60000000,1600000000,1540000000,4,1401
10407053229,5,5224,47212,5,2,6,7,630000000,2000000000,1370000000,4,1401
10407053229,7,7537,14100,5,2,2,5,25000000,200000000,175000000,4,1401
10407053626,1,5224,47212,5,2,10,6,0,1200000000,1200000000,4,1401
10407053632,1,7113,43300,5,2,10,5,0,820000000,820000000,4,1401
10407053632,3,5143,96020,5,2,10,6,0,480000000,480000000,4,1401
10407053632,4,7113,43300,6,2,10,6,0,0,0,4,1401
10408054430,1,6111,1110,5,1,8,4,110000000,700000000,590000000,4,1401
10408054436,1,6113,1300,5,1,6,6,280000000,1300000000,1020000000,4,1401
10408054438,1,1324,49220,5,2,10,7,145000000,900000000,755000000,4,1401
10409054826,1,9614,47990,5,2,7,7,0,300000000,300000000,4,1401
10410055226,1,7537,14100,5,2,7,6,0,1700000000,1700000000,4,1401
10410055228,1,7212,43900,5,2,8,6,0,1800000000,1800000000,4,1401
10410055232,1,3334,45100,5,2,7,6,0,2000000000,2000000000,4,1401
10410055235,1,7212,43900,5,2,7,6,0,1500000000,1500000000,4,1401
10410055238,1,3334,45100,5,2,7,6,0,3000000000,3000000000,4,1401
10410055626,1,7522,16210,5,2,8,6,0,0,1000000000,4,1401
10410055634,1,7213,25990,5,2,6,6,0,400000000,400000000,4,1401
10410056032,1,1420,47520,5,2,8,6,0,1400000000,1400000000,4,1401
10410056041,1,8322,49230,5,2,8,7,0,1500000000,1500000000,4,1401
10410056041,4,9314,41000,5,2,9,7,0,1000000000,1000000000,4,1401
10411056438,1,7123,43300,5,2,8,5,0,1500000000,1500000000,4,1401
10411056441,1,9614,47990,5,2,8,7,0,1500000000,1500000000,4,1401
10412056832,1,5224,45300,5,2,7,6,0,950000000,950000000,4,1401
10412056838,3,5224,47213,5,2,10,6,0,600000000,600000000,4,1401
10413057228,1,6111,1110,5,1,6,4,30000000,550000000,520000000,4,1401
10413057241,1,8343,43900,5,2,10,4,1000000000,2500000000,1500000000,4,1401
10414057641,1,3324,45100,5,2,7,5,0,650000000,650000000,4,1401
10416058026,1,9614,47990,5,2,4,1,0,120000000,120000000,4,1401
10416058038,1,6121,1411,5,1,4,5,100000000,250000000,150000000,4,1401
10416058038,1,3324,94200,5,1,5,2,825000000,1000000000,175000000,4,1401
10416058041,1,6111,1110,5,1,8,4,208000000,700000000,492000000,4,1401
10416058041,1,3324,94200,5,2,15,3,1120000000,1400000000,280000000,4,1401
10417058429,1,8322,49220,5,2,8,6,100000000,680000000,580000000,4,1401
10417058438,1,8322,49220,5,2,8,6,40000000,510000000,470000000,4,1401
10501058827,1,5224,46200,5,2,10,6,1030000000,1530000000,500000000,4,1401
10501058832,1,8322,49230,5,2,8,4,220000000,535000000,315000000,4,1401
10501058838,1,8322,49220,5,2,10,6,233000000,733000000,500000000,4,1401
