Address,member,Total_income,Fasl,year
10001000226,1,10000000,1,1401
10001000230,1,446500000,1,1401
10001000232,1,975000000,1,1401
10001000232,2,5000000,1,1401
10001000232,3,5000000,1,1401
10001000232,4,5000000,1,1401
10001000235,1,544600000,1,1401
10001000238,6,540000000,1,1401
10001000241,1,60000000,1,1401
10001000625,1,1154800000,1,1401
10001000625,2,4800000,1,1401
10001000625,3,4800000,1,1401
10001000627,1,571830000,1,1401
10001000627,2,244800000,1,1401
10001000632,1,1055680000,1,1401
10001000635,1,1060380000,1,1401
10001000638,1,1050000000,1,1401
10001000638,2,1020000000,1,1401
10001000641,1,25000000,1,1401
10001001125,1,771000000,1,1401
10001001128,1,18000000,1,1401
10001001132,1,646200000,1,1401
10001001132,2,5000000,1,1401
10001001132,3,5000000,1,1401
10001001132,4,5000000,1,1401
10001001135,1,28800000,1,1401
10001001135,2,4800000,1,1401
10001001135,3,4800000,1,1401
10001001135,4,4800000,1,1401
10001001141,1,1463000000,1,1401
10001001141,2,1216000000,1,1401
10001001527,1,14500000,1,1401
10001001527,2,4500000,1,1401
10001001527,3,4500000,1,1401
10001001528,1,184360000,1,1401
10001001528,2,4800000,1,1401
10001001532,1,58560000,1,1401
10001001534,1,786800000,1,1401
10001001538,1,82360000,1,1401
10001001541,1,35440000,1,1401
10001001541,2,4800000,1,1401
10001001541,3,4800000,1,1401
10001001541,4,4800000,1,1401
10001001925,1,19000000,1,1401
10001001929,1,14800000,1,1401
10001001929,2,4800000,1,1401
10001001932,1,689800000,1,1401
10001001932,2,4800000,1,1401
10001001932,3,4800000,1,1401
10001001932,4,4800000,1,1401
10001001932,5,4800000,1,1401
10001001935,1,19000000,1,1401
10001001938,1,20800000,1,1401
10001001938,2,4800000,1,1401
10001001941,1,198800000,1,1401
10001001941,2,4800000,1,1401
10001001941,3,4800000,1,1401
10001001941,4,4800000,1,1401
10001002425,1,56000000,1,1401
10001002425,2,4800000,1,1401
10001002425,3,4800000,1,1401
10001002425,4,4800000,1,1401
10001002430,1,5400000,1,1401
10001002430,2,5400000,1,1401
10001002430,3,5400000,1,1401
10001002430,4,5400000,1,1401
10001002432,1,296600000,1,1401
10001002432,2,5400000,1,1401
10001002435,1,1059000000,1,1401
10001002435,2,5000000,1,1401
10001002438,1,34000000,1,1401
10001002441,1,682000000,1,1401
10002002825,1,876000000,1,1401
10002002825,2,624000000,1,1401
10002002827,1,576000000,1,1401
10002002827,2,5000000,1,1401
10002002827,3,5000000,1,1401
10002002832,1,40000000,1,1401
10002002832,2,5000000,1,1401
10002002832,3,5000000,1,1401
10002002835,1,35800000,1,1401
10002002835,2,4800000,1,1401
10002002838,1,564000000,1,1401
10002002838,2,4500000,1,1401
10002002838,3,4500000,1,1401
10002002838,4,4500000,1,1401
10002002841,1,747000000,1,1401
10003003227,1,933300000,1,1401
10003003227,2,736000000,1,1401
10003003229,1,54890000,1,1401
10003003232,1,1441000000,1,1401
10003003232,3,20000000,1,1401
10003003236,1,63090000,1,1401
10003003238,1,285060000,1,1401
10003003241,1,152960000,1,1401
10004003826,1,60000000,1,1401
10004003829,1,167000000,1,1401
10004003829,2,51000000,1,1401
10004003832,1,249200000,1,1401
10004003835,1,773300000,1,1401
10004003838,1,458300000,1,1401
10004003841,1,10000000,1,1401
10004003841,2,4800000,1,1401
10004004227,1,942360000,1,1401
10004004230,1,142360000,1,1401
10004004231,1,20000000,1,1401
10004004235,1,25000000,1,1401
10004004238,1,620000000,1,1401
10004004241,1,31520000,1,1401
10005004625,1,429000000,1,1401
10005004630,1,723750000,1,1401
10005004630,2,5750000,1,1401
10005004630,3,5750000,1,1401
10005004630,4,5750000,1,1401
10005004634,1,555520000,1,1401
10005004635,1,493600000,1,1401
10005004638,1,49600000,1,1401
10005004638,4,80000000,1,1401
10005004641,1,195600000,1,1401
10005005129,1,607200000,1,1401
10005005130,1,42600000,1,1401
10005005135,1,51560000,1,1401
10005005138,1,1021800000,1,1401
10005005141,1,361500000,1,1401
10006005526,1,32360000,1,1401
10006005530,1,600000000,1,1401
10006005534,1,27360000,1,1401
10006005538,1,26500000,1,1401
10006005541,1,10000000,1,1401
10006005927,1,159000000,1,1401
10006005930,1,27000000,1,1401
10006005930,2,3000000,1,1401
10006005932,1,163520000,1,1401
10006005934,1,15000000,1,1401
10006005938,1,38560000,1,1401
10006005941,1,670060000,1,1401
10006006326,1,35300000,1,1401
10006006327,1,5300000,1,1401
10006006333,1,66500000,1,1401
10006006336,1,660700000,1,1401
10006006338,1,543300000,1,1401
10006006341,1,35300000,1,1401
10006006341,2,680000,1,1401
10006006826,1,463860000,1,1401
10006006832,1,842460000,1,1401
10006006832,3,30000000,1,1401
10006006836,1,548640000,1,1401
10006006838,1,869600000,1,1401
10006006841,1,1492960000,1,1401
10007007226,1,405500000,1,1401
10007007230,1,548000000,1,1401
10007007230,2,4000000,1,1401
10007007230,3,4000000,1,1401
10007007231,1,616000000,1,1401
10007007232,1,901560000,1,1401
10007007238,1,379300000,1,1401
10007007241,1,26000000,1,1401
10007007241,2,553300000,1,1401
10007007725,1,46000000,1,1401
10007007725,2,5000000,1,1401
10007007728,1,896200000,1,1401
10007007728,2,4800000,1,1401
10007007728,3,4800000,1,1401
10007007728,4,4800000,1,1401
10007007732,1,49000000,1,1401
10007007735,1,55700000,1,1401
10007007735,2,5700000,1,1401
10007007735,3,5700000,1,1401
10007007738,1,517000000,1,1401
10007007741,1,126800000,1,1401
10009008128,1,1053000000,1,1401
10009008128,2,5000000,1,1401
10009008129,1,1141000000,1,1401
10009008129,2,5000000,1,1401
10009008129,3,5000000,1,1401
10009008131,1,26560000,1,1401
10009008135,1,85000000,1,1401
10009008138,1,20600000,1,1401
10009008141,1,699060000,1,1401
10009008526,1,832000000,1,1401
10009008526,2,4000000,1,1401
10009008526,3,4000000,1,1401
10009008527,1,268500000,1,1401
10009008527,2,4500000,1,1401
10009008532,1,322600000,1,1401
10009008534,1,513460000,1,1401
10009008538,1,109000000,1,1401
10009008538,2,50000000,1,1401
10009008541,1,57200000,1,1401
10010008929,1,31800000,1,1401
10010008930,1,42500000,1,1401
10010008930,2,5000000,1,1401
10010008930,3,5000000,1,1401
10010008935,1,32000000,1,1401
10010008936,1,455200000,1,1401
10010008938,1,40000000,1,1401
10010008941,1,36500000,1,1401
10010008941,2,4500000,1,1401
10010009329,1,32000000,1,1401
10010009332,1,190000000,1,1401
10010009335,1,444000000,1,1401
10010009335,3,80000000,1,1401
10010009338,1,32000000,1,1401
10010009341,1,639000000,1,1401
10011009727,1,18000000,1,1401
10011009729,1,46000000,1,1401
10011009735,1,30500000,1,1401
10011009736,1,218000000,1,1401
10011009738,1,45800000,1,1401
10011009738,2,4800000,1,1401
10011009738,3,4500000,1,1401
10011009738,4,100500000,1,1401
10011009741,1,194900000,1,1401
10011009741,2,4900000,1,1401
10012010128,1,41000000,1,1401
10012010129,1,32000000,1,1401
10012010134,1,35000000,1,1401
10012010136,1,55000000,1,1401
10012010138,1,21000000,1,1401
10012010138,2,5000000,1,1401
10012010141,1,40000000,1,1401
10012010141,2,19400000,1,1401
10012010141,3,5000000,1,1401
10013010626,1,108360100,1,1401
10013010627,1,100000000,1,1401
10013010635,1,16560000,1,1401
10013010636,1,50000000,1,1401
10013010638,1,41560000,1,1401
10013010641,1,41560000,1,1401
10101010826,1,858790000,1,1401
10101010827,1,327060000,1,1401
10101010827,2,4900000,1,1401
10101010827,3,4860000,1,1401
10101010827,4,4800000,1,1401
10101010835,1,844000000,1,1401
10101010835,2,820000000,1,1401
10101010836,1,760000000,1,1401
10101010836,2,712000000,1,1401
10101010838,1,84550000,1,1401
10101010838,3,8000000,1,1401
10101010841,1,134250000,1,1401
10101010841,2,17150000,1,1401
10101011225,1,18000000,1,1401
10101011225,3,10000000,1,1401
10101011226,1,42600000,1,1401
10101011234,1,1200000000,1,1401
10101011238,1,13900000,1,1401
10101011241,1,864860000,1,1401
10101011241,2,5000000,1,1401
10101011629,1,26630000,1,1401
10101011632,1,51740000,1,1401
10101011632,2,5370000,1,1401
10101011632,3,5370000,1,1401
10101011632,4,12600000,1,1401
10101011635,1,33630000,1,1401
10101011635,2,5200000,1,1401
10101011635,3,4900000,1,1401
10101011638,1,36780000,1,1401
10101011638,2,4300000,1,1401
10101011638,3,25000000,1,1401
10101011641,1,82420000,1,1401
10101011641,2,5200000,1,1401
10102012027,3,7000000,1,1401
10102012028,1,109390000,1,1401
10102012028,2,20000000,1,1401
10102012033,1,66590000,1,1401
10102012033,2,5200000,1,1401
10102012034,1,23160000,1,1401
10102012034,2,5200000,1,1401
10102012034,3,30200000,1,1401
10102012034,4,4980000,1,1401
10102012038,1,15190000,1,1401
10102012038,2,5000000,1,1401
10102012041,1,66450000,1,1401
10102012428,1,33860000,1,1401
10102012429,1,228400000,1,1401
10102012431,1,197000000,1,1401
10102012436,1,971160000,1,1401
10102012436,2,3500000,1,1401
10102012438,1,23660000,1,1401
10102012441,1,50160000,1,1401
10102012441,2,5000000,1,1401
10103012826,1,37680000,1,1401
10103012826,2,5200000,1,1401
10103012826,3,5200000,1,1401
10103012830,1,814480000,1,1401
10103012830,2,752500000,1,1401
10103012830,3,4500000,1,1401
10103012832,1,985000000,1,1401
10103012832,2,861000000,1,1401
10103012832,3,5000000,1,1401
10103012838,1,187780000,1,1401
10103012838,2,15000000,1,1401
10103012838,3,15000000,1,1401
10103012841,1,47520000,1,1401
10103012841,2,5200000,1,1401
10103012841,3,15300000,1,1401
10103012841,4,10000000,1,1401
10103013226,1,7150000,1,1401
10103013229,1,17940000,1,1401
10103013229,3,10000000,1,1401
10103013232,1,1029200000,1,1401
10103013232,2,4800000,1,1401
10103013232,3,5000000,1,1401
10103013234,1,22360000,1,1401
10103013238,1,1360650000,1,1401
10103013238,2,13950000,1,1401
10103013626,1,39040000,1,1401
10103013629,1,1075660000,1,1401
10103013629,3,11900000,1,1401
10103013631,1,1065900000,1,1401
10103013631,2,3400000,1,1401
10103013631,3,3400000,1,1401
10103013632,1,1891001000,1,1401
10103013632,2,5300000,1,1401
10103013638,1,28760000,1,1401
10103013638,2,5000000,1,1401
10104014026,1,27930000,1,1401
10104014026,2,5200000,1,1401
10104014027,1,23200000,1,1401
10104014027,2,5000000,1,1401
10104014027,3,5400000,1,1401
10104014033,1,351630000,1,1401
10104014036,1,81930000,1,1401
10104014036,2,25100000,1,1401
10104014036,3,25000000,1,1401
10104014036,4,25000000,1,1401
10104014038,1,78450000,1,1401
10104014041,1,62850000,1,1401
10104014426,1,146360000,1,1401
10104014432,1,23240000,1,1401
10104014432,2,5300000,1,1401
10104014432,3,6000000,1,1401
10104014436,1,658690000,1,1401
10104014436,2,5300000,1,1401
10104014438,1,628150000,1,1401
10104014441,1,1017450000,1,1401
10104014441,2,5200000,1,1401
10104014441,3,5100000,1,1401
10104014441,4,5100000,1,1401
10104014826,1,54000000,1,1401
10104014829,1,33860000,1,1401
10104014829,3,15000000,1,1401
10104014831,1,44860000,1,1401
10104014831,2,5000000,1,1401
10104014836,1,44290000,1,1401
10104014838,1,23660000,1,1401
10104014841,1,22600000,1,1401
10104014841,2,5300000,1,1401
10104014841,3,365300000,1,1401
10105015227,1,51850000,1,1401
10105015232,1,798630000,1,1401
10105015232,2,740800000,1,1401
10105015235,1,24000000,1,1401
10105015235,2,4700000,1,1401
10105015235,3,15000000,1,1401
10105015235,4,20000000,1,1401
10105015238,1,550000000,1,1401
10105015238,2,150000000,1,1401
10105015241,1,1045000000,1,1401
10105015241,2,5000000,1,1401
10105015626,1,868550000,1,1401
10105015630,1,623150000,1,1401
10105015632,1,1000000000,1,1401
10105015632,3,35000000,1,1401
10105015632,4,35000000,1,1401
10105015635,3,35000000,1,1401
10105015638,1,205150000,1,1401
10105015641,1,31950000,1,1401
10105015641,2,5300000,1,1401
10105015641,3,5300000,1,1401
10105015641,4,10300000,1,1401
10105015641,5,5300000,1,1401
10105016025,1,34560000,1,1401
10105016029,1,43940000,1,1401
10105016032,1,74230000,1,1401
10105016035,1,23660000,1,1401
10105016038,1,948660000,1,1401
10105016038,2,800900000,1,1401
10105016041,1,943660000,1,1401
10105016425,1,73830000,1,1401
10105016425,2,9200000,1,1401
10105016425,3,19200000,1,1401
10105016429,1,908430000,1,1401
10105016429,2,5800000,1,1401
10105016431,1,17050000,1,1401
10105016432,1,42220000,1,1401
10105016438,1,32480000,1,1401
10105016438,3,15000000,1,1401
10105016441,1,27630000,1,1401
10105016441,2,5000000,1,1401
10105016825,1,1202190000,1,1401
10105016825,2,4800000,1,1401
10105016830,1,1080300000,1,1401
10105016830,2,728300000,1,1401
10105016833,1,941940000,1,1401
10105016833,2,5200000,1,1401
10105016833,3,5000000,1,1401
10105016834,1,22360000,1,1401
10105016834,3,7000000,1,1401
10105016834,4,7000000,1,1401
10105016838,2,7150000,1,1401
10105017225,1,39060000,1,1401
10105017225,2,5200000,1,1401
10105017225,3,5200000,1,1401
10105017229,1,1252560000,1,1401
10105017229,2,5200000,1,1401
10105017229,3,5200000,1,1401
10105017232,1,37360000,1,1401
10105017235,1,48940000,1,1401
10105017238,1,27660000,1,1401
10105017241,1,85260000,1,1401
10105017241,2,5000000,1,1401
10105017629,1,1147710000,1,1401
10105017630,1,329000000,1,1401
10105017632,1,1174520000,1,1401
10105017632,2,5300000,1,1401
10105017632,3,3000000,1,1401
10105017638,1,13350000,1,1401
10106018028,1,586390000,1,1401
10106018028,2,5000000,1,1401
10106018029,1,315690000,1,1401
10106018029,2,5000000,1,1401
10106018031,1,37360000,1,1401
10106018031,2,5300000,1,1401
10106018031,3,7000000,1,1401
10106018031,4,8000000,1,1401
10106018032,1,663240000,1,1401
10106018032,2,5300000,1,1401
10106018032,3,5300000,1,1401
10106018038,1,697940000,1,1401
10106018041,1,172190000,1,1401
10106018041,2,10000000,1,1401
10106018426,1,307740000,1,1401
10106018426,2,130000000,1,1401
10106018426,3,10000000,1,1401
10106018426,4,10000000,1,1401
10106018430,1,867900000,1,1401
10106018433,1,44640000,1,1401
10106018433,2,8000000,1,1401
10106018433,3,7000000,1,1401
10106018435,1,103300000,1,1401
10106018438,1,74660000,1,1401
10106018438,2,5000000,1,1401
10106018441,1,677860000,1,1401
10107018827,1,38380000,1,1401
10107018827,2,5000000,1,1401
10107018827,3,5400000,1,1401
10107018829,1,33830000,1,1401
10107018829,2,5700000,1,1401
10107018829,3,5400000,1,1401
10107018833,1,22630000,1,1401
10107018836,1,47420000,1,1401
10107018836,2,5200000,1,1401
10107018836,3,7000000,1,1401
